accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,13619000000,13619000000,15000000,1094000000,7513000000,None,2039000000,12309000000,None,2024-12-31,8538000000,4257000000,4257000000,9763000000,None,17234000000,None,37741000000,962000000,24198000000,None,42584000000,7277000000,USD,80488000000,20378000000,2322000000,982000000,125761000000,37635000000,34392000000,106196000000,88126000000,71804000000,19342000000,None
None,1973000000,15204000000,15204000000,15000000,1099000000,6762000000,None,1253000000,11578000000,None,2023-12-31,8948000000,4642000000,4642000000,8284000000,None,19711000000,None,46870000000,1784000000,22448000000,None,45977000000,7246000000,USD,86553000000,21764000000,1416000000,5706000000,176106000000,42556000000,32103000000,147501000000,133550000000,115398000000,27403000000,None
None,2393000000,15810000000,15810000000,15000000,1096000000,10033000000,None,3757000000,17755000000,None,2022-12-31,12999000000,6106000000,6106000000,14891000000,None,28593000000,None,36048000000,83000000,19440000000,None,45501000000,14478000000,USD,82983000000,32332000000,3739000000,7609000000,188851000000,58382000000,49428000000,153939000000,130469000000,104511000000,33696000000,-81209000000
None,2848000000,15770000000,15770000000,15000000,1098000000,16243000000,None,4361000000,20501000000,None,2021-12-31,26182000000,9330000000,9330000000,15847000000,None,30824000000,None,42209000000,1933000000,30849000000,None,50407000000,15609000000,USD,85110000000,38033000000,4361000000,12297000000,198874000000,66348000000,51953000000,157114000000,132526000000,105161000000,40310000000,-81093000000
None,3195000000,36530000000,36530000000,702000000,1095125000,16458000000,None,4778000000,22455000000,None,2020-12-31,25524000000,9671000000,9671000000,15890000000,None,70288000000,None,7659000000,2659000000,32979000000,None,42191000000,44662000000,USD,92247000000,78097000000,4713000000,7319000000,256211000000,84853000000,54613000000,218651000000,171358000000,164038000000,35552000000,-81961000000
None,3162000000,84900000000,84900000000,702000000,1090500000,15926000000,None,22073000000,19900000000,None,2019-12-31,26734000000,10652000000,10652000000,14100000000,None,68811000000,None,16801000000,9100000000,1700000000,None,61432000000,52439000000,USD,87732000000,158055000000,90900000000,48521000000,266000000000,128000000000,92600000000,236200000000,138000000000,143600000000,28300000000,-82797000000
None,None,68900000000,68900000000,702000000,1086375000,17153000000,None,13073000000,27600000000,None,2018-12-31,59614000000,18156000000,18156000000,19300000000,None,96883000000,None,53835000000,2122000000,-37348000000,None,59037000000,52379000000,USD,93109000000,205234000000,110000000000,33835000000,309100000000,117400000000,110700000000,257600000000,191800000000,146900000000,31000000000,-83925000000
None,None,43967000000,43967000000,702000000,1080208000,15172000000,None,24655000000,40846000000,None,2017-12-31,83968000000,20273000000,20273000000,19419000000,None,110555000000,None,67557000000,2099000000,40088000000,None,62976000000,53874000000,USD,117245000000,134591000000,24036000000,38696000000,382615000000,104232000000,79296000000,305726000000,278383000000,226430000000,56030000000,-84902000000
None,None,92400000000,92400000000,702000000,1141250000,14435000000,None,31035000000,36300000000,None,2016-12-31,70438000000,16437000000,16437000000,22400000000,None,105178000000,None,69475000000,1745000000,700000000,None,53812000000,52263000000,USD,139532000000,241280000000,136200000000,44313000000,365200000000,152800000000,136900000000,287700000000,212400000000,150800000000,75800000000,-83038000000
None,None,102500000000,102500000000,702000000,1252000000,13680000000,None,197602000000,38800000000,None,2015-12-31,65526000000,16745000000,16745000000,22500000000,None,147742000000,None,53129000000,2818000000,900000000,None,95598000000,56913000000,USD,140020000000,343601000000,198300000000,31973000000,493100000000,166600000000,199200000000,392900000000,326700000000,193700000000,98300000000,-63539000000
None,None,70025000000,70025000000,702000000,1265375000,12067000000,None,261424000000,42943000000,None,2014-12-31,53207000000,13182000000,13182000000,17689000000,None,245649000000,None,47907000000,56943000000,29177000000,None,102662000000,72687000000,USD,155333000000,261424000000,70425000000,47907000000,676762000000,130657000000,111669000000,539831000000,546105000000,428162000000,128159000000,42593000000
None,None,88555000000,88555000000,702000000,1286125000,16471000000,None,None,272442000000,None,2013-12-31,77648000000,14310000000,14310000000,17325000000,None,266303000000,None,44031000000,-9067000000,56361000000,None,91534000000,68827000000,USD,149051000000,383040000000,86937000000,43981000000,684793000000,378322000000,185501000000,548010000000,306471000000,415876000000,130566000000,-42561000000
None,None,77356000000,77356000000,702000000,1320500000,15675000000,None,None,287489000000,None,2012-12-31,73447000000,11987000000,11987000000,15374000000,None,274873000000,None,48721000000,-5444000000,27752000000,None,99289000000,69743000000,USD,144055000000,414060000000,110487000000,48510000000,717258000000,380219000000,153914000000,588788000000,337039000000,434874000000,123026000000,-34571000000
None,None,84501000000,84501000000,702000000,1321627000,16400000000,None,None,307470000000,None,2011-12-31,72625000000,12068000000,12068000000,13792000000,None,279618000000,None,None,-47374000000,26995000000,None,None,65739000000,USD,137786000000,453443000000,148325000000,47374000000,747930000000,405763000000,191720000000,629796000000,342167000000,438076000000,116438000000,-31769000000
