capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
1032000000,-6726000000,-1666000000,None,None,-1528000000,None,None,None,1184000000,1008000000,1008000000,None,2024-12-31,6657000000,4710000000,None,None,None,None,None,None,None,None,None,-5827000000,None,None,USD
1595000000,-8613000000,3977000000,None,None,-1524000000,None,None,None,2079000000,589000000,589000000,None,2023-12-31,9481000000,5179000000,None,None,None,None,None,None,None,None,None,-1233000000,None,None,USD
1174000000,-5585000000,2270000000,2601000000,None,-1925000000,None,None,-3011000000,2902000000,639000000,639000000,None,2022-12-31,-795000000,5916000000,None,None,None,None,None,None,None,None,None,-1048000000,None,None,USD
1361000000,-45177000000,21308000000,None,None,-702000000,None,None,None,3009000000,575000000,575000000,None,2021-12-31,-6591000000,3332000000,None,None,None,None,None,None,None,None,None,-107000000,None,None,USD
3403000000,-19852000000,16642000000,387000000,None,1105000000,None,None,-1319000000,6018000000,648000000,648000000,None,2020-12-31,5546000000,3597000000,None,None,None,None,None,None,None,None,None,-28000000,None,None,USD
6095000000,-16133000000,8939000000,1578000000,None,-1109000000,None,None,-2851000000,5595000000,649000000,649000000,None,2019-12-31,-4912000000,8772000000,None,None,None,None,None,None,None,None,None,29000000,None,None,USD
8056000000,-31806000000,18239000000,-8548000000,None,-902000000,None,None,-430000000,6582000000,4474000000,4474000000,None,2018-12-31,-22443000000,4978000000,None,None,None,None,None,None,None,None,None,-17000000,None,None,USD
7920000000,-18484000000,5379000000,-5507000000,891000000,324000000,None,None,1551000000,6194000000,8650000000,8650000000,None,2017-12-31,-5786000000,6554000000,None,None,None,None,None,None,None,None,None,-2550000000,None,None,USD
7199000000,-89131000000,49202000000,-41319000000,-1146000000,-1389000000,None,None,1514000000,7070000000,8806000000,8806000000,None,2016-12-31,3667000000,1160000000,None,None,None,None,None,None,None,None,None,-21429000000,None,None,USD
7309000000,-76054000000,59488000000,-138000000,-3464000000,-314000000,None,None,-52000000,6509000000,9295000000,9295000000,None,2015-12-31,-6126000000,19891000000,None,None,None,None,None,None,None,None,None,-1099000000,None,None,USD
13727000000,-16958000000,-5030000000,2230000000,-3492000000,-872000000,None,None,-1913000000,6423000000,8851000000,8851000000,None,2014-12-31,15233000000,27710000000,None,None,None,None,None,None,None,None,None,-1218000000,None,None,USD
13458000000,-45573000000,29117000000,11328000000,-795000000,-1368000000,None,None,-485000000,11473000000,7821000000,7821000000,None,2013-12-31,13057000000,28579000000,None,None,None,None,None,None,None,None,None,-9278000000,None,None,USD
15126000000,-51074000000,11302000000,-7163000000,1278000000,-1274000000,None,None,-774000000,10961000000,7189000000,7189000000,None,2012-12-31,13641000000,31331000000,None,None,None,None,None,None,None,None,None,-4164000000,None,None,USD
12650000000,-46863000000,19882000000,None,None,-1168000000,None,None,None,10917000000,6458000000,6458000000,None,2011-12-31,14151000000,33359000000,None,None,None,None,None,None,None,None,None,-1456000000,None,None,USD
9800000000,-61586000000,32436000000,6640000000,-333000000,342000000,None,None,-126000000,11762000000,4790000000,4790000000,None,2010-12-31,13158000000,36123000000,None,None,None,None,None,None,None,None,None,-1263000000,None,None,USD
8634000000,-43513000000,42997000000,None,None,1101000000,None,None,None,12736000000,8986000000,8986000000,None,2009-12-31,11143000000,24593000000,None,None,None,None,None,None,None,None,None,57218000000,None,None,USD
16010000000,24636000000,-40901000000,None,None,-719000000,None,None,None,13583000000,12408000000,12408000000,None,2008-12-31,18668000000,48601000000,None,None,None,None,None,None,None,None,None,-1249000000,None,None,USD
17870000000,28212000000,-72424000000,None,None,-1494000000,None,None,None,10278000000,11492000000,11492000000,None,2007-12-31,23373000000,45967000000,None,None,None,None,None,None,None,None,None,-12319000000,None,None,USD
16650000000,23230000000,-51402000000,None,None,-1779000000,None,None,None,8457000000,10420000000,10420000000,None,2006-12-31,19344000000,30646000000,None,None,None,None,None,None,None,None,None,-8554000000,None,None,USD
14441000000,-6119000000,-35049000000,None,None,-578000000,None,None,None,9950000000,9352000000,9352000000,None,2005-12-31,18661000000,37641000000,None,None,None,None,None,None,None,None,None,-4844000000,None,None,USD
