comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,24308000000,24308000000,None,1184000000,8606000000,9790000000,2024-12-31,14394000000,7620000000,962000000,None,986000000,813000000,None,6556000000,6657000000,-173000000,None,7633000000,6761000000,None,USD,1286000000,6347000000,38702000000
None,22939000000,22939000000,None,1179000000,11470000000,12649000000,2023-12-31,12409000000,10441000000,994000000,None,1029000000,721000000,None,9482000000,10957000000,-578000000,None,7692000000,4717000000,None,USD,1011000000,6681000000,35348000000
None,55535000000,55535000000,None,2902000000,1858000000,4760000000,2022-12-31,13827000000,-799000000,476000000,None,1477000000,681000000,None,292000000,1412000000,-1607000000,None,13551000000,1858000000,-532000000,USD,2813000000,12781000000,76555000000
None,43378000000,43378000000,None,2360000000,-3905000000,-1545000000,2021-12-31,13091000000,-5695000000,-757000000,None,1790000000,2111000000,None,-6337000000,-3396000000,-1876000000,None,12033000000,1058000000,None,USD,1682000000,10351000000,56469000000
None,57871000000,57871000000,None,3464000000,9485000000,12949000000,2020-12-31,17963000000,5970000000,-487000000,None,3515000000,2606000000,None,5704000000,5672000000,-3273000000,None,17554000000,409000000,11387000000,USD,2565000000,14989000000,75834000000
None,64852000000,64852000000,None,3541000000,2873000000,6414000000,2019-12-31,25369000000,-54000000,552000000,None,2927000000,1220000000,None,-4979000000,423000000,-475000000,None,20218000000,5151000000,2222000000,USD,3118000000,17100000000,90221000000
None,69403000000,69403000000,None,6582000000,-16221000000,-9639000000,2018-12-31,27609000000,-20987000000,93000000,None,4766000000,669000000,None,-22355000000,-20717000000,-1408000000,None,20848000000,6761000000,None,USD,3415000000,17433000000,97012000000
None,75593000000,75593000000,None,6194000000,-6690000000,-496000000,2017-12-31,23686000000,-11345000000,-2808000000,None,4655000000,944000000,None,-8484000000,-5748000000,-1724000000,None,26425000000,-2739000000,None,USD,4738000000,26425000000,99279000000
None,87652000000,87652000000,None,7070000000,12055000000,19125000000,2016-12-31,31816000000,7031000000,-1133000000,None,5024000000,896000000,None,7500000000,9494000000,-1234000000,None,17638000000,14178000000,None,USD,4782000000,18377000000,119468000000
None,82693000000,82693000000,None,4847000000,11649000000,16496000000,2015-12-31,32465000000,8186000000,6485000000,None,3463000000,1052000000,None,-6126000000,1700000000,None,None,17831000000,14634000000,None,USD,5416000000,17831000000,115158000000
None,83704000000,83704000000,None,4953000000,13063000000,18016000000,2014-12-31,32702000000,10263000000,773000000,None,2800000000,None,None,15233000000,15457000000,None,None,16848000000,15854000000,None,USD,5273000000,28024000000,116406000000
None,79841000000,79841000000,None,5202000000,11970000000,17172000000,2013-12-31,30296000000,9100000000,1219000000,None,2870000000,None,None,13057000000,15475000000,None,None,17945000000,12351000000,None,USD,5461000000,35143000000,110137000000
None,74310000000,74310000000,None,9192000000,29788000000,38980000000,2012-12-31,69811000000,17381000000,2534000000,None,12407000000,None,None,13641000000,14902000000,None,None,40427000000,29384000000,None,USD,5200000000,29694000000,144121000000
None,68278000000,68278000000,None,8986000000,34581000000,43567000000,2011-12-31,73201000000,20159000000,5745000000,None,14422000000,None,None,14151000000,None,None,None,3930000000,69271000000,None,USD,4601000000,2912000000,141479000000
None,109817000000,109817000000,None,10013000000,30191000000,40204000000,2010-12-31,40394000000,14208000000,1050000000,None,15983000000,None,None,11644000000,13158000000,None,None,10203000000,30191000000,None,USD,3939000000,41116000000,150211000000
None,113725000000,113725000000,None,10636000000,29113000000,39749000000,2009-12-31,43058000000,10344000000,-1090000000,None,18769000000,None,None,11025000000,None,None,None,13945000000,29113000000,None,USD,3324000000,40821000000,156783000000
None,83772000000,83772000000,None,11481000000,45528000000,57009000000,2008-12-31,97809000000,19770000000,1102000000,None,25758000000,None,None,17410000000,None,None,None,52281000000,45528000000,None,USD,3020000000,45048000000,181581000000
None,73125000000,73125000000,None,10275000000,51290000000,61565000000,2007-12-31,99363000000,27528000000,4155000000,None,23762000000,None,None,22208000000,None,None,None,48073000000,51290000000,None,USD,3009000000,43642000000,172488000000
None,66773000000,66773000000,None,8457000000,42167000000,50624000000,2006-12-31,84795000000,23288000000,3944000000,None,18879000000,None,None,20742000000,None,None,None,41766000000,43029000000,None,USD,2969000000,38704000000,151568000000
None,59784000000,59784000000,None,7841000000,35989000000,43830000000,2005-12-31,76796000000,21178000000,3824000000,None,14811000000,None,None,16720000000,None,None,None,39891000000,36905000000,None,USD,2741000000,36652000000,136580000000
