accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,1102000000,3693000000,3693000000,1348000000,2071000000,3462000000,None,2181000000,5999000000,None,2024-12-31,6982000000,15515000000,15515000000,5669000000,None,13703000000,None,None,1615000000,15183000000,None,6108000000,10073000000,GBP,7796000000,16986000000,2349000000,21000000,59463000000,16997000000,21697000000,46377000000,42466000000,24680000000,13671000000,None
None,1207000000,2746000000,2746000000,1348000000,2055500000,3717000000,None,2657000000,5905000000,None,2023-12-31,6811000000,14768000000,14768000000,5498000000,None,14154000000,None,None,1553000000,13816000000,None,5609000000,9957000000,GBP,7239000000,18018000000,2813000000,2246000000,59005000000,18644000000,21068000000,46210000000,40361000000,25142000000,13347000000,-3447000000
None,1008000000,3723000000,3723000000,1347000000,2042000000,3866000000,None,3785000000,6218000000,None,2022-12-31,7046000000,14318000000,14318000000,5146000000,None,17035000000,None,None,1446000000,14222000000,None,6678000000,9620000000,GBP,4363000000,20987000000,3952000000,4154000000,60146000000,20769000000,22810000000,50050000000,39377000000,27240000000,10598000000,-3798000000
None,1015000000,4274000000,4274000000,1347000000,1620800000,4535000000,None,3398000000,7545000000,None,2021-12-31,10552000000,30079000000,30079000000,5783000000,None,20572000000,None,None,1680000000,14738000000,None,6039000000,10672000000,GBP,7944000000,24173000000,3601000000,61000000,79103000000,18674000000,23670000000,57761000000,60429000000,34091000000,15055000000,-4969000000
None,1117000000,6292000000,6292000000,1346000000,2015200000,4357000000,None,3495000000,6593000000,None,2020-12-31,10597000000,29824000000,29824000000,5996000000,None,23425000000,None,None,1867000000,13159000000,None,5907000000,11006000000,GBP,6755000000,27150000000,3726000000,78000000,80431000000,20247000000,22148000000,59623000000,60184000000,37475000000,14587000000,-4969000000
0,1250000000,4707000000,4707000000,1346000000,2006400000,4144000000,None,6678000000,6886000000,None,2019-12-31,10562000000,30955000000,30955000000,5947000000,None,22580000000,None,64262568394.81,1895000000,12200000000,None,4724000000,11314000000,GBP,5109000000,30508000000,6919000000,79000000,79692000000,19491000000,24050000000,61335000000,60201000000,37285000000,11984000000,-5505000000
0,68000000,3874000000,3874000000,1345000000,1988400000,3645000000,None,5769000000,6322000000,None,2018-12-31,5789000000,17202000000,17202000000,5476000000,None,20227000000,None,29073403001.79,1171000000,11872000000,None,5449000000,11058000000,GBP,-2137000000,26064000000,5793000000,84000000,58066000000,16927000000,22491000000,54394000000,41139000000,31903000000,4360000000,-5800000000
0,66000000,3833000000,3833000000,1343000000,1976400000,20970000000,None,2802000000,5950000000,None,2017-12-31,5734000000,17562000000,17562000000,5557000000,None,14221000000,None,40731185779.36,6439000000,1076000000,None,5096000000,10860000000,GBP,-6477000000,17089000000,2825000000,78000000,56381000000,15907000000,26569000000,52892000000,40474000000,26323000000,-68000000,-5800000000
0,64000000,4897000000,4897000000,1342000000,1963600000,11964000000,None,4106000000,5917000000,None,2016-12-31,5965000000,18776000000,18776000000,5102000000,None,14620000000,None,14596273405.52,6623000000,561000000,None,5335000000,10808000000,GBP,-5392000000,18790000000,4129000000,89000000,59081000000,16711000000,19001000000,54118000000,42370000000,35117000000,1124000000,-6451000000
0,0,5830000000,5830000000,1340000000,1955200000,9191000000,None,6543955892.54,3879000000,None,2015-12-31,5162000000,16672000000,16672000000,4716000000,None,15277000000,None,10167123820.30,5966000000,8989000000,None,0,9668000000,GBP,-1397000000,16632000000,1308000000,75000000,53446000000,16587000000,13417000000,44568000000,36859000000,31151000000,5114000000,0
None,None,4338000000,4338000000,1339000000,1946000000,7958000000,None,1949000000,4486000000,None,2014-12-31,3724000000,8320000000,8320000000,4231000000,None,24677110000,None,1454000000,6040000000,7562000000,None,None,14101206000,GBP,-2074000000,18784000000,2943000000,69000000,40651000000,14678000000,13295000000,35715000000,25973000000,22420000000,4263000000,-238000000
None,None,5534000000,5534000000,1336000000,1967600000,2739000000,None,18245000000,5281000000,None,2013-12-31,4205000000,9283000000,9283000000,3900000000,None,25616774000,None,1526000000,1761000000,6530000000,None,None,14704453000,GBP,913000000,18245000000,2789000000,66000000,42086000000,15227000000,13677000000,34274000000,26859000000,20597000000,6997000000,-11906762000
None,None,4184000000,4184000000,1349000000,1995600000,2666000000,None,None,5060000000,None,2012-12-31,4359000000,10161000000,10161000000,3969000000,None,23857980000,None,None,349000000,5982000000,None,None,14271531000,GBP,652000000,18302000000,3631000000,81000000,41475000000,13692000000,13815000000,34728000000,27783000000,20913000000,5810000000,-11368764000
None,None,5714000000,5714000000,1387000000,2039600000,2568000000,None,None,5320000000,None,2011-12-31,3754000000,7802000000,7802000000,3873000000,None,18959802000,None,None,1006000000,8063000000,None,None,13591768000,GBP,3370000000,14901000000,2698000000,184000000,41080000000,16167000000,15010000000,32253000000,24913000000,17243000000,8032000000,-11113616000
None,None,6057000000,6057000000,1418000000,2051200000,2141000000,None,None,5591000000,None,2010-12-31,3606000000,8469000000,8469000000,3837000000,None,22794013000,None,None,274000000,9315000000,None,None,13922065000,GBP,4779000000,15100000000,291000000,277000000,42052000000,16036000000,12616000000,32307000000,26016000000,19691000000,8887000000,-10976035000
None,None,6545000000,6545000000,1416000000,2043200000,6772000000,None,None,6248000000,None,2009-12-31,3361000000,8183000000,8183000000,4064000000,None,23904525000,None,None,316000000,2424000000,None,None,15154946000,GBP,6321000000,16257000000,1471000000,397000000,42862000000,17570000000,12118000000,32120000000,25292000000,20002000000,10005000000,-12002381000
None,None,5623000000,5623000000,1415000000,2090400000,6075000000,None,None,6046000000,None,2008-12-31,2101000000,5869000000,5869000000,4056000000,None,22266199000,None,None,297000000,2206000000,None,None,14148268000,GBP,4622000000,16187000000,956000000,391000000,39393000000,17269000000,10017000000,31075000000,22124000000,21058000000,7931000000,-11301949000
