capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
2982000000,-4726000000,-1229000000,None,None,-294000000,None,None,None,2551000000,2444000000,2444000000,None,2024-12-31,2951000000,6554000000,None,None,None,None,None,None,None,None,None,20000000,None,None,GBP
2344000000,-5641000000,-1595000000,None,None,-424000000,None,None,None,2294000000,2247000000,2247000000,None,2023-12-31,4928000000,6768000000,None,None,None,None,None,None,None,None,None,-197000000,None,None,GBP
2258000000,823000000,-8772000000,None,None,-269000000,None,None,None,2298000000,3467000000,3467000000,None,2022-12-31,4921000000,7403000000,None,None,None,None,None,None,None,None,None,25000000,None,None,GBP
2931000000,-7589000000,-1777000000,None,None,25000000,None,None,None,2524000000,3999000000,3999000000,None,2021-12-31,5096000000,7952000000,None,None,None,None,None,None,None,None,None,-1643000000,None,None,GBP
2239000000,-10132000000,2161000000,None,None,119000000,None,None,None,624000000,3977000000,3977000000,None,2020-12-31,6388000000,8441000000,None,None,None,None,None,None,None,None,None,999000000,None,None,GBP
2163000000,-1840000000,-5354000000,0,0,300000000,None,None,0,2996000000,3953000000,3953000000,None,2019-12-31,5268000000,8020000000,None,None,None,None,None,None,None,None,None,10284000000,None,None,GBP
1796000000,-6389000000,-1553000000,0,0,51000000,None,None,0,1763000000,3927000000,3927000000,None,2018-12-31,4046000000,8421000000,None,None,None,None,None,None,None,None,None,8774000000,None,None,GBP
2202000000,-6380000000,-1443000000,0,0,-461000000,None,None,0,2981000000,3906000000,3906000000,None,2017-12-31,2169000000,6918000000,None,None,None,None,None,None,None,None,None,-65000000,None,None,GBP
2352000000,-6392000000,-1269000000,0,0,70000000,None,None,0,1861000000,4850000000,4850000000,None,2016-12-31,1062000000,6497000000,None,None,None,None,None,None,None,None,None,-74000000,None,None,GBP
1901000000,-7103000000,6037000000,0,0,-111000000,None,None,0,1862000000,3874000000,3874000000,None,2015-12-31,8372000000,2569000000,None,None,None,None,None,None,None,None,None,-99000000,None,None,GBP
1751000000,-5385000000,-1078000000,None,None,-529000000,None,None,None,2026000000,3843000000,3843000000,None,2014-12-31,2831000000,5176000000,None,None,None,None,None,None,None,None,None,-333000000,None,None,GBP
1701000000,-6273000000,524000000,None,None,-95000000,None,None,None,1415000000,3680000000,3680000000,None,2013-12-31,5628000000,7222000000,None,None,None,None,None,None,None,None,None,-1549000000,None,None,GBP
1520000000,-3351000000,-2631000000,None,None,37000000,None,None,None,1085000000,3814000000,3814000000,None,2012-12-31,4744000000,4375000000,None,None,None,None,None,None,None,None,None,-2530000000,None,None,GBP
1328000000,-6232000000,-112000000,None,None,-157000000,None,None,None,1677000000,3406000000,3406000000,None,2011-12-31,5458000000,6250000000,None,None,None,None,None,None,None,None,None,-2227000000,None,None,GBP
1635000000,-5571000000,-1868000000,None,None,238000000,None,None,None,2071000000,3205000000,3205000000,None,2010-12-31,1853000000,6797000000,None,None,None,None,None,None,None,None,None,-16000000,None,None,GBP
1873000000,-2774000000,-4013000000,None,None,-132000000,None,None,None,1271000000,3092000000,3092000000,None,2009-12-31,5669000000,7841000000,None,None,None,None,None,None,None,None,None,-57000000,None,None,GBP
2069000000,-4091000000,-2072000000,None,None,-411000000,None,None,None,1543000000,3008000000,3008000000,None,2008-12-31,4712000000,7311000000,None,None,None,None,None,None,None,None,None,-3725000000,None,None,GBP
2143000000,-1324000000,-3060000000,None,None,-457354750,None,None,None,1333000000,2793000000,2793000000,None,2007-12-31,7593000000,5795000000,None,None,None,None,None,None,None,None,None,-3754645500,None,None,GBP
1590000000,-4323000000,-1591000000,None,None,-298079440,None,None,None,1138000000,2598000000,2598000000,None,2006-12-31,7808000000,3958000000,None,None,None,None,None,None,None,None,None,-1347482400,None,None,GBP
1181000000,-3083000000,-1120000000,None,None,47073960,None,None,None,1103000000,2390000000,2390000000,None,2005-12-31,6874000000,5587000000,None,None,None,None,None,None,None,None,None,-999014040,None,None,GBP
