comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,9048000000,9048000000,None,2551000000,4117000000,6668000000,2024-12-31,22328000000,3477000000,526000000,None,657580000,60000000,None,2575000000,2951000000,-603000000,None,18307000000,4021000000,None,GBP,6401000000,11015000000,31376000000
None,8565000000,8565000000,None,2294000000,6789000000,9083000000,2023-12-31,21763000000,6064000000,756000000,None,775000000,48000000,None,4928000000,6535000000,-735000000,None,15018000000,6745000000,None,GBP,6223000000,9385000000,30328000000
None,9554000000,9554000000,None,2147000000,6454000000,8601000000,2022-12-31,19770000000,5628000000,707000000,None,855528000,76000000,None,14956000000,4921000000,-803000000,None,13337000000,6433000000,None,GBP,5488000000,8372000000,29324000000
None,8163000000,8163000000,None,2122000000,4363000000,6485000000,2021-12-31,16533000000,3599000000,83000000,None,784000000,723000000,None,4385000000,5096000000,-756000000,None,12176000000,4357000000,None,GBP,5019000000,7070000000,24696000000
None,7929000000,7929000000,None,2050000000,6017000000,8067000000,2020-12-31,16425000000,5170000000,67000000,None,892000000,44000000,None,5749000000,6388000000,-848000000,None,10446000000,5979000000,None,GBP,4793000000,7437000000,24354000000
None,11863000000,11863000000,None,2120000000,7100000000,9220000000,2019-12-31,21891000000,6221000000,953000000,None,912000000,708000000,None,4645000000,5268000000,-840000000,None,14930000000,6961000000,0,GBP,4568000000,11402000000,33754000000
None,10241000000,10241000000,None,1856000000,5494000000,7350000000,2018-12-31,20580000000,4800000000,754000000,None,743636000,602000000,None,3623000000,4046000000,-728000000,None,15097000000,5483000000,0,GBP,3893000000,9915000000,30821000000
None,10342000000,10342000000,None,1922000000,4262000000,6184000000,2017-12-31,19844000000,3525000000,1356000000,None,734000000,646000000,None,1532000000,2169000000,-667000000,None,15757000000,4087000000,0,GBP,4476000000,9672000000,30186000000
None,9290000000,9290000000,None,1774000000,2656000000,4430000000,2016-12-31,18599000000,1939000000,877000000,None,736000000,628000000,None,912000000,1062000000,-662000000,None,16001000000,2598000000,0,GBP,3628000000,9366000000,27889000000
None,8853000000,8853000000,None,1630000000,11261000000,12891000000,2015-12-31,15070000000,10526000000,2154000000,None,757000000,609000000,None,8422000000,85808459982.48,None,None,4748000000,10322000000,0,GBP,3560000000,9232000000,23923000000
None,7323000000,7323000000,None,1484000000,3671000000,5155000000,2014-12-31,15683000000,2968000000,137000000,None,696199000,None,None,2756000000,2831000000,None,None,12086000000,3597000000,None,GBP,3450000000,8246000000,23006000000
None,8585000000,8585000000,None,1414000000,7387000000,8801000000,2013-12-31,17920000000,6647000000,1019000000,None,767000000,None,None,5436000000,5628000000,None,None,10892000000,7028000000,None,GBP,3923000000,8480000000,26505000000
None,7925000000,7925000000,None,1445000000,7360000000,8805000000,2012-12-31,18506000000,6600000000,1922000000,None,734974000,None,None,4499000000,None,None,None,11206000000,7300000000,None,GBP,3979000000,8789000000,26431000000
None,7648000000,7648000000,None,1423000000,8454000000,9877000000,2011-12-31,19739000000,7698000000,2240000000,None,742337000,None,None,5261000000,None,None,None,11932000000,7807000000,None,GBP,4009000000,8510000000,27387000000
None,7898000000,7898000000,None,1679000000,3942000000,5621000000,2010-12-31,20494000000,3157000000,1304000000,None,765363000,None,None,1634000000,None,None,None,16711000000,3783000000,None,GBP,4457000000,12747000000,28392000000
None,7380000000,7380000000,None,1562000000,8674000000,10236000000,2009-12-31,20988000000,7891000000,2222000000,None,783000000,None,None,5531000000,None,None,None,12563000000,8425000000,None,GBP,4106000000,9592000000,28368000000
None,6415000000,6415000000,None,1231000000,7502000000,8733000000,2008-12-31,17937000000,6659000000,1947000000,None,843000000,None,None,4602000000,None,None,None,10796000000,7141000000,None,GBP,3681000000,7656000000,24352000000
None,5210920000,5210920000,None,1023123000,8200618000,9223741000,2007-12-31,17527730000,7536521000,2221221000,None,314850000,None,None,5219492000,None,None,None,9588818000,7938912000,None,GBP,3240311000,6823511000,22738650000
None,5008653000,5008653000,None,958040000,7805189000,8763229000,2006-12-31,18208877000,7796513000,2300418000,None,352000000,None,None,5387378000,None,None,None,10403177000,7805700000,None,GBP,3455986000,7254968000,23217530000
None,4763187000,4763187000,None,903704000,363806000,1267510000,2005-12-31,16891997000,6730414000,1915503000,None,451000000,None,None,4687637000,None,None,None,16528190000,363806000,None,GBP,3135358000,7248228000,21655184000
