accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,2062000000,182092000000,182092000000,9000000,333600000,223255000000,None,90624000000,151213000000,None,2024-12-31,5853000000,847000000,847000000,None,None,249869000000,None,707730000000,None,566471000000,None,None,9991000000,USD,153412000000,616935000000,365004000000,739738000000,1675972000000,1073043000000,1158274000000,1553976000000,602929000000,395702000000,121996000000,None
None,2232000000,241577000000,241577000000,9000000,345800000,230728000000,None,83149000000,148577000000,None,2023-12-31,5916000000,1177000000,1177000000,-390577000000,None,247867000000,None,573229000000,1041802000000,579509000000,None,None,13415000000,USD,143688000000,583135000000,333036000000,683368000000,1641594000000,1073522000000,1146220000000,1524689000000,568072000000,378469000000,116905000000,None
None,2154000000,241825000000,241825000000,9000000,358100000,262045000000,None,61000000000,147027000000,None,2022-12-31,6374000000,2009000000,2009000000,-1190082000000,None,247000000000,None,432000000000,859095000000,529318000000,None,454810000000,19246000000,USD,139372000000,434548000000,178149000000,480129000000,1441799000000,868981000000,972181000000,1324610000000,572818000000,352429000000,117189000000,-94631000000
None,2288000000,261036000000,261036000000,9000000,355800000,251931000000,None,47000000000,170192000000,None,2021-12-31,4285000000,418000000,418000000,-932417000000,None,254000000000,None,464000000000,932417000000,499484000000,None,489270000000,20386000000,USD,131811000000,487762000000,222008000000,517684000000,1463988000000,948912000000,975783000000,1354062000000,515076000000,378279000000,109926000000,-91136000000
None,2283000000,156000000000,156000000000,9000000,360300000,191000000000,None,53000000,121000000000,None,2020-12-31,4332000000,630000000,630000000,-777886000000,None,367208000000,None,116115000000,777886000000,-244000000000,None,392550000000,25427000000,USD,112947000000,420208000000,53000000000,526000000,1163000000000,277526000000,244000000000,1067000000000,513389000000,213000000000,96000000000,-85940000000
None,2385000000,133000000000,133000000000,9000000,375500000,175000000000,None,55611000000,75000000000,None,2019-12-31,4196000000,641000000,641000000,-665260000000,None,315911000000,None,108904000000,665260000000,-223000000000,None,362511000000,24246000000,USD,106465000000,363911000000,48000000000,63937000000,993000000000,208000000000,223000000000,903000000000,448083000000,207000000000,90000000000,-84006000000
None,None,130000000000,130000000000,9000000,390199996,180000000000,None,50057000000,496000000000,None,2018-12-31,3758000000,324000000,324000000,-698110000000,None,224149000000,None,416751000000,355133000000,-221000000000,None,425964000000,18317000000,USD,100100000000,265149000000,41000000000,274543000000,933000000000,626000000000,221000000000,843000000000,358560000000,221000000000,90000000000,-78670000000
None,None,110051000000,110051000000,9000000,409100000,178169000000,None,61818000000,94002000000,None,2017-12-31,3665000000,373000000,373000000,-724847370000,None,217687000000,None,381921000000,-94002000000,140005000000,None,260492000000,15094000000,USD,91519000000,374115000000,146536000000,120822000000,916776000000,324875000000,468761000000,834533000000,591901000000,365772000000,82243000000,-75392000000
None,None,121711000000,121711000000,9000000,435099995,188455000000,None,52383000000,75140000000,None,2016-12-31,3666000000,429000000,429000000,-671852000000,None,189086000000,None,345624000000,184600000000,126524000000,None,242586000000,12070000000,USD,89039000000,322274000000,124199000000,116925000000,860165000000,313776000000,440972000000,773272000000,546389000000,332300000000,86893000000,-68694000000
None,None,93439000000,93439000000,9000000,458600000,210362000000,None,25373000000,82739000000,None,2015-12-31,3657000000,491000000,491000000,293940000000,None,175422000000,None,339347000000,172099000000,104594000000,None,262997000000,9956000000,USD,83386000000,329532000000,143089000000,134308000000,861395000000,310486000000,459325000000,774667000000,550909000000,315342000000,86728000000,-62640000000
