capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
2091000000,7323000000,-49624000000,None,None,None,None,None,None,2392000000,4497000000,4497000000,None,2024-12-31,14276000000,-13212000000,None,None,None,None,None,None,None,None,None,-10200000000,None,None,USD
2316000000,27800000000,-17312000000,None,None,None,None,None,None,4856000000,4189000000,4189000000,None,2023-12-31,8516000000,-12587000000,None,None,None,None,None,None,None,None,None,-6796000000,None,None,USD
3748000000,59602000000,-75960000000,-7650000000,None,None,None,None,None,2455000000,3682000000,3682000000,None,2022-12-31,11261000000,8708000000,None,None,None,None,None,None,None,None,None,-3500000000,None,None,USD
4667000000,134738000000,-30465000000,105194000000,None,None,None,None,None,2015000000,2725000000,2725000000,None,2021-12-31,21635000000,921000000,None,None,None,None,None,None,None,None,None,-7875000000,None,None,USD
6309000000,70380000000,-34356000000,22296000000,None,None,None,None,None,1902000000,2336000000,2336000000,None,2020-12-31,9459000000,-13728000000,None,None,None,None,None,None,None,None,None,-2278000000,None,None,USD
8443000000,3367000000,-24236000000,2999000000,None,None,None,None,None,1704000000,2104000000,2104000000,None,2019-12-31,8466000000,23868000000,None,None,None,None,None,None,None,None,None,-6435000000,None,None,USD
7982000000,22752000000,-22677000000,20496000000,None,None,None,None,None,1328000000,1810000000,1810000000,None,2018-12-31,10459000000,20421000000,None,None,None,None,None,None,None,None,None,-3294000000,None,None,USD
3185000000,35198000000,-29116000000,-11660000000,None,0,None,None,None,1152000000,1769000000,1769000000,None,2017-12-31,4286000000,-17742000000,None,None,None,None,None,None,None,None,None,-7622000000,None,None,USD
2876000000,13432000000,9270000000,28272000000,None,15253000000,None,None,None,998000000,1706000000,1706000000,None,2016-12-31,7398000000,5570000000,None,None,None,None,None,None,None,None,None,-6078000000,None,None,USD
1833000000,29118000000,-18574000000,17505000000,None,14472000000,None,None,None,991000000,1681000000,1681000000,None,2015-12-31,6083000000,6961000000,None,None,None,None,None,None,None,None,None,-4135000000,None,None,USD
678000000,18999000000,-14909000000,-3533000000,None,27547000000,None,None,12328000000,1337000000,1454000000,1454000000,None,2014-12-31,8477000000,-7623000000,None,None,None,None,None,None,None,None,None,-5469000000,None,None,USD
706000000,-7351000000,-8728000000,-11536000000,None,51079000000,None,None,None,1322000000,1302000000,1302000000,None,2013-12-31,8040000000,4543000000,None,None,None,None,None,None,None,None,None,-6175000000,None,None,USD
961000000,7516000000,-3734000000,16661000000,None,0,None,None,None,1738000000,1086000000,1086000000,None,2012-12-31,7475000000,12879000000,None,None,None,None,None,None,None,None,None,-4640000000,None,None,USD
1184000000,-6910000000,1485000000,None,None,5085000000,None,None,None,1869000000,2771000000,2771000000,None,2011-12-31,4442000000,21645000000,None,None,None,None,None,None,None,None,None,-9905000000,None,None,USD
1227000000,7839000000,-185000000,1497000000,None,0,None,None,None,1904000000,1443000000,1443000000,None,2010-12-31,8354000000,-6157000000,None,None,None,None,None,None,None,None,None,-4183000000,None,None,USD
1556000000,-22828000000,-1561000000,None,None,186295000000,None,None,None,1943000000,2205000000,2205000000,None,2009-12-31,13385000000,48875000000,None,None,None,None,None,None,None,None,None,-9576000000,None,None,USD
2027000000,7901000000,-4337000000,None,None,97723000000,None,None,None,1625000000,850000000,850000000,None,2008-12-31,2322000000,1894000000,None,None,None,None,None,None,None,None,None,-2034000000,None,None,USD
2130000000,73390000000,396000000,None,None,None,None,None,None,1167000000,831000000,831000000,None,2007-12-31,11599000000,-68197000000,None,None,None,None,None,None,None,None,None,-8956000000,None,None,USD
1744000000,53397000000,-9748000000,None,None,None,None,None,None,995000000,754000000,754000000,None,2006-12-31,9537000000,-47617000000,None,None,None,None,None,None,None,None,None,-7817000000,None,None,USD
1421000000,19373000000,-1064000000,None,None,None,None,None,None,854000000,511000000,511000000,None,2005-12-31,5626000000,-12413000000,None,None,None,None,None,None,None,None,None,-7108000000,None,None,USD
