comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,74689000000,74689000000,None,2392000000,18397000000,20789000000,2024-12-31,52164000000,18397000000,4121000000,None,73341000000,81397000000,None,14276000000,14276000000,8056000000,None,33767000000,18397000000,None,USD,None,16706000000,126853000000
None,63192000000,63192000000,None,4856000000,10739000000,15595000000,2023-12-31,45226000000,10739000000,2223000000,None,62164000000,62442000000,None,8516000000,7834000000,6351000000,None,34487000000,10739000000,None,USD,None,15499000000,108418000000
None,24061000000,24061000000,None,2455000000,13486000000,15941000000,2022-12-31,44650000000,13486000000,2225000000,None,21346000000,29024000000,None,11261000000,11261000000,7678000000,None,31164000000,13486000000,None,USD,None,15148000000,68711000000
None,6007000000,6007000000,None,2015000000,27044000000,29059000000,2021-12-31,58982000000,27044000000,5409000000,None,5650000000,12120000000,None,21635000000,21635000000,6470000000,None,31938000000,27044000000,None,USD,None,17719000000,64989000000
None,12036000000,12036000000,None,1902000000,12479000000,14381000000,2020-12-31,41461000000,12479000000,3020000000,None,8938000000,13689000000,None,9459000000,9459000000,4751000000,None,28982000000,12479000000,None,USD,None,13309000000,53497000000
None,18441000000,18441000000,None,1704000000,10583000000,12287000000,2019-12-31,35461000000,10583000000,2117000000,None,17376000000,21738000000,None,8466000000,8466000000,4362000000,None,24878000000,10583000000,None,USD,None,12353000000,53902000000
None,16586000000,16586000000,None,1328000000,12481000000,13809000000,2018-12-31,35782000000,12481000000,2022000000,None,15912000000,19679000000,None,10459000000,10459000000,3767000000,None,23301000000,12481000000,None,USD,0,12328000000,52368000000
None,10838000000,10838000000,None,1152000000,11132000000,12284000000,2017-12-31,31959000000,11132000000,6846000000,None,10181000000,13113000000,None,4286000000,4286000000,2932000000,None,20827000000,11132000000,None,USD,0,11653000000,42797000000
None,7286000000,7286000000,None,998000000,10304000000,11302000000,2016-12-31,30608000000,10304000000,2906000000,None,7104000000,9691000000,None,7398000000,7398000000,2587000000,None,20304000000,10304000000,None,USD,0,11448000000,37894000000
None,5388000000,5388000000,None,991000000,8778000000,9769000000,2015-12-31,33786000000,8778000000,2695000000,None,5388000000,None,None,6083000000,6083000000,None,None,25008000000,8778000000,None,USD,0,12678000000,39174000000
None,5557000000,5557000000,None,1337000000,12357000000,13694000000,2014-12-31,34528000000,12357000000,3880000000,None,5557000000,None,None,8477000000,8477000000,None,None,22171000000,12357000000,None,USD,0,12691000000,40085000000
None,6668000000,6668000000,None,1322000000,11737000000,13059000000,2013-12-31,34206000000,11737000000,3697000000,None,6668000000,None,None,8040000000,8040000000,None,None,22469000000,11737000000,None,USD,0,12789000000,40874000000
None,7501000000,7501000000,None,1738000000,11207000000,12945000000,2012-12-31,34163000000,11207000000,3732000000,None,7501000000,None,None,7475000000,7475000000,None,None,22956000000,11207000000,11381000000,USD,0,13542000000,41664000000
None,7982000000,7982000000,None,1869000000,6169000000,8038000000,2011-12-31,28811000000,6169000000,1727000000,None,7982000000,None,None,4442000000,None,None,None,22642000000,6169000000,None,USD,0,12752000000,36793000000
None,6806000000,6806000000,None,1904000000,12892000000,14796000000,2010-12-31,39161000000,12892000000,4538000000,None,6806000000,None,None,8354000000,-18498000000,None,None,26269000000,12892000000,12309000000,USD,0,15774000000,45967000000
None,6500000000,6500000000,None,1943000000,19829000000,21772000000,2009-12-31,45173000000,19829000000,6444000000,None,6500000000,None,None,13385000000,None,None,None,25344000000,19829000000,None,USD,0,16193000000,51673000000
None,31357000000,31357000000,None,1625000000,2336000000,3961000000,2008-12-31,22222000000,2336000000,14000000,None,31357000000,None,None,2322000000,None,None,None,19886000000,2336000000,None,USD,None,10659000000,53579000000
None,41981000000,41981000000,None,1167000000,17604000000,18771000000,2007-12-31,45987000000,17604000000,6005000000,None,41981000000,None,None,11599000000,None,None,None,28383000000,17604000000,None,USD,None,20190000000,87968000000
None,31688000000,31688000000,None,995000000,14560000000,15555000000,2006-12-31,37665000000,14560000000,5023000000,None,31688000000,None,None,9537000000,None,None,None,23105000000,14560000000,None,USD,None,16457000000,69353000000
None,18153000000,18153000000,None,854000000,8273000000,9127000000,2005-12-31,25238000000,8273000000,2647000000,None,18153000000,None,None,5626000000,None,None,None,16965000000,8273000000,None,USD,None,11758000000,43391000000
