accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,153929800000,3222323100000,3222323100000,7652200000,2553144666,576840500000,None,1306013100000,454645400000,None,2025-03-31,1629510300000,1370880000000,1370880000000,None,None,5866163200000,None,6981246400000,223008200000,27212899100000,None,None,152579400000,INR,2099097200000,7455296100000,1435203100000,5973926300000,48187671100000,9873903000000,29224942700000,39564780100000,38313768100000,10339837400000,7676891400000,None
None,131043000000,3425973300000,3425973300000,7596900000,2369150666,531484800000,None,1313737100000,379127800000,None,2024-03-31,1629510300000,1396117200000,1396117200000,None,None,7306154600000,None,10056816300000,-9676681400000,-1663228600000,None,None,126037600000,INR,2920375900000,8150093100000,1370278100000,6503339500000,44118573000000,631759200000,238534300000,35604156100000,39670183400000,35365621800000,4563952500000,None
None,97658900000,2363920200000,2363920200000,5579700000,1863727890,437291100000,None,1089897500000,330757600000,None,2023-03-31,74937900000,None,None,464500000,None,2565486600000,None,5014675100000,1278095600000,-1527188600000,None,None,82825500000,INR,1447784100000,3655384100000,1089897500000,4878844000000,25755624000000,7573521800000,1527188600000,22837786100000,5267172000000,2152095300000,2912200700000,None
None,78138000000,1599220700000,1599220700000,5545500000,1854493333,234722000000,None,554167600000,230467700000,None,2022-03-31,74937900000,None,None,512200000,None,1554333400000,None,4441762600000,15038600000,-706478500000,None,None,62832800000,INR,1153191100000,2186639000000,554167600000,4388563100000,21113705500000,6218251500000,82411100000,18604252100000,4654099100000,2024963500000,2504838400000,None
None,70422000000,1041382800000,1041382800000,5512800000,1841159333,346038000000,None,239264100000,204362300000,None,2021-03-31,74937900000,None,None,512557000,None,1776967500000,None,4388231100000,9754200000,-585302100000,None,None,50995600000,INR,897873700000,1484444300000,239264100000,4275449900000,17979782000000,5521195000000,585302100000,15816377200000,4567651200000,1245180200000,2159628400000,None
0,65615100000,726744100000,726744100000,5483300000,1835264333,259302300000,None,377417600000,405517000000,None,2020-03-31,74937900000,0,0,0,None,1026518300000,None,3711252100000,9013900000,-636719900000,None,0,46268558000,INR,713340600000,1469551000000,377417600000,3406289200000,15961889100000,4538550300000,636719900000,14065395300000,3895274600000,1092133400000,1893082400000,0
0,0,855413900000,855413900000,5446600000,1804551333,237989400000,None,654058000000,166173700000,None,2019-03-31,74937900000,0,0,0,None,1044553000000,None,2898864500000,5569800000,-892047400000,None,0,42198371000,INR,587235200000,1698611000000,654058000000,2633348400000,13280073600000,3654936000000,892047400000,11644449000000,3016990200000,1044553000000,1632575300000,0
0,0,719031000000,719031000000,5190200000,1742625666,254242300000,None,779201700000,119099100000,None,2018-03-31,74937900000,1000000,1000000,0,None,932906300000,None,2390224900000,6407200000,-1033444000000,None,0,38105583000,INR,462876200000,1712108000000,779201700000,2221443300000,11367308800000,3059573400000,1033444000000,10190815500000,2502864200000,932906300000,1174163600000,0
0,0,566712600000,566712600000,5125100000,1716901000,259029900000,None,322265600000,104077400000,None,2017-03-31,74937900000,2000000,2000000,0,None,730920700000,None,2146749300000,4497100000,-581295500000,None,0,38146997000,INR,364471900000,1053186300000,322265600000,2111385600000,9066980500000,2782175600000,581295500000,8039079400000,2260658500000,730920700000,1026053600000,0
0,0,531198300000,531198300000,5056400000,1696911666,151150700000,None,0,92838300000,None,2016-03-31,74937900000,5000000,5000000,0,None,522313500000,None,0,4266100000,-404713100000,None,0,35679700000,INR,290542400000,775875900000,253562400000,1878684400000,7736723300000,2502721000000,404713100000,6865928100000,2061167900000,527249200000,869310200000,0
0,0,515345900000,515345900000,5013000000,1631560666,120328400000,None,39504.69,72900500000,None,2015-03-31,74937900000,12000000,12000000,0,None,457934400000,None,99265.69,4136300000,-334520300000,None,0,33355900000,INR,228804400000,672126300000,214191900000,1504412800000,6259015800000,2092659200000,334520300000,5507448200000,1674011400000,470900700000,750252100000,0
None,None,551045600000,551045600000,4798100000,1605430333,147933000000,None,495967176000,75095200000,None,2014-03-31,74937900000,231000000,231000000,None,None,8266120000,None,1195710628000,2605000000,-147933000000,None,None,504380000,INR,175105900000,545984100000,150775500000,908824300000,5125407300000,1534965100000,298708500000,4592406600000,1080440200000,402282400000,531906700000,None
None,None,421398800000,421398800000,4758800000,1590738333,153830700000,None,None,66508400000,None,2013-03-31,74937900000,1769500000,1769500000,None,None,7244426000,None,None,3020800000,-299447900000,None,None,508679000,INR,132773300000,440836900000,145617200000,1018071500000,4370906100000,1505978700000,299447900000,3900528200000,1211140800000,300103800000,468474300000,None
None,None,341288900000,341288900000,4693400000,1574588666,156073400000,None,None,45603900000,None,2012-03-31,74937900000,4074000000,4074000000,None,None,5174721000,None,None,4329500000,-268716200000,None,None,467265000,INR,99761600000,291009400000,112642800000,807080400000,3571155700000,1193973200000,268716200000,3174563000000,988096600000,183308700000,395055200000,None
None,None,393764300000,393764300000,4652200000,1561281666,128734200000,None,None,36162800000,None,2011-03-31,74937900000,6402900000,6402900000,None,None,3289277000,None,None,1815000000,-205420900000,None,None,494149000,INR,71946100000,169973900000,76686700000,628704900000,2920236300000,1058632000000,205420900000,2572406500000,771143800000,98722700000,346491700000,None
None,None,297558500000,297558500000,4577400000,1472829000,63595200000,None,None,13767300000,None,2010-03-31,74937900000,8961500000,8961500000,None,None,2930322000,None,None,1050300000,-161760200000,None,None,478101000,INR,77418100000,174019400000,98165000000,None,2416520400000,311325800000,161760200000,2110066200000,615759800000,75854400000,305581700000,None
None,None,171224400000,171224400000,4253800000,1390333333,33225300000,None,None,20581500000,None,2009-03-31,74937900000,12731000000,12731000000,None,None,545673000,None,None,471800000,-60462300000,None,None,340531000,INR,34845900000,94835800000,27237000000,None,2020744800000,191805900000,60462300000,1770691700000,651810800000,67598800000,249497700000,None
None,None,147208000000,147208000000,3544300000,1161412666,16742300000,None,None,11297700000,None,2008-03-31,None,None,None,None,None,1119155000,None,None,None,-146219900000,None,None,298923000,INR,31065700000,162162700000,129477600000,-72505600000,1507988900000,158505700000,146219900000,1388281600000,546528100000,32685100000,119245300000,None
None,None,93584475668,93584475668,3201278574,1072387666,17077805942,None,None,15781741742,None,2007-03-31,None,None,None,None,None,772893000,None,None,None,-112774866256,None,None,241244000,INR,24560416590,129377448658,95697060314,-10372407791,1015582946478,109366217410,112774866256,949595997842,319678555144,33680388344,65662932586,None
None,None,71566707791,71566707791,3136975424,1054868486,8279119798,None,None,8680153588,None,2006-03-31,None,None,None,None,None,360277000,None,None,None,-8415629832,None,None,195922000,INR,18318332341,92870513902,75813210034,-10372407791,792380386006,61194300000,75676700000,736788190850,8714600000,659799900000,55369398606,None
