capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
40758900000,2315334100000,-38506400000,None,None,None,None,None,None,38052300000,148261900000,148261900000,None,2025-03-31,707922500000,-2067691100000,None,None,None,None,None,None,None,None,None,63465000000,None,None,INR
42867200000,3347338700000,-3672564200000,None,None,None,None,None,None,52348300000,84044200000,84044200000,None,2024-03-31,751841400000,1022322400000,None,None,None,None,None,None,None,None,None,-2300000000,None,None,INR
43620300000,4173910400000,-34238900000,None,None,-47069600000,None,None,None,23489700000,86394300000,86394300000,None,2023-03-31,496264400000,477200600000,None,None,None,None,None,None,None,None,None,34158300000,None,None,INR
26324400000,2912107500000,-22163300000,None,None,21284600000,None,None,None,16816900000,36239200000,36239200000,None,2022-03-31,386603000000,581018200000,None,None,None,None,None,None,None,None,None,26097300000,None,None,INR
16961500000,-73213500000,-16808700000,None,None,-1456900900000,None,None,None,13850100000,166600000,166600000,None,2021-03-31,427725800000,424764600000,None,None,None,None,None,None,None,None,None,166600000,None,None,INR
16358700000,243944800000,-16169244000,0,0,-1824713600000,None,None,0,12800300000,66305900000,66305900000,None,2020-03-31,381525500000,-168690900000,None,None,None,None,None,None,None,None,None,18486800000,None,None,INR
16355000000,1517501900000,-1536982800000,0,0,-28426800000,None,None,0,12248800000,41015200000,41015200000,None,2019-03-31,220565500000,183272200000,None,None,None,None,None,None,None,None,None,1546245600000,None,None,INR
9181500000,2097014500000,-2048325700000,0,0,-32278000000,None,None,0,9679900000,34490300000,34490300000,None,2018-03-31,178833900000,94274200000,None,None,None,None,None,None,None,None,None,27259100000,None,None,INR
12628500000,1253976600000,-1578204100000,0,0,157747500000,None,None,0,8879900000,29280900000,29280900000,None,2017-03-31,140740600000,379272200000,None,None,None,None,None,None,None,None,None,22615100000,None,None,INR
9983400000,1007931000000,-1144840900000,0,0,22526600000,None,None,0,7434500000,24367900000,24367900000,None,2016-03-31,118049900000,170073200000,None,None,None,None,None,None,None,None,None,12229000000,None,None,INR
8913700000,1028946000000,-1171640500000,0,0,-22565400000,None,None,0,7124800000,19300500000,19300500000,None,2015-03-31,99504700000,109357100000,None,None,None,None,None,None,None,None,None,1000717500000,None,None,INR
9728500000,794437600000,-776871400000,None,None,33210400000,None,None,None,8518800000,15372600000,15372600000,None,2014-03-31,79446200000,127151300000,None,None,None,None,None,None,None,None,None,7232947000,None,None,INR
9994100000,642612900000,-684969500000,None,None,780500000,None,None,None,8990700000,11787000000,11787000000,None,2013-03-31,62134700000,71513500000,None,None,None,None,None,None,None,None,None,None,None,None,INR
7924500000,502352400000,-644119300000,None,None,-8642800000,None,None,None,7917600000,8947600000,8947600000,None,2012-03-31,50008000000,37492300000,None,None,None,None,None,None,None,None,None,None,None,None,INR
5836100000,407938500000,-466676000000,None,None,-8658600000,None,None,None,7697200000,6440900000,6440900000,None,2011-03-31,41527300000,50116600000,None,None,None,None,None,None,None,None,None,None,None,None,INR
5978600000,363046900000,-343907800000,None,None,57601800000,None,None,None,7903200000,4985800000,4985800000,None,2010-03-31,24887800000,109064400000,None,None,None,None,None,None,None,None,None,None,None,None,INR
6880500000,130888900000,-233048900000,None,None,None,None,None,None,7002400000,3530500000,3530500000,None,2009-03-31,15197700000,126176400000,None,None,None,None,None,None,None,None,None,None,None,None,INR
6470400000,393166500000,-276845000000,None,None,None,None,None,None,2816000000,2616300000,2616300000,None,2008-03-31,13154200000,-49659900000,None,None,None,None,None,None,None,None,None,None,None,None,INR
3231520072,162366602762,-176882521802,None,None,None,None,None,None,7940553332,1970017584,1970017584,None,2007-03-31,11064068054,33913679900,None,None,None,None,None,None,None,None,None,None,None,None,INR
3707334592,218781756169,None,None,None,None,None,None,None,5850637403,1599679229,1599679229,None,2006-03-31,9201497515,32670886092,None,None,None,None,None,None,None,None,None,None,None,None,INR
