comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,2004857100000,2004857100000,None,63021300000,861546200000,924567500000,2025-03-31,2190128100000,861546200000,175014900000,None,1823477000000,3227962600000,None,673508300000,686531300000,1404485600000,None,1328581900000,861546200000,None,INR,None,1124876500000,4194985200000
None,1666985900000,1666985900000,None,52348300000,705459000000,757807300000,2024-03-31,1853871200000,705459000000,77827100000,None,1533922800000,2836490200000,None,622656600000,654465000000,1295104700000,None,1148412200000,705459000000,None,INR,None,951762600000,3520857100000
None,849752000000,849752000000,None,23489700000,662381800000,685871500000,2023-03-31,1131161200000,662381800000,166117400000,None,775538200000,1689526700000,None,495446900000,496264400000,913988500000,None,468779400000,662381800000,None,INR,None,400219800000,1980913200000
None,711277000000,711277000000,None,16816900000,519162200000,535979100000,2022-03-31,892434200000,519162200000,132559200000,None,584297500000,1333137000000,None,386000400000,386603000000,748839500000,None,373272000000,519162200000,None,INR,None,320219100000,1603711200000
None,746514500000,746514500000,None,13860200000,439826500000,453686700000,2021-03-31,782428800000,439826500000,113820100000,None,592281100000,1285524000000,None,325977100000,318567700000,693048100000,None,342602300000,439826500000,None,INR,None,292978900000,1528943300000
None,736077400000,736077400000,None,12800300000,365844000000,378644300000,2020-03-31,674124500000,365844000000,105480000000,None,618455500000,1211982900000,None,260269900000,260364000000,593527400000,None,308280500000,365844000000,0,INR,0,263946300000,1410201900000
None,606488600000,606488600000,None,12248800000,339959000000,352207800000,2019-03-31,595348500000,339959000000,119393500000,None,534209300000,1041714900000,None,220103800000,220565500000,507505600000,None,255389500000,339959000000,0,INR,0,213613000000,1201837100000
None,479712500000,479712500000,None,9679900000,277106400000,286786300000,2018-03-31,508359800000,277106400000,98272500000,None,420314700000,843465300000,None,178514900000,178833900000,423150600000,None,231253400000,277106400000,0,INR,0,191756600000,988072300000
None,411710100000,411710100000,None,8879900000,219965500000,228845400000,2017-03-31,424170300000,219965500000,79224900000,None,373758700000,725554300000,None,140529800000,140740600000,351795600000,None,204204800000,219965500000,0,INR,0,167300700000,835880400000
None,354598400000,354598400000,None,7434500000,185586800000,193021300000,2016-03-31,367664100000,185586800000,67536900000,None,333067100000,625428600000,None,117915300000,0,292361500000,None,182077300000,185586800000,0,INR,0,150540200000,722262500000
None,281611100000,281611100000,None,7124800000,154024600000,161149400000,2015-03-31,298997600000,154024600000,54519900000,None,264610900000,500787200000,None,99237700000,7108.99,236176300000,None,144973000000,154024600000,0,INR,0,117349000000,580608700000
None,247067300000,247067300000,None,8518800000,121750400000,130269200000,2014-03-31,245978500000,121750400000,42304200000,None,229639200000,None,None,79319700000,87681373000,None,None,124228100000,121750400000,None,INR,None,96986500000,493045800000
None,209490000000,209490000000,None,8990700000,91974800000,100965500000,2013-03-31,209565900000,91974800000,29840100000,None,196802000000,None,None,61819400000,None,None,None,117591100000,91974800000,None,INR,None,91209000000,419055900000
None,158985300000,158985300000,None,7917600000,73836700000,81754300000,2012-03-31,171150200000,73836700000,23828700000,None,151148000000,None,None,49783400000,None,None,None,97313500000,73836700000,None,INR,None,74800800000,330135500000
None,103471600000,103471600000,None,7697200000,63225600000,70922800000,2011-03-31,145595800000,63225600000,21698300000,None,93849700000,None,None,41196900000,None,None,None,82370200000,63225600000,None,INR,None,62253200000,249067400000
None,95913900000,95913900000,None,7903200000,37226200000,45129400000,2010-03-31,105637100000,37226200000,12338400000,None,77720000000,None,None,24570700000,None,None,None,68410900000,37226200000,None,INR,None,49474500000,201551000000
None,106509800000,106509800000,None,7002400000,22935100000,29937500000,2009-03-31,86202400000,22935100000,7737400000,None,86114900000,None,None,15104300000,None,None,None,63267300000,22935100000,None,INR,None,47501800000,192712200000
None,62781700000,62781700000,None,2816000000,19552800000,22368800000,2008-03-31,61814600000,19552800000,6307600000,None,49414000000,None,None,13154200000,None,None,None,42261800000,19552800000,None,INR,None,34716500000,124596300000
None,41495655000,41495655000,None,7940553000,16218084000,24158637000,2007-03-31,44351317000,16218083000,5154015000,None,33226766000,None,None,11064068000,None,None,None,28133234000,16218083000,None,INR,None,11457208000,85846972000
None,3125900000,3125900000,None,5850637403,28758562597,34609200000,2006-03-31,32989420755,13176187967,3974690452,None,19655111641,None,None,9201497515,None,None,None,-4230858158,28758562597,None,INR,None,5431779889,36115320755
