accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,4528795000000,4528795000000,86067000000,1557127666,1663487000000,None,4422236000000,3916647000000,None,2025-03-31,None,1126019000000,1126019000000,2470590000000,None,6953520000000,None,2116073000000,563252000000,2420872000000,None,7859058000000,8958108000000,JPY,11122187000000,4422236000000,4422236000000,208478000000,30775867000000,11687762000000,8615157000000,18148045000000,19088105000000,9532888000000,12326529000000,None
None,None,4954565000000,4954565000000,86067000000,1633853333,1609836000000,None,4105590000000,3798684000000,None,2024-03-31,None,999689000000,999689000000,2442969000000,None,6057967000000,None,2175110000000,446763000000,2529955000000,None,861907000000,8437181000000,JPY,10644213000000,10084258000000,4026291000000,229583000000,29774150000000,11872564000000,8323492000000,16768278000000,17901586000000,8444786000000,12696995000000,None
None,None,3803014000000,3803014000000,86067000000,1696307000,1426333000000,None,3291195000000,2959764000000,None,2023-03-31,None,870900000000,870900000000,2167184000000,None,4373973000000,None,1771016000000,384494000000,1889777000000,None,738358000000,7894401000000,JPY,9980128000000,7623735000000,3249762000000,263892000000,24670067000000,9578348000000,6652124000000,13167776000000,15091719000000,6515652000000,11184250000000,None
None,None,3674931000000,3674931000000,86067000000,1719962000,1236233000000,None,3118304000000,2590881000000,None,2022-03-31,None,849507000000,849507000000,1918548000000,None,4984252000000,None,1787058000000,439322000000,1603813000000,None,685523000000,3079407000000,JPY,9539133000000,8052489000000,3068237000000,217743000000,23973153000000,8841425000000,6004399000000,13200607000000,15131728000000,7196208000000,10472824000000,None
None,None,2758020000000,2758020000000,86067000000,1726638000,1088061000000,None,3005624000000,2596468000000,None,2021-03-31,None,818763000000,818763000000,1545600000000,None,4715361000000,None,1519535000000,383696000000,1512926000000,None,637950000000,3021514000000,JPY,8901266000000,7720985000000,3031410000000,295307000000,21921030000000,7579091000000,5715457000000,12548191000000,14341939000000,6832734000000,9082306000000,-273786000000
None,None,2672353000000,2672353000000,86067000000,5256023889,958469000000,None,3248457000000,2512267000000,None,2020-03-31,None,760434000000,760434000000,1560568000000,None,4524799000000,None,1097199000000,365769000000,802512000000,None,647909000000,3051704000000,JPY,8142948000000,7773256000000,3248457000000,190053000000,20461465000000,7301010000000,5790088000000,12175442000000,13160455000000,6385354000000,8012259000000,-273940000000
0,0,2494121000000,2494121000000,86067000000,1759561385,1184882000000,None,3188782000000,2744878000000,None,2019-03-31,0,744368000000,744368000000,1586787000000,None,4206027000000,None,1130188000000,358234000000,1557734000000,None,382911000000,2981840000000,JPY,7973637000000,7394809000000,3188782000000,163274000000,20419122000000,7347294000000,5981124000000,11853332000000,13071828000000,5872208000000,8267720000000,-177827000000
0,0,2256488000000,2256488000000,86067000000,1793088970,1224627000000,None,2917261000000,2641162000000,None,2018-03-31,0,741514000000,741514000000,1523455000000,None,3941754000000,None,1116072000000,291006000000,717903000000,None,354473000000,3062433000000,JPY,7611332000000,6859015000000,2917261000000,213177000000,19349164000000,6925288000000,5624099000000,11115069000000,12423876000000,5490970000000,7933538000000,-113271000000
0,0,2105976000000,2105976000000,86067000000,1802282093,1183344000000,None,2786928000000,2642964000000,None,2017-03-31,0,778192000000,778192000000,1364130000000,None,4069431000000,None,961874000000,292970000000,647232000000,None,293949000000,3200378000000,JPY,6712894000000,6856359000000,2786928000000,149427000000,18958123000000,6555467000000,5428842000000,11388497000000,12402656000000,5959655000000,7295296000000,-26189000000
0,0,1757456000000,1757456000000,86067000000,1802285138,1128041000000,None,0,2752728000000,None,2016-03-31,0,824939000000,824939000000,1313292000000,None,3784383000000,None,0,315115000000,608972000000,None,0,6817675000000,JPY,6194311000000,6574003000000,2789620000000,103035000000,18229294000000,6241626000000,5470351000000,11197506000000,11987668000000,5727155000000,6761433000000,-26178000000
0,0,1466525000000,1466525000000,86067000000,1802289333,1157738000000,None,5991.94,820681000000,None,2015-03-31,0,759535000000,759535000000,1486177000000,None,157.13,None,4635.52,2412709000000,1258573000000,None,0,261.13,JPY,6789996000000,6705059000000,2778783000000,92708000000,18075363000000,6296140000000,5288484000000,11111160000000,11463457000000,5741962000000,6726450000000,-1.05
None,None,1193584000000,1193584000000,86067000000,1802294333,1079318000000,None,5949755000000,736871000000,None,2014-03-31,515067000000,145065000000,145065000000,1334775000000,None,31404797000,None,849879000000,2181908000000,1025136000000,None,None,49088687000,JPY,5831140000000,5786071000000,2580486000000,102020000000,15622031000000,5549158000000,4711329000000,9508633000000,9850765000000,4797304000000,6335534000000,-253923000
