capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
847435000000,280477000000,-941966000000,None,None,-79464000000,None,None,None,742863000000,347805000000,347805000000,None,2025-03-31,1317640000000,292152000000,None,None,None,None,None,None,None,None,None,-722037000000,None,None,JPY
608665000000,918646000000,-867267000000,None,None,-67833000000,None,None,None,1579486000000,241865000000,241865000000,None,2024-03-31,1107174000000,747278000000,None,None,None,None,None,None,None,None,None,-250009000000,None,None,JPY
632488000000,-1468359000000,-678060000000,None,None,-171467000000,None,None,None,721630000000,213475000000,213475000000,None,2023-03-31,938194000000,2129022000000,None,None,None,None,None,None,None,None,None,-156622000000,None,None,JPY
449226000000,-615718000000,-376056000000,None,None,-208895000000,None,None,None,611063000000,188402000000,188402000000,None,2022-03-31,1070190000000,1679622000000,None,None,None,None,None,None,None,None,None,-62180000000,None,None,JPY
551137000000,-283980000000,-796881000000,None,None,68281000000,None,None,None,624239000000,145090000000,145090000000,None,2021-03-31,914053000000,1072379000000,None,None,None,None,None,None,None,None,None,154000000,None,None,JPY
601258000000,-87411000000,-619481000000,None,None,-59931000000,None,None,None,699877000000,196795000000,196795000000,None,2020-03-31,789918000000,979415000000,None,None,None,None,None,None,None,None,None,-96113000000,None,None,JPY
607807000000,22924000000,-577555000000,0,0,-60906000000,None,None,0,721695000000,194271000000,194271000000,None,2019-03-31,979375000000,775988000000,None,None,None,None,None,None,None,None,None,-64556000000,None,None,JPY
572490000000,-174334000000,-615113000000,0,0,-202916000000,None,None,0,713093000000,174221000000,174221000000,None,2018-03-31,1114973000000,987671000000,None,None,None,None,None,None,None,None,None,-87082000000,None,None,JPY
637452000000,115423000000,-650618000000,0,0,-72144000000,None,None,0,674329000000,162205000000,162205000000,None,2017-03-31,1006986000000,885073000000,None,None,None,None,None,None,None,None,None,-11000000,None,None,JPY
871959000000,-95299000000,-875077000000,0,0,66405000000,None,None,0,660714000000,158601000000,158601000000,None,2016-03-31,635450000000,1390995000000,None,None,None,None,None,None,None,None,None,-13000000,None,None,JPY
2193592000000,12488000000,-840496000000,0,0,-68046000000,None,None,0,925859000000,158601000000,158601000000,None,2015-03-31,565932000000,1020404000000,None,None,None,None,None,None,None,None,None,-16000000,None,None,JPY
1901846000000,355458000000,-921023000000,None,None,-66991000000,None,None,None,588132000000,142381000000,142381000000,None,2014-03-31,933903000000,449108000000,None,None,None,None,None,None,None,None,None,-25000000,None,None,JPY
1419997000000,119567000000,-1069756000000,None,None,-74662000000,None,None,None,590469000000,129765000000,129765000000,None,2013-03-31,392638000000,800744000000,None,None,None,None,None,None,None,None,None,-7000000,None,None,JPY
1080985000000,-44121000000,-673069000000,None,None,-154222000000,None,None,None,530758000000,108138000000,108138000000,None,2012-03-31,222074000000,737429000000,None,None,None,None,None,None,None,None,None,-7000000,None,None,JPY
1116963000000,-126192000000,-731390000000,None,None,-33676000000,None,None,None,589415000000,92170000000,92170000000,None,2011-03-31,563477000000,1096613000000,None,None,None,None,None,None,None,None,None,-34797000000,None,None,JPY
392062000000,-559244000000,-595751000000,None,None,352994000000,None,None,None,629674000000,61696000000,61696000000,None,2010-03-31,282611000000,1544212000000,None,None,None,None,None,None,None,None,None,-18000000,None,None,JPY
635190000000,530862000000,-1133364000000,None,None,-262782000000,None,None,None,637644000000,139724000000,139724000000,None,2009-03-31,150933000000,383641000000,None,None,None,None,None,None,None,None,None,None,None,None,JPY
666267833000,686010579000,-1681523606000,None,None,-100309105000,None,None,None,516900995000,161830693000,161830693000,None,2008-03-31,598265040000,1123641456000,None,None,None,None,None,None,None,None,None,-30611228000,None,None,JPY
597938124000,423446230000,-1130721611000,None,None,-96848303000,None,None,None,371487469000,147982322000,147982322000,None,2007-03-31,592400569000,904624417000,None,None,None,None,None,None,None,None,None,-26745213000,None,None,JPY
459981175000,24011300000,-672669502000,None,None,-109698683000,None,None,None,262241059000,71092280000,71092280000,None,2006-03-31,596986826000,576506600000,None,None,None,None,None,None,None,None,None,-77095105000,None,None,JPY
