comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,17024788000000,17024788000000,None,742863000000,1372547000000,2115410000000,2025-03-31,4663979000000,1317640000000,414606000000,None,54907000000,191131000000,None,835837000000,903034000000,134927000000,None,3450493000000,1213486000000,None,JPY,1099482000000,2351011000000,21688767000000
None,16016659000000,16016659000000,None,794366000000,1702015000000,2496381000000,2024-03-31,4412143000000,1642384000000,459794000000,None,59631000000,173695000000,None,1107174000000,1182590000000,73574000000,None,3030166000000,1381977000000,None,JPY,923627000000,2106539000000,20428802000000
None,13576133000000,13576133000000,None,721630000000,915677000000,1637307000000,2023-03-31,3331592000000,879565000000,162256000000,None,36112000000,154404000000,None,651416000000,761160000000,-18649000000,None,2550823000000,780769000000,None,JPY,880915000000,1611279000000,16907725000000
None,11567923000000,11567923000000,None,1476908000000,884545000000,2361453000000,2022-03-31,2984773000000,1070190000000,309489000000,None,16867000000,25627000000,None,707067000000,760701000000,8760000000,None,2113541000000,871232000000,None,JPY,787056000000,1326485000000,14552696000000
None,10439689000000,10439689000000,None,1425118000000,655196000000,2080314000000,2021-03-31,2730830000000,914053000000,218609000000,None,130844213,19805000000,None,657425000000,695444000000,5928000000,None,2070622000000,660208000000,None,JPY,738894000000,1331728000000,13170519000000
None,11851659000000,11851659000000,None,1461403000000,814607000000,2276010000000,2020-03-31,3079350000000,789918000000,279986000000,None,227075876,149908000000,None,455746000000,509932000000,31096000000,None,2445713000000,633637000000,None,JPY,804123000000,1641590000000,14931009000000
None,12580949000000,12580949000000,None,1468685000000,992592000000,2461277000000,2019-03-31,3307668000000,979375000000,303089000000,None,13217000000,245674000000,None,610316000000,676286000000,35401000000,None,2581298000000,726370000000,0,JPY,806905000000,1774393000000,15888617000000
None,12000581000000,12000581000000,None,1454116000000,1127943000000,2582059000000,2018-03-31,3360565000000,1114973000000,-13666000000,None,12970000000,278522000000,None,1059337000000,1128639000000,28221000000,None,2527007000000,833558000000,0,JPY,751856000000,1775151000000,15361146000000
None,10865848000000,10865848000000,None,1336410000000,1019457000000,2355867000000,2017-03-31,3133352000000,1006986000000,327592000000,None,12471000000,160130000000,None,616569000000,679394000000,19918000000,None,2292641000000,840711000000,0,JPY,691429000000,1601212000000,13999200000000
None,11332399000000,11332399000000,None,660714000000,653596000000,1314310000000,2016-03-31,3268752000000,635450000000,229092000000,None,18146000000,133447000000,None,344531000000,406358000000,None,None,2765376000000,503376000000,0,JPY,656502000000,2108874000000,14601151000000
None,9451965000000,9451965000000,None,625229000000,824431000000,1449660000000,2015-03-31,3194782000000,806237000000,245139000000,None,16598000000,None,None,509435000000,561098000000,None,None,2326712000000,670603000000,0,JPY,606162000000,1720550000000,12646747000000
None,8761083000000,8761083000000,None,588132000000,946706000000,1534838000000,2014-03-31,3081368000000,933903000000,267992000000,None,12703000000,None,None,624703000000,None,None,None,2091670000000,823864000000,None,JPY,598372000000,1696957000000,11842451000000
None,7345162000000,7345162000000,None,590469000000,501048000000,1091517000000,2013-03-31,2532785000000,488891000000,178976000000,None,12157000000,None,None,367149000000,None,None,None,1987975000000,544810000000,None,JPY,560270000000,1427705000000,9877947000000
None,5919633000000,5919633000000,None,530758000000,267781000000,798539000000,2012-03-31,2028462000000,257403000000,135735000000,None,10378000000,None,None,211482000000,None,None,None,1797098000000,231364000000,None,JPY,519818000000,1277280000000,7948095000000
None,6496841000000,6496841000000,None,563639000000,639022000000,1202661000000,2011-03-31,2440026000000,630548000000,206827000000,None,8474000000,None,None,534088000000,None,None,None,1870251000000,569775000000,None,JPY,487591000000,1382660000000,8936867000000
None,6414721000000,6414721000000,None,629674000000,348750000000,978424000000,2010-03-31,2164453000000,336198000000,146869000000,None,12552000000,None,None,268400000000,None,None,None,1800678000000,363775000000,None,JPY,463354000000,1337324000000,8579174000000
None,7419582000000,7419582000000,None,637644000000,184277000000,821921000000,2009-03-31,2591659000000,161734000000,109835000000,None,22543000000,None,None,137005000000,None,None,None,2402016000000,189643000000,None,JPY,563197000000,1838819000000,10011241000000
None,8518496483000,8518496483000,None,516900995000,950344016000,1467245011000,2008-03-31,3449596221000,893209705000,386279794000,None,0,None,None,598265040000,None,None,None,2499252205000,950344016000,None,JPY,586299739000,1913052176240,11968092704000
None,7865566743000,7865566743000,None,371487469000,851958734000,1223446203000,2007-03-31,3222267932000,792930754000,283829151000,None,0,None,None,592400569000,None,None,None,2370309198000,851958734000,None,JPY,551870379000,1818320998560,11087834675000
None,7009534005000,7009534005000,None,262241059000,868761783000,1131002842000,2006-03-31,2897245807000,814500954000,317208103000,None,0,None,None,596986826000,None,None,None,2028484023000,868761783000,None,JPY,510357823000,1656191173950,9906779812000
