accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,1126000000,10567000000,10567000000,958000000,655300000,6880000000,None,5620000000,7819000000,None,2024-12-31,21825000000,6656000000,6656000000,6442000000,None,25479000000,None,1394000000,2694000000,3798000000,None,2140000000,None,USD,50835000000,32225000000,5819000000,386000000,75196000000,27908000000,21256000000,56035000000,47288000000,34779000000,18619000000,None
None,1093000000,7925000000,7925000000,958000000,668200000,6849000000,None,3881000000,7530000000,None,2023-12-31,18049000000,3231000000,3231000000,6178000000,None,16562000000,None,939000000,1699000000,3434000000,None,2172000000,None,USD,47979000000,21536000000,4077000000,170000000,61525000000,23502000000,18539000000,45084000000,38023000000,26545000000,15856000000,None
None,967000000,9627000000,9627000000,958000000,683100000,6329000000,None,4447000000,7440000000,None,2022-12-31,17497000000,3222000000,3222000000,5538000000,None,15123000000,None,945000000,1894000000,4692000000,None,7649000000,5471000000,USD,45093000000,20537000000,4639000000,483000000,62275000000,24982000000,19938000000,44949000000,37293000000,25011000000,16697000000,-34443000000
None,1032000000,10959000000,10959000000,958000000,700400000,6484000000,None,5345000000,6830000000,None,2021-12-31,17756000000,3613000000,3613000000,5138000000,None,14254000000,None,1222000000,1881000000,3669000000,None,8887000000,5562000000,USD,42827000000,20631000000,5530000000,564000000,64470000000,25372000000,19508000000,45221000000,39098000000,25713000000,18569000000,-30462000000
None,828000000,14275000000,14275000000,958000000,711200000,5750000000,None,6042000000,6827000000,None,2020-12-31,16058000000,3560000000,3560000000,4489000000,None,16342000000,None,1051000000,1639000000,3698000000,None,9137000000,5570000000,USD,39905000000,23212000000,6229000000,945000000,64586000000,28175000000,19197000000,46789000000,36411000000,27592000000,17549000000,-27229000000
None,705000000,9067000000,9067000000,958000000,730300000,5730000000,None,4892000000,7493000000,None,2019-12-31,15563000000,3734000000,3734000000,4421000000,None,11110000000,None,980000000,1973000000,4323000000,None,9088000000,5325000000,USD,37693000000,16707000000,5063000000,1349000000,58679000000,24303000000,18098000000,39966000000,34376000000,21868000000,18494000000,-23836000000
None,None,9287000000,9287000000,958000000,753000000,5607000000,None,6458000000,7508000000,None,2018-12-31,15546000000,4139000000,4139000000,4326000000,None,9756000000,None,1179000000,1618000000,4056000000,None,9015000000,5296000000,USD,33978000000,16214000000,6458000000,1623000000,57773000000,24362000000,18924000000,39408000000,33411000000,20484000000,18180000000,-19771000000
None,None,7059000000,7059000000,958000000,772100000,6584000000,None,5309000000,8866000000,None,2017-12-31,18277000000,4496000000,4496000000,4613000000,None,12573000000,None,1078000000,1706000000,4359000000,None,7615000000,5926000000,USD,27481000000,17882000000,5309000000,3758000000,59470000000,26002000000,18861000000,42800000000,33468000000,23939000000,16502000000,-15914000000
None,None,7843000000,7843000000,958000000,775300000,5690000000,None,3593000000,8177000000,None,2016-12-31,17707000000,4634000000,4634000000,4366000000,None,12182000000,None,1004000000,1152000000,4177000000,None,5597000000,5793000000,USD,28710000000,15775000000,3593000000,1520000000,54146000000,23058000000,16331000000,34596000000,31088000000,18265000000,19369000000,-13366000000
None,None,5455000000,5455000000,958000000,789300000,5580000000,None,577000000,8075000000,None,2015-12-31,15895000000,4577000000,4577000000,4420000000,None,5554000000,None,943000000,2103000000,3947000000,None,6125000000,5789000000,USD,26147000000,12068000000,6514000000,2080000000,49316000000,20053000000,18371000000,30608000000,29263000000,12237000000,18283000000,-11664000000
