capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
1164000000,6839000000,-10157000000,None,None,-304000000,None,None,None,1334000000,2902000000,2902000000,None,2024-12-31,5705000000,6097000000,None,None,None,None,None,None,None,None,None,-1655000000,None,None,USD
1039000000,-5763000000,-1293000000,None,None,-626000000,None,None,None,1176000000,2855000000,2855000000,None,2023-12-31,5658000000,5340000000,None,None,None,None,None,None,None,None,None,-3715000000,None,None,USD
766000000,-6330000000,-93000000,-1149000000,None,-440000000,None,None,-739000000,1204000000,2719000000,2719000000,None,2022-12-31,4967000000,5274000000,None,None,None,None,None,None,None,None,None,-4200000000,None,None,USD
895000000,-8254000000,-1061000000,-3277000000,None,-685000000,None,None,-8000000,1223000000,2626000000,2626000000,None,2021-12-31,5610000000,6038000000,None,None,None,None,None,None,None,None,None,-3380000000,None,None,USD
906000000,-81000000,-987000000,5140000000,None,-67000000,None,None,669000000,1002000000,2592000000,2592000000,None,2020-12-31,4779000000,6208000000,None,None,None,None,None,None,None,None,None,-3714000000,None,None,USD
839000000,-6600000000,-533000000,-236000000,None,-100000000,None,None,11000000,1088000000,2442000000,2442000000,None,2019-12-31,6143000000,6897000000,None,None,None,None,None,None,None,None,None,-4400000000,None,None,USD
828000000,-5032000000,1027000000,2228000000,-201000000,-503000000,None,None,-236000000,1116000000,2272000000,2272000000,None,2018-12-31,6765000000,6434000000,None,None,None,None,None,None,None,None,None,-4000000000,None,None,USD
1031000000,-3516000000,-3574000000,-784000000,340000000,-259000000,None,None,-682000000,1115000000,2119000000,2119000000,None,2017-12-31,1655000000,5966000000,None,None,None,None,None,None,None,None,None,-2889000000,None,None,USD
1095000000,346000000,-3342000000,2388000000,-114000000,-18000000,None,None,-770000000,1030000000,1915000000,1915000000,None,2016-12-31,4809000000,5498000000,None,None,None,None,None,None,None,None,None,-2079000000,None,None,USD
1073000000,102000000,-6514000000,-1504000000,-546000000,230000000,None,None,211000000,883000000,1726000000,1726000000,None,2015-12-31,4768000000,5454000000,None,None,None,None,None,None,None,None,None,-1884000000,None,None,USD
1094000000,-2272000000,-1876000000,537000000,-339000000,-200000000,None,None,-172000000,924000000,1510000000,1510000000,None,2014-12-31,4239000000,5024000000,None,None,None,None,None,None,None,None,None,-924000000,None,None,USD
947000000,-433000000,-1959000000,1788000000,-155000000,41000000,None,None,-365000000,989000000,1353000000,1353000000,None,2013-12-31,3924000000,4335000000,None,None,None,None,None,None,None,None,None,-1073000000,None,None,USD
884000000,-1206000000,-1428000000,936000000,53000000,25000000,None,None,-119000000,926000000,1211000000,1211000000,None,2012-12-31,2926000000,3517000000,None,None,None,None,None,None,None,None,None,-317000000,None,None,USD
798000000,-1114000000,-611000000,None,None,-310000000,None,None,None,957000000,1091000000,1091000000,None,2011-12-31,2067000000,2833000000,None,None,None,None,None,None,None,None,None,-1085000000,None,None,USD
651000000,-2047000000,-2269000000,-151000000,-38000000,-310000000,None,None,-718000000,987000000,944000000,944000000,None,2010-12-31,2022000000,4203000000,None,None,None,None,None,None,None,None,None,21000000,None,None,USD
609000000,-2152000000,-1133000000,None,None,479000000,None,None,None,957000000,918000000,918000000,None,2009-12-31,2153000000,3946000000,None,None,None,None,None,None,None,None,None,1488000000,None,None,USD
884000000,-1370000000,-2023000000,None,None,-161000000,None,None,None,903000000,811000000,811000000,None,2008-12-31,2792000000,3791000000,None,None,None,None,None,None,None,None,None,-1459000000,None,None,USD
767000000,-1574000000,-1782000000,None,None,-183000000,None,None,None,837000000,767000000,767000000,None,2007-12-31,2444000000,3911000000,None,None,None,None,None,None,None,None,None,-3986000000,None,None,USD
733000000,-2649000000,-614000000,None,None,-128000000,None,None,None,794000000,744000000,744000000,None,2006-12-31,2083000000,3211000000,None,None,None,None,None,None,None,None,None,-1896000000,None,None,USD
684000000,-2716000000,-2010000000,None,None,37000000,None,None,None,697000000,700000000,700000000,None,2005-12-31,1655000000,2442000000,None,None,None,None,None,None,None,None,None,-1133000000,None,None,USD
