comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,23738000000,23738000000,None,1334000000,8271000000,9605000000,2024-12-31,14758000000,7213000000,1473000000,None,1058000000,426000000,None,5705000000,5740000000,-632000000,None,6888000000,7870000000,None,USD,1536000000,5466000000,38496000000
None,22995000000,22995000000,None,1176000000,7084000000,7084000000,2023-12-31,13667000000,7159000000,1501000000,None,765000000,302000000,None,5658000000,5445000000,-405000000,None,6583000000,7084000000,None,USD,1456000000,5080000000,36662000000
None,21839000000,21839000000,None,1204000000,6793000000,7997000000,2022-12-31,13614000000,6379000000,1412000000,None,414000000,138000000,None,4966000000,4967000000,-414000000,None,6380000000,7234000000,366000000,USD,1478000000,4571000000,35453000000
None,21614000000,21614000000,None,1223000000,7578000000,8801000000,2021-12-31,12773000000,7235000000,1625000000,None,343000000,102000000,None,5542000000,5610000000,-343000000,None,6028000000,6745000000,1378000000,USD,1333000000,3525000000,34387000000
None,20486000000,20486000000,None,1002000000,6371000000,7373000000,2020-12-31,12154000000,6012000000,1147000000,None,359000000,107000000,None,4779000000,4865000000,-359000000,None,5864000000,6290000000,675000000,USD,1334000000,3814000000,32640000000
None,22573000000,22573000000,None,1088000000,7986000000,9074000000,2019-12-31,14133000000,7559000000,1329000000,None,357000000,255000000,None,6143000000,6230000000,-102000000,None,6806000000,7327000000,1065000000,USD,1556000000,5519000000,36706000000
None,26397000000,26397000000,None,1116000000,7817000000,8933000000,2018-12-31,15414000000,7487000000,659000000,None,367000000,217000000,None,6765000000,6828000000,-150000000,None,7619000000,7795000000,1149000000,USD,1809000000,6051000000,41811000000
None,25604000000,25604000000,None,1115000000,7237000000,8352000000,2017-12-31,14915000000,6902000000,5204000000,None,316000000,151000000,None,1655000000,1698000000,-165000000,None,7763000000,7152000000,67000000,USD,1835000000,5808000000,40519000000
None,24466000000,24466000000,None,1030000000,6714000000,7744000000,2016-12-31,14839000000,6447000000,1601000000,None,338000000,106000000,None,4809000000,4846000000,-232000000,None,7491000000,7348000000,102000000,USD,2143000000,5469000000,39305000000
None,24498000000,24498000000,None,883000000,6898000000,7781000000,2015-12-31,14066000000,6586000000,1739000000,None,310000000,None,None,4768000000,4847000000,None,None,6801000000,7265000000,68000000,USD,1856000000,5006000000,38564000000
None,26540000000,26540000000,None,924000000,6174000000,7098000000,2014-12-31,13761000000,5818000000,1489000000,None,318000000,None,None,4239000000,4329000000,None,None,7332000000,6429000000,305000000,USD,1892000000,5518000000,40301000000
None,25989000000,25989000000,None,989000000,5648000000,6637000000,2013-12-31,13073000000,5412000000,1450000000,None,327000000,None,None,3924000000,3962000000,None,None,6886000000,6187000000,238000000,USD,1804000000,5190000000,39062000000
None,26022000000,26022000000,None,926000000,4238000000,5164000000,2012-12-31,11650000000,3875000000,944000000,None,351000000,None,None,2926000000,2931000000,None,None,7038000000,4612000000,70000000,USD,1847000000,5218000000,37672000000
None,26075000000,26075000000,None,957000000,2770000000,3727000000,2011-12-31,10425000000,2282000000,417000000,None,376000000,None,None,2067000000,None,None,None,7093000000,3332000000,None,USD,1799000000,5399000000,36500000000
None,22735000000,22735000000,None,987000000,3132000000,4119000000,2010-12-31,9634000000,2843000000,808000000,None,386000000,None,None,2022000000,2035000000,None,None,6025000000,3609000000,95000000,USD,1450000000,4717000000,32369000000
None,22220000000,22220000000,None,957000000,2506000000,3463000000,2009-12-31,8634000000,2978000000,789000000,None,459000000,None,None,2153000000,None,None,None,5705000000,2929000000,None,USD,1330000000,4341000000,30854000000
None,25543000000,25543000000,None,903000000,4257000000,5160000000,2008-12-31,11013000000,3801000000,1009000000,None,456000000,None,None,2792000000,None,None,None,6472000000,4541000000,None,USD,1543000000,5033000000,36556000000
None,24346000000,24346000000,None,837000000,3777000000,4614000000,2007-12-31,10243000000,3321000000,877000000,None,456000000,None,None,2444000000,None,None,None,5976000000,4267000000,None,USD,1459000000,4565000000,34589000000
None,22213000000,22213000000,None,794000000,3172000000,3966000000,2006-12-31,9154000000,2798000000,720000000,None,374000000,None,None,2083000000,None,None,None,5610000000,3544000000,None,USD,1411000000,4210000000,31367000000
None,20095000000,20095000000,None,697000000,2608000000,3305000000,2005-12-31,7557000000,2323000000,742000000,None,356000000,None,None,1655000000,None,None,None,4736000000,2821000000,None,USD,1072000000,3707000000,27652000000
