accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,3423000000,13947000000,13947000000,61380000000,937200000,4032000000,None,5089000000,14010000000,None,2024-12-31,60706000000,10661000000,10661000000,1289000000,None,49884000000,None,None,4592000000,7313000000,None,981000000,8928000000,USD,151163000000,58396000000,5857000000,644000000,137175000000,34482000000,33142000000,109782000000,102694000000,76640000000,27307000000,None
None,3388000000,13068000000,13068000000,59643000000,922073828,4132000000,None,6426000000,13956000000,None,2023-12-31,60178000000,11036000000,11036000000,1161000000,None,50121000000,None,None,4350000000,7023000000,None,1164000000,8721000000,USD,151276000000,59935000000,7246000000,373000000,135241000000,32908000000,34122000000,112628000000,102333000000,78506000000,22533000000,None
None,3064000000,7886000000,7886000000,58343000000,912269062,4051000000,None,4760000000,7005000000,None,2022-12-31,55949000000,11184000000,11184000000,1552000000,None,46189000000,None,1617000000,11823000000,7592000000,None,12243000000,8212000000,USD,149825000000,54013000000,5634000000,852000000,127243000000,29118000000,31505000000,105222000000,98126000000,73717000000,21944000000,None
-14390000000,3436000000,6650000000,6650000000,57319000000,904641001,3955000000,None,6787000000,14977000000,None,2021-12-31,55643000000,12511000000,12511000000,1649000000,None,44917000000,None,1823000000,5663000000,9386000000,None,13995000000,8916000000,USD,154209000000,55139000000,7760000000,600000000,132001000000,29539000000,33619000000,113005000000,102460000000,79386000000,18901000000,-169392000000
-23136000000,4931000000,13212000000,13212000000,56556000000,896600000,4908000000,None,7183000000,18738000000,None,2020-12-31,59617000000,13795000000,13795000000,1839000000,None,54355000000,None,9368000000,4776000000,13588000000,None,36719000000,10040000000,USD,162717000000,62895000000,8540000000,600000000,155970000000,39165000000,39869000000,135245000000,116805000000,95376000000,20597000000,-169339000000
-22018000000,5259000000,8172000000,8172000000,55895000000,892800000,4896000000,None,8797000000,23795000000,None,2019-12-31,58222000000,15236000000,15236000000,1619000000,None,54102000000,None,10786000000,4138000000,10602000000,None,35547000000,10010000000,USD,162954000000,64279000000,10177000000,696000000,152186000000,38420000000,37701000000,131201000000,113766000000,93500000000,20841000000,-169413000000
-21668000000,None,11379000000,11379000000,55151000000,916300000,6558000000,None,10207000000,30563000000,None,2018-12-31,36265000000,3088000000,3088000000,1682000000,None,35605000000,None,11534000000,4904000000,10297000000,None,32621000000,10792000000,USD,159206000000,45812000000,10207000000,618000000,123382000000,49146000000,38227000000,106452000000,74236000000,68225000000,16796000000,-168071000000
-21215000000,None,11972000000,11972000000,54566000000,937400000,6451000000,None,6986000000,31630000000,None,2017-12-31,36788000000,3741000000,3741000000,1583000000,None,39837000000,None,14469000000,3942000000,12374000000,None,26685000000,11116000000,USD,153126000000,46823000000,6986000000,608000000,125355000000,49735000000,37363000000,107631000000,75620000000,70268000000,17594000000,-163507000000
-19303000000,None,7826000000,7826000000,53935000000,958700000,6209000000,None,7513000000,29245000000,None,2016-12-31,36199000000,4689000000,4689000000,1553000000,None,34655000000,None,13606000000,4563000000,8283000000,None,24547000000,10830000000,USD,152759000000,42168000000,7513000000,701000000,117470000000,43888000000,36275000000,99078000000,73581000000,62803000000,18246000000,-159050000000
-18615000000,None,7686000000,7686000000,53262000000,982700000,6028000000,None,5271000000,28554000000,None,2015-12-31,32021000000,3487000000,3487000000,1551000000,None,33428000000,None,10013000000,4205000000,7912000000,None,24603000000,10727000000,USD,146124000000,39889000000,6461000000,508000000,110495000000,42504000000,34269000000,96071000000,67991000000,61802000000,14262000000,-155518000000
-28263000000,None,8476000000,8476000000,52666000000,1010000000,6864000000,None,4601000000,31831000000,None,2014-12-31,30556000000,3104000000,3104000000,2103000000,None,35073000000,None,11109000000,4967000000,10025000000,None,27153000000,10771000000,USD,137793000000,40722000000,5731000000,5000000,117532000000,47377000000,39581000000,105518000000,68111000000,65918000000,11868000000,-150715000000
-26654000000,None,10716000000,10716000000,51594000000,1103000000,7461000000,None,None,31836000000,None,2013-12-31,31184000000,3871000000,3871000000,2310000000,None,32856000000,None,12755000000,6138000000,8640000000,None,26176000000,13821000000,USD,130042000000,39718000000,6863000000,350000000,126223000000,51350000000,40154000000,103294000000,74872000000,63140000000,22792000000,-137242000000
-26505000000,None,10412000000,10412000000,50110000000,1155400000,7952000000,None,None,30578000000,None,2012-12-31,29247000000,3787000000,3787000000,2287000000,None,24088000000,None,12812000000,5439000000,9591000000,None,28025000000,13996000000,USD,117641000000,33269000000,9182000000,717000000,119213000000,49433000000,43625000000,100229000000,69781000000,56604000000,18860000000,-123131000000
-26241000000,None,11922000000,11922000000,48129000000,1213800000,8517000000,None,None,29561000000,None,2011-12-31,26213000000,3392000000,3392000000,2595000000,None,22857000000,None,10776000000,6850000000,9631000000,None,27370000000,13883000000,USD,104857000000,31320000000,8465000000,0,116433000000,50928000000,42123000000,96198000000,65505000000,54075000000,20138000000,-110963000000
