capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
1685000000,-7079000000,-4937000000,None,None,-166000000,None,None,None,4667000000,6147000000,6147000000,None,2024-12-31,6023000000,13445000000,None,None,None,None,None,None,None,None,None,-651000000,None,None,USD
1918000000,-6016000000,-7070000000,None,None,390000000,None,None,None,4381000000,6016000000,6016000000,None,2023-12-31,6925000000,13432000000,None,None,None,None,None,None,None,None,None,-416000000,None,None,USD
1860000000,-4958000000,-4202000000,None,None,71000000,None,None,None,4802000000,5948000000,5948000000,None,2022-12-31,1639000000,10435000000,None,None,None,None,None,None,None,None,None,-407000000,None,None,USD
2381000000,-13354000000,-5975000000,-6533000000,None,138000000,None,None,1372000000,6416000000,5869000000,5869000000,None,2021-12-31,5743000000,12796000000,None,None,None,None,None,None,None,None,None,-319000000,None,None,USD
3042000000,-9721000000,-3028000000,5448000000,None,-209000000,None,None,5297000000,6695000000,5797000000,5797000000,None,2020-12-31,5590000000,18197000000,None,None,None,None,None,None,None,None,None,-210000000,None,None,USD
2907000000,9042000000,-26936000000,-3124000000,None,67000000,None,None,502000000,6059000000,5707000000,5707000000,None,2019-12-31,9431000000,14770000000,None,None,None,None,None,None,None,None,None,-1633000000,None,None,USD
3964000000,-10469000000,-4913000000,-135000000,None,-127000000,None,None,1006000000,4480000000,5666000000,5666000000,None,2018-12-31,8728000000,15247000000,None,None,None,None,None,None,None,None,None,-4614000000,None,None,USD
3773000000,-6418000000,-7096000000,4146000000,937000000,18000000,None,None,1297000000,4541000000,5506000000,5506000000,None,2017-12-31,5753000000,16724000000,None,None,None,None,None,None,None,None,None,-4533000000,None,None,USD
4150000000,-5917000000,-10536000000,140000000,-51000000,-14000000,None,None,712000000,4381000000,5256000000,5256000000,None,2016-12-31,11872000000,17084000000,None,None,None,None,None,None,None,None,None,-3628000000,None,None,USD
4151000000,-9413000000,-8200000000,-790000000,-473000000,133000000,None,None,812000000,3855000000,4900000000,4900000000,None,2015-12-31,13190000000,17255000000,None,None,None,None,None,None,None,None,None,-4857000000,None,None,USD
4183000000,-15452000000,-3000000000,-2240000000,-655000000,-39000000,None,None,1270000000,4492000000,4300000000,4300000000,None,2014-12-31,12022000000,16868000000,None,None,None,None,None,None,None,None,None,-13679000000,None,None,USD
4140000000,-9883000000,-7300000000,304000000,28000000,-57000000,None,None,-1407000000,4678000000,4100000000,4100000000,None,2013-12-31,16483000000,17485000000,None,None,None,None,None,None,None,None,None,-13859000000,None,None,USD
4717000000,-11976000000,-9000000000,-1510000000,-116000000,280000000,None,None,-2230000000,4676000000,3773000000,3773000000,None,2012-12-31,16604000000,19586000000,None,None,None,None,None,None,None,None,None,-11995000000,None,None,USD
4667000000,-13696000000,-4396000000,1261000000,-493000000,-163000000,None,None,-1279000000,4815000000,3473000000,3473000000,None,2011-12-31,15855000000,19846000000,None,None,None,None,None,None,None,None,None,-15046000000,None,None,USD
4754000000,-12429000000,-8507000000,-1522000000,-135000000,92000000,None,None,-489000000,4831000000,3177000000,3177000000,None,2010-12-31,14833000000,19549000000,None,None,None,None,None,None,None,None,None,-15375000000,None,None,USD
4077000000,-14700000000,-6729000000,-558000000,98000000,263000000,None,None,2131000000,4994000000,2860000000,2860000000,None,2009-12-31,13425000000,20773000000,None,None,None,None,None,None,None,None,None,-7429000000,None,None,USD
4887000000,-11834000000,-9285000000,None,None,-102000000,None,None,None,5450000000,2585000000,2585000000,None,2008-12-31,12334000000,18812000000,None,None,None,None,None,None,None,None,None,-10578000000,None,None,USD
5505000000,-4740000000,-4675000000,None,None,182000000,None,None,None,5201000000,2147000000,2147000000,None,2007-12-31,10418000000,16089000000,None,None,None,None,None,None,None,None,None,-18828000000,None,None,USD
5166000000,-8204000000,-11549000000,None,None,112000000,None,None,None,4983000000,1683000000,1683000000,None,2006-12-31,9492000000,15019000000,None,None,None,None,None,None,None,None,None,-8100000000,None,None,USD
4634000000,-7147000000,-4423000000,None,None,202000000,None,None,None,5188000000,1250000000,1250000000,None,2005-12-31,7934000000,14914000000,None,None,None,None,None,None,None,None,None,-7700000000,None,None,USD
