comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,27201000000,27201000000,None,4667000000,7509000000,12176000000,2024-12-31,35551000000,5797000000,-218000000,None,1712000000,747000000,None,6023000000,6015000000,-965000000,None,25478000000,10074000000,None,USD,7479000000,16737000000,62753000000
None,27560000000,27560000000,None,4395000000,7514000000,7514000000,2023-12-31,34300000000,8690000000,1176000000,None,1607000000,591000000,None,7502000000,7099000000,-924000000,None,26786000000,7514000000,None,USD,6631000000,17952000000,61860000000
None,27842000000,27842000000,None,4802000000,2372000000,7174000000,2022-12-31,32687000000,1156000000,-626000000,None,1216000000,162000000,None,1640000000,1782000000,-1216000000,None,24514000000,8174000000,None,USD,6567000000,16103000000,60530000000
None,25865000000,25865000000,None,6417000000,7021000000,13438000000,2021-12-31,31486000000,4837000000,124000000,None,1155000000,52000000,None,5742000000,4712000000,-1103000000,None,24654000000,6832000000,-873000000,USD,6488000000,17699000000,57351000000
None,38046000000,38046000000,None,6695000000,6014000000,12709000000,2020-12-31,35575000000,4637000000,-864000000,None,1288000000,105000000,None,5590000000,5501000000,-1183000000,None,28680000000,6895000000,-861000000,USD,6333000000,20308000000,73621000000
None,26181000000,26181000000,None,6059000000,8550000000,14609000000,2019-12-31,31533000000,7206000000,60000000,None,1022000000,349000000,None,9431000000,9435000000,-995000000,None,23995000000,7538000000,968000000,USD,5910000000,17215000000,57714000000
None,42655000000,42655000000,None,4480000000,12065000000,16545000000,2018-12-31,36936000000,11342000000,2619000000,None,686000000,264000000,None,8728000000,8723000000,-459000000,None,23719000000,13217000000,-1152000000,USD,5379000000,17900000000,79591000000
None,42196000000,42196000000,None,4541000000,12015000000,16556000000,2017-12-31,36943000000,11400000000,5642000000,None,663000000,144000000,None,5753000000,5758000000,-471000000,None,23804000000,13139000000,216000000,USD,5590000000,17911000000,79139000000
None,41403000000,41403000000,None,4381000000,12960000000,17341000000,2016-12-31,38516000000,12330000000,449000000,None,630000000,108000000,None,11872000000,11881000000,-522000000,None,24878000000,14677000000,-145000000,USD,5726000000,18952000000,79920000000
None,41057000000,41057000000,None,3855000000,16413000000,20268000000,2015-12-31,40684000000,15945000000,2581000000,None,468000000,None,None,13190000000,13364000000,None,None,24764000000,16508000000,724000000,USD,5247000000,18604000000,81742000000
None,46386000000,46386000000,None,4492000000,20470000000,24962000000,2014-12-31,46407000000,19986000000,4234000000,None,484000000,None,None,12022000000,15751000000,None,None,27541000000,20338000000,1938000000,USD,5437000000,21165000000,92793000000
None,49683000000,49683000000,None,4678000000,20646000000,25324000000,2013-12-31,48684000000,20244000000,3363000000,None,402000000,None,None,16483000000,16483000000,None,None,28216000000,21500000000,327000000,USD,5743000000,21630000000,98368000000
None,52513000000,52513000000,None,4676000000,22999000000,27675000000,2012-12-31,50361000000,22540000000,5541000000,None,459000000,None,None,16604000000,16604000000,None,None,28155000000,22990000000,843000000,USD,5816000000,21746000000,102874000000
None,56778000000,56778000000,None,4815000000,21414000000,26229000000,2011-12-31,50138000000,21003000000,5148000000,None,411000000,None,None,15855000000,15855000000,None,None,28656000000,21922000000,20000000,USD,6258000000,21844000000,106916000000
None,53857000000,53857000000,None,4831000000,20091000000,24922000000,2010-12-31,46014000000,19723000000,4890000000,None,368000000,None,None,14833000000,14833000000,None,None,26670000000,19985000000,787000000,USD,6026000000,20208000000,99871000000
None,51973000000,51973000000,None,4994000000,18540000000,23534000000,2009-12-31,43785000000,18138000000,4713000000,None,402000000,None,None,13425000000,13425000000,None,None,26773000000,17012000000,351000000,USD,5820000000,19269000000,95758000000
None,57969000000,57969000000,None,5450000000,17388000000,22838000000,2008-12-31,45661000000,16715000000,4381000000,None,673000000,None,None,12334000000,None,None,None,29722000000,15939000000,None,USD,6337000000,21514000000,103630000000
None,57057000000,57057000000,None,5201000000,15100000000,20301000000,2007-12-31,41729000000,14489000000,4071000000,None,611000000,None,None,10418000000,None,None,None,28213000000,13516000000,None,USD,6153000000,22060000000,98786000000
None,53129000000,53129000000,None,4983000000,13595000000,18578000000,2006-12-31,38295000000,13317000000,3901000000,None,278000000,None,None,9492000000,None,None,None,26366000000,11929000000,None,USD,6107000000,20259000000,91424000000
None,54602000000,54602000000,None,5188000000,12446000000,17634000000,2005-12-31,36532000000,12226000000,4232000000,None,220000000,None,None,7934000000,None,None,None,27156000000,9376000000,None,USD,5842000000,21314000000,91134000000
