accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,2140234600000,2140234600000,14246000000,3586533500,42154332000,None,226221340000,701771186000,None,2025-03-31,84594300000,None,None,None,None,2188834400000,None,8863768100000,-701771186000,16147998328000,None,None,158124200000,INR,3104114700000,2036497477000,226221340000,937825500000,26422414100000,2140234600000,16416374000000,23134987600000,24282179500000,6718613600000,3139059100000,None
None,None,1901295868000,1901295868000,14046790000,3566094500,38985508000,None,172960808000,709340404000,None,2024-03-31,24741619000,19000,19000,-2337029404000,None,2074280000000,None,8271625100000,8831572000,14473905579000,None,None,132402763000,INR,898257800000,2009987053000,172960808000,1648424064000,23640630275000,2619467844000,14685851895000,20940307767000,21021162431000,6254455872000,2561438346000,None
None,None,1831259800000,1831259800000,13899700000,3542621332,27524211000,None,98022849000,108389915000,None,2023-03-31,1013300000,None,None,-1515665575000,None,1890618100000,None,6395519700000,1515665575000,-117877283000,None,None,109690000000,INR,1415690702000,1980971172000,90353072000,-20000,17526373800000,2243944464000,117877283000,15646040000000,5778044605000,117877283000,1820524900000,None
None,None,1475705300000,1475705300000,13834100000,3420930428,24830180000,None,90353072000,110626009000,None,2022-03-31,1076700000,None,None,-1939649747000,None,1616026800000,None,5670977200000,1939649747000,-67018073000,None,None,106054100000,INR,1108467494000,1567861649000,42187893000,-20000,15738122400000,1586331309000,67018073000,14066364000000,5473878800000,1438999400000,1575875000000,None
None,None,1815505890000,1815505890000,13834104000,3420930500,24830180000,None,42187893000,452672099000,None,2021-03-31,1076703000,None,None,-1747206823000,None,1438999400000,None,5365786200000,3426107000,9634594628000,None,None,108092600000,INR,889385904000,1402804945000,42187893000,-391605058000,15738122446000,2271604096000,9701612701000,14066364048000,13466518350000,4364751347000,1575875005000,None
None,None,873909000000,873909000000,12894600000,3257457887,36648114000,None,32372198000,98043710000,None,2020-03-31,1097000000,1228503572000,1228503572000,-1464179043000,None,2106145623000,None,4434726298000,1464179043000,-55743454000,None,None,104086576000,INR,695461841000,2125240963000,19095340000,53000,12387938900000,1281720161000,55743454000,11179599500000,4078611780000,2007087943000,1142534100000,None
0,0,873909000000,873909000000,12894600000,3257457887,36648114000,None,19095340000,98043710000,None,2019-03-31,1097000000,0,0,-1175879940000,None,2084145868000,None,3982007553000,1077836230000,477519245999,None,0,96604227000,INR,618555220000,2103241208000,19095340000,-291549014000,12387938900000,582359986000,533262699999,11179599500000,97701227000,2084145868000,1142534100000,0
0,0,1177266523000,1177266523000,12858100000,3243141295,35896541000,None,12901469000,89296089000,None,2018-03-31,1117500000,0,0,-979287422000,None,2281116797000,None,3722076772000,979287422000,-48798010000,None,0,94650053000,INR,214737660000,2294018266000,12901469000,0,12409133600000,1266562612000,48798010000,11242810400000,3816726872000,2137065853000,1106241300000,0
0,0,1059861606000,1059861606000,11651071000,3214921974,35011965000,None,12071154000,72634680000,None,2017-03-31,1126200000,0,0,-877543366000,None,1870796409000,None,3045017431000,877543366000,-47083119000,None,0,93379618000,INR,215045471000,1882867563000,12071154000,0,9860426640000,1132496286000,47083119000,8765453557000,3138397049000,1849817459000,1046319955000,0
0,0,944563963000,944563963000,11631656000,3371682000,35086739000,None,0,221269823000,None,2016-03-31,1257000000,0,0,-763138683000,None,2195074900000,None,0,1454762000,4513640067000,None,0,87134646000,INR,198210764000,2085499412000,8701661000,294204263000,9187561977000,1167288548000,4557428467000,8212898403000,8020273429000,3655469936000,941107126000,0
0,0,774478322000,774478322000,11596608000,3371682000,43756791000,None,8740145.27,210842187000,None,2015-03-31,1257000000,0,0,3622.06,None,138888.64,None,8255305.45,2050488000,3862166159000,None,0,3898.41,INR,467597263000,1930147532000,14671235000,13598470000,8260791703000,987370997000,3920594185000,7388688114000,7273420706000,3468093929000,847045441000,0
None,None,495935127000,495935127000,11550446000,3371682000,41744784000,None,1835420690000,151529152000,None,2014-03-31,1432300000,None,None,850871000,None,30303556000,None,2072990086000,1189102000,3598509584000,None,None,917805000,INR,387781457000,1720649429000,10324543000,13352827000,7477623770000,648653381000,3650578911000,6693217606000,6828970389000,3042638695000,764298523000,None
None,None,505964843000,505964843000,11536362000,3371682000,32556410000,None,None,124783427000,None,2013-03-31,1432300000,None,None,None,None,31465027000,None,None,1358102000,3151520735000,None,None,1003936000,INR,323724693000,1553378316000,6093554000,12256343000,6748217143000,632106372000,3190170699000,6043535418000,6116110771000,2853364719000,687624130000,None
