capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
47700000000,2036466800000,-772883600000,None,None,None,None,None,None,26903800000,70412700000,70412700000,None,2025-03-31,510292000000,-752521900000,None,None,None,None,None,None,None,None,None,14375200000,None,None,INR
36785464000,2467575243000,-1459310924000,None,None,None,None,None,None,19958856000,55985964000,55985964000,None,2024-03-31,442563735000,-757085324000,None,None,None,None,None,None,None,None,None,11708675000,None,None,INR
18599700000,174510000000,-680053200000,None,None,None,None,None,None,14794600000,13852300000,13852300000,None,2023-03-31,335675400000,581114300000,None,None,None,None,None,None,None,None,None,9420700000,None,None,INR
16882000000,-546667700000,-393214400000,None,None,None,None,None,None,14713700000,13852300000,13852300000,None,2022-03-31,240486800000,1380153000000,None,None,None,None,None,None,None,None,None,13852300000,None,None,INR
18734500000,29921800000,-629869100000,None,None,None,None,None,None,13696400000,8863800000,8863800000,None,2021-03-31,169294500000,795647500000,None,None,None,None,None,None,None,None,None,154600300000,None,None,INR
11481488000,-199974343000,-423084279000,None,None,None,None,None,None,10453730000,11688270000,11688270000,None,2020-03-31,59733445000,486710527000,None,None,None,None,None,None,None,None,None,5493213000,None,None,INR
11481488000,-199974343000,-301472151000,0,0,0,None,None,0,10453730000,11688270000,11688270000,None,2019-03-31,59733445000,486710527000,None,None,None,None,None,None,None,None,None,-654531823000,None,None,INR
10421438000,396759749000,-505734537000,0,0,0,None,None,0,10390761000,17161116000,17161116000,None,2018-03-31,95911046000,193829323000,None,None,None,None,None,None,None,None,None,3939495000,None,None,INR
13167144000,-354695359000,-16057387000,0,0,0,None,None,0,10444420000,34230910000,34230910000,None,2017-03-31,126574260000,526355335000,None,None,None,None,None,None,None,None,None,1772579000,None,None,INR
8483857000,58139144000,-118192604000,0,0,0,None,None,0,9567289000,34524887000,34524887000,None,2016-03-31,135574704000,236453234000,None,None,None,None,None,None,None,None,None,2824200000,None,None,INR
12446322000,248271994000,-129317037000,0,0,0,None,None,0,9102686000,30840867000,30840867000,None,2015-03-31,176435930000,-122731417000,None,None,None,None,None,None,None,None,None,14386.59,None,None,INR
8373656000,78722880000,-166675651000,None,None,None,None,None,None,8418401000,27040480000,27040480000,None,2014-03-31,156508688000,67647918000,None,None,None,None,None,None,None,None,None,761818000,None,None,INR
6249292000,92831905000,-191478155000,None,None,None,None,None,None,7309535000,22194629000,22194629000,None,2013-03-31,130904932000,174939782000,None,None,None,None,None,None,None,None,None,None,None,None,INR
6054398000,17421232000,-212628970000,None,None,None,None,None,None,7546097000,19013434000,19013434000,None,2012-03-31,103919499000,208833670000,None,None,None,None,None,None,None,None,None,None,None,None,INR
8940934000,6572232000,-60809921000,None,None,None,None,None,None,8576451000,15567579000,15567579000,None,2011-03-31,60932672000,-36376568000,None,None,None,None,None,None,None,None,None,None,None,None,INR
6654131000,-14420394000,-156131625000,None,None,7972511000,None,None,None,9085111000,14348954000,14348954000,None,2010-03-31,46702945000,295508536000,None,None,None,None,None,None,None,None,None,None,None,None,INR
13071158000,30437329000,77702124000,None,None,None,None,None,None,10034785000,14229374000,14229374000,None,2009-03-31,35769504000,-222253884000,None,None,None,None,None,None,None,None,None,None,None,None,INR
13779728000,325156666000,-291072719000,None,None,None,None,None,None,8721642000,11124591000,11124591000,None,2008-03-31,45079134000,21670280000,None,None,None,None,None,None,None,None,None,None,None,None,INR
8652868000,165946229000,-210899407000,None,None,None,None,None,None,8346161000,9072081000,9072081000,None,2007-03-31,35247100000,259784796000,None,None,None,None,None,None,None,None,None,None,None,None,INR
5556234041.83,78926390786,-102586092176.47,None,None,None,None,None,None,9479503050,7612245164.54,7612245164.54,None,2006-03-31,31254523864,70041665406,None,None,None,None,None,None,None,None,None,None,None,None,INR
