comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,939330000000,939330000000,None,26900000000,1620312100000,1647212100000,2025-03-31,2006535300000,730042100000,184348300000,None,890270000000,1863314700000,None,510292000000,545693800000,973038200000,None,1277999800000,730042100000,None,INR,None,236299400000,2945860000000
None,750717327000,750717327000,None,19958856000,615081303000,635040159000,2024-03-31,1427895369000,460805127000,154276200000,None,741081627000,1595159200000,None,442563735000,460805100000,854077600000,None,987384949000,1066082070000,None,INR,None,304046347000,1427895369000
None,560916079000,560916079000,None,16351038000,472547575000,488898613000,2023-03-31,1286412352000,472547575000,117934400000,None,505433879000,1210668100000,None,340366408000,354613100000,705234200000,None,813864777000,472547575000,None,INR,None,236541189000,1847328431000
None,586007567000,586007567000,None,14794600000,747342043000,762136643000,2022-03-31,1163696500000,349957000000,84574400000,None,411666700000,954068700000,None,251101000000,265382600000,542402000000,None,747285365000,747342043000,None,INR,None,123416000000,1163696500000
None,647008428000,647008428000,None,14713701000,203639653000,218353354000,2021-03-31,964976916000,203639653000,56643700000,None,426590874000,891626600000,None,183843186000,203639600000,465035700000,None,761337263000,203639653000,None,INR,None,233283730000,1611985344000
None,670427363000,670427363000,None,13696381000,112254680000,125951061000,2020-03-31,825679987000,112254680000,73631400000,None,446655222000,848357730000,None,95663078000,112254680000,401702508000,None,713425307000,112254680000,None,INR,None,223304989000,1496107350000
None,613584587000,613584587000,None,10453730000,56891606000,67345336000,2019-03-31,699502418000,56891606000,17191000000,None,391775414000,719816540000,None,42542387000,56891606000,328041126000,None,642610812000,56891606000,0,INR,0,192156858000,1313087005000
None,541139276000,541139276000,None,10390761000,90995447000,101386208000,2018-03-31,648522712000,90995447000,18789200000,None,342620468000,621623505000,None,77121865000,90995447000,279003037000,None,557527265000,90995447000,0,INR,0,167183755000,1189661988000
None,538873307000,538873307000,None,10444420000,113403295000,123847715000,2017-03-31,595117230000,113403295000,24690200000,None,348358328000,609399802000,None,101883845000,113403295000,261041474000,None,481713935000,113403295000,0,INR,0,154904096000,1133990537000
None,496793929000,496793929000,None,9567289000,109268916000,118836205000,2016-03-31,516900196000,109268916000,33775200000,None,339964746000,592937057000,None,101799585000,0,252972311000,None,407631280000,109268916000,0,INR,0,138916353000,1013694125000
None,422512214000,422512214000,None,9102686000,129422985000,138525671000,2015-03-31,479616110000,129422985000,53967300000,None,323181538000,None,None,122468652000,535462.71,None,None,350193125000,129422985000,0,INR,0,121704359000,902128324000
None,372203793000,372203793000,None,8418401000,116771170000,125189571000,2014-03-31,422082754000,116771170000,46095100000,None,297106119000,None,None,110413664000,116771170000,None,None,305311584000,116771170000,None,INR,None,118224621000,794286547000
None,338674624000,338674624000,None,7309535000,101298849000,108608384000,2013-03-31,403030068000,101298849000,34868800000,None,282854093000,None,None,96036125000,None,None,None,301731219000,101298849000,None,INR,None,111558652000,741704692000
None,291685963000,291685963000,None,7546097000,79376343000,86922440000,2012-03-31,374933981000,79376343000,2946988000,None,250132455000,None,None,76429355000,None,None,None,295557638000,79376343000,None,INR,None,102043360000,666619944000
None,239740558000,239740558000,None,8576451000,63181941000,71758392000,2011-03-31,375906528000,63181941000,193425685000,None,193425685000,None,None,60932672000,None,None,None,312724587000,63181941000,None,INR,None,83835579000,615647086000
None,270231196000,270231196000,None,9085111000,48434149000,57519260000,2010-03-31,314585735000,48434149000,207291861000,None,207291861000,None,None,46702945000,None,None,None,266151586000,48434149000,None,INR,None,69509604000,584816931000
None,264872527000,264872527000,None,10034785000,0,10034785000,2009-03-31,376658280000,49683000000,264872527000,None,264872527000,None,None,35769504000,None,None,None,376658280000,300642031000,None,INR,None,227566171000,641530807000
None,298944095000,298944095000,None,8721642000,31152644000,39874286000,2008-03-31,301586725000,31152644000,-2829656000,None,257669754000,None,None,33982300000,None,None,None,270434081000,31152644000,None,INR,None,207848921000,600530820000
None,207171782000,207171782000,None,8346161000,26334012000,34680173000,2007-03-31,206114894000,26334012000,7628720000,None,176757193000,None,None,27606342000,None,None,None,179780882000,26334012000,None,INR,None,41159877000,413286676000
None,116467310000,116467310000,None,9462631000,23990225000,33452856000,2006-03-31,129635999000,23990225000,6980350000,None,101014796000,None,None,24200898000,None,None,None,105645774000,23990225000,None,INR,None,24386198000,246103309000
