accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,8249000000,8249000000,50949000000,4280000000,12556000000,None,3729000000,3478000000,None,2024-12-31,24693000000,3691000000,3691000000,12198000000,None,46282000000,None,5383000000,9586000000,17625000000,None,9505000000,108376000000,USD,49032000000,50011000000,3729000000,13813000000,196485000000,47324000000,35666000000,91453000000,149161000000,55787000000,99270000000,None
None,None,7079000000,7079000000,36649000000,4212000000,8578000000,None,2300000000,3402000000,None,2023-12-31,27591000000,4589000000,4589000000,11127000000,None,46978000000,None,5829000000,3706000000,16068000000,None,6576000000,97152000000,USD,69156000000,49278000000,2300000000,17955000000,191572000000,43269000000,28053000000,81607000000,148303000000,53554000000,105590000000,None
None,None,11144000000,11144000000,31580000000,4123000000,9595000000,None,4323000000,4133000000,None,2022-12-31,27591000000,6018000000,6018000000,13224000000,None,37684000000,None,5912000000,4712000000,15986000000,None,8776000000,80860000000,USD,70405000000,42051000000,4323000000,17194000000,182103000000,50407000000,32155000000,78817000000,131696000000,46662000000,101423000000,None
None,None,4827000000,4827000000,28006000000,4090000000,5747000000,None,4591000000,9457000000,None,2021-12-31,26963000000,7270000000,7270000000,10776000000,None,33510000000,None,7138000000,9072000000,12819000000,None,9191000000,63245000000,USD,68265000000,38101000000,4591000000,23586000000,168406000000,57718000000,27462000000,73015000000,110688000000,45553000000,95391000000,None
None,None,5865000000,5865000000,25556000000,4232000000,5581000000,None,2504000000,6782000000,None,2020-12-31,26971000000,9026000000,9026000000,8427000000,None,33897000000,None,7344000000,8145000000,16669000000,None,8192000000,56584000000,USD,56233000000,36401000000,2504000000,18030000000,153091000000,47249000000,24754000000,72053000000,105842000000,47299000000,81038000000,None
None,None,4194000000,4194000000,25261000000,4473000000,4128000000,None,3693000000,7659000000,None,2019-12-31,26276000000,10827000000,10827000000,8744000000,None,25308000000,None,7243000000,1713000000,12445000000,None,7835000000,55386000000,USD,53523000000,29001000000,3693000000,8929000000,136524000000,31239000000,22310000000,58865000000,105285000000,36555000000,77504000000,None
None,None,3019000000,3019000000,25365000000,4701000000,3824000000,None,1261000000,6722000000,None,2018-12-31,24513000000,11836000000,11836000000,7253000000,None,25098000000,None,9430000000,3162000000,9876000000,None,7543000000,48976000000,USD,50172000000,26359000000,1261000000,8631000000,127963000000,28787000000,16626000000,52981000000,99176000000,36355000000,74563000000,None
None,None,3433000000,3433000000,26074000000,4835000000,2928000000,None,1776000000,5607000000,None,2017-12-31,24389000000,12745000000,12745000000,6983000000,None,25037000000,None,12404000000,2908000000,11061000000,None,7860000000,41109000000,USD,42083000000,26813000000,1776000000,10569000000,123249000000,29500000000,17421000000,53364000000,93749000000,35943000000,69019000000,0
None,None,5560000000,5560000000,25373000000,4875000000,2475000000,None,4634000000,4690000000,None,2016-12-31,14099000000,9494000000,9494000000,5553000000,None,20649000000,None,10896000000,8166000000,11475000000,None,3538000000,36171000000,USD,40747000000,25283000000,4634000000,11539000000,113327000000,35508000000,20302000000,46219000000,77819000000,25917000000,66226000000,0
None,None,15308000000,15308000000,23411000000,4894000000,2063000000,None,2593000000,4787000000,None,2015-12-31,11332000000,3933000000,3933000000,5167000000,None,20036000000,None,7851000000,3053000000,8761000000,None,2841000000,31858000000,USD,37614000000,22670000000,2634000000,10005000000,103065000000,40356000000,15667000000,41980000000,62709000000,26313000000,61085000000,0
