capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
23944000000,11138000000,-18256000000,None,None,-1105000000,None,None,None,11379000000,1599000000,1599000000,None,2024-12-31,-19233000000,8288000000,None,None,None,None,None,None,None,None,None,987000000,None,None,USD
25750000000,8505000000,-24041000000,None,None,2097000000,None,None,None,9602000000,3088000000,3088000000,None,2023-12-31,1675000000,11471000000,None,None,None,None,None,None,None,None,None,11391000000,None,None,USD
25050000000,1361000000,-10477000000,6317000000,None,-2436000000,None,None,None,13035000000,5997000000,5997000000,None,2022-12-31,8017000000,15433000000,None,None,None,None,None,None,None,None,None,2883000000,None,None,USD
20329000000,-5862000000,-25167000000,-1038000000,None,-2339000000,None,None,2674000000,11792000000,5644000000,5644000000,None,2021-12-31,19868000000,29991000000,None,None,None,None,None,None,None,None,None,-2415000000,None,None,USD
14453000000,-12917000000,-20796000000,1671000000,None,-687000000,None,None,-883000000,12239000000,5568000000,5568000000,None,2020-12-31,20899000000,35384000000,None,None,None,None,None,None,None,None,None,-14229000000,None,None,USD
16213000000,-17565000000,-14405000000,1175000000,None,-1481000000,None,None,-935000000,10826000000,5576000000,5576000000,None,2019-12-31,21048000000,33145000000,None,None,None,None,None,None,None,None,None,-13576000000,None,None,USD
15181000000,-18607000000,-11239000000,-414000000,None,-214000000,None,None,-1714000000,9085000000,5541000000,5541000000,None,2018-12-31,21053000000,29432000000,None,None,None,None,None,None,None,None,None,-10730000000,None,None,USD
11778000000,-8475000000,-15762000000,-2127000000,None,-1300000000,None,None,-781000000,8129000000,5072000000,5072000000,None,2017-12-31,9601000000,22110000000,None,None,None,None,None,None,None,None,None,-3615000000,None,None,USD
9625000000,-5739000000,-25817000000,-9748000000,None,119000000,None,None,65000000,7790000000,4925000000,4925000000,None,2016-12-31,10316000000,21808000000,None,None,None,None,None,None,None,None,None,-2587000000,None,None,USD
7446000000,1912000000,-8183000000,12747000000,1000000,-764000000,None,None,None,8711000000,4556000000,4556000000,None,2015-12-31,11420000000,19017000000,None,None,None,None,None,None,None,None,None,-3001000000,None,None,USD
10197000000,-13611000000,-9905000000,-3113000000,-15000000,-98000000,None,None,None,8549000000,4409000000,4409000000,None,2014-12-31,11704000000,20418000000,None,None,None,None,None,None,None,None,None,-10792000000,None,None,USD
10747000000,-5498000000,-18073000000,-2804000000,-9000000,563000000,None,None,None,8032000000,4479000000,4479000000,None,2013-12-31,9620000000,20776000000,None,None,None,None,None,None,None,None,None,-2440000000,None,None,USD
11842000000,-1408000000,-14060000000,3413000000,-3000000,-626000000,None,None,None,7522000000,4350000000,4350000000,None,2012-12-31,11005000000,18884000000,None,None,None,None,None,None,None,None,None,-5110000000,None,None,USD
10764000000,-11100000000,-10301000000,-433000000,5000000,-243000000,None,None,None,6064000000,4127000000,4127000000,None,2011-12-31,12942000000,20963000000,None,None,None,None,None,None,None,None,None,-14340000000,None,None,USD
5207000000,-4642000000,-10539000000,1511000000,None,-806000000,None,None,None,4638000000,3503000000,3503000000,None,2010-12-31,11464000000,16692000000,None,None,None,None,None,None,None,None,None,-1736000000,None,None,USD
4515000000,-2568000000,-7965000000,637000000,None,796000000,None,None,None,5052000000,3108000000,3108000000,None,2009-12-31,4369000000,11170000000,None,None,None,None,None,None,None,None,None,-1762000000,None,None,USD
5197000000,-9018000000,-5865000000,None,None,-395000000,None,None,None,4616000000,3100000000,3100000000,None,2008-12-31,5292000000,10926000000,None,None,None,None,None,None,None,None,None,-7195000000,None,None,USD
5000000000,-1990000000,-9926000000,None,None,700000000,None,None,None,4798000000,2618000000,2618000000,None,2007-12-31,6976000000,12625000000,None,None,None,None,None,None,None,None,None,-2788000000,None,None,USD
5779000000,-6439000000,-4907000000,None,None,-1116000000,None,None,None,4912000000,2320000000,2320000000,None,2006-12-31,5044000000,10620000000,None,None,None,None,None,None,None,None,None,-4593000000,None,None,USD
5818000000,-9544000000,-6362000000,None,None,-500000000,None,None,None,4595000000,1958000000,1958000000,None,2005-12-31,8664000000,14823000000,None,None,None,None,None,None,None,None,None,-10637000000,None,None,USD
