comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,35756000000,35756000000,None,11379000000,-10176000000,1203000000,2024-12-31,17345000000,-11210000000,8023000000,None,824000000,1805000000,None,-18756000000,-19233000000,981000000,None,29023000000,-11678000000,None,USD,16546000000,4651000000,53101000000
None,32517000000,32517000000,None,9602000000,93000000,93000000,2023-12-31,21711000000,762000000,-927000000,None,760000000,1253000000,None,1689000000,-1646000000,662000000,None,21680000000,93000000,None,USD,16046000000,5723000000,54228000000
None,36188000000,36188000000,None,13035000000,2334000000,15369000000,2022-12-31,26866000000,7768000000,-249000000,None,496000000,589000000,None,8014000000,8017000000,1166000000,None,24532000000,2334000000,1166000000,USD,17528000000,7002000000,63054000000
None,35209000000,35209000000,None,17044000000,19456000000,36500000000,2021-12-31,43815000000,21703000000,1835000000,None,597000000,144000000,None,19868000000,19868000000,-482000000,None,24359000000,19456000000,2247000000,USD,15190000000,6543000000,79024000000
None,34255000000,34255000000,None,14341000000,23678000000,38019000000,2020-12-31,43612000000,25078000000,4179000000,None,504000000,272000000,None,20899000000,20899000000,-504000000,None,19934000000,23678000000,1400000000,USD,13556000000,6180000000,77867000000
None,29825000000,29825000000,None,11612000000,22035000000,33647000000,2019-12-31,42140000000,24058000000,3010000000,None,489000000,483000000,None,21048000000,21048000000,-6000000,None,19712000000,22035000000,2023000000,USD,13362000000,6150000000,71965000000
None,27111000000,27111000000,None,200000000,23316000000,23516000000,2018-12-31,43737000000,23317000000,2264000000,None,468000000,438000000,None,21053000000,21053000000,-30000000,None,20493000000,23316000000,1000000,USD,13543000000,6750000000,70848000000
None,23692000000,23692000000,None,177000000,17936000000,18113000000,2017-12-31,39069000000,20352000000,10751000000,None,646000000,441000000,None,9601000000,9601000000,-205000000,None,20749000000,17936000000,2416000000,USD,13098000000,7452000000,62761000000
None,23196000000,23196000000,None,294000000,12874000000,13168000000,2016-12-31,36191000000,12936000000,2620000000,None,733000000,222000000,None,10316000000,10316000000,-511000000,None,21431000000,12874000000,62000000,USD,12740000000,8397000000,59387000000
None,20676000000,20676000000,None,265000000,14002000000,14267000000,2015-12-31,34679000000,14212000000,2792000000,None,337000000,296000000,None,11420000000,11420000000,None,None,20323000000,14002000000,None,USD,12128000000,7930000000,55355000000
None,20261000000,20261000000,None,294000000,15347000000,15641000000,2014-12-31,35609000000,15801000000,4097000000,None,192000000,None,None,11704000000,11704000000,None,None,19967000000,15347000000,None,USD,11537000000,8136000000,55870000000
None,21187000000,21187000000,None,291000000,12291000000,12582000000,2013-12-31,31521000000,12611000000,2991000000,None,244000000,None,None,9620000000,9620000000,None,None,18990000000,12291000000,None,USD,10611000000,8088000000,52708000000
None,20190000000,20190000000,None,308000000,14638000000,14946000000,2012-12-31,33151000000,14873000000,3868000000,None,90000000,None,None,11005000000,14873000000,None,None,18513000000,14638000000,None,USD,10148000000,8057000000,53341000000
None,20242000000,20242000000,None,260000000,17477000000,17737000000,2011-12-31,33757000000,17781000000,4839000000,None,41000000,None,None,12942000000,17781000000,None,None,16280000000,17477000000,None,USD,8350000000,7670000000,53999000000
None,14808000000,14808000000,None,18000000,15912000000,15930000000,2010-12-31,28815000000,16369000000,4697000000,None,805000000,None,None,11672000000,15588000000,None,None,12903000000,15912000000,None,USD,6576000000,6309000000,43623000000
None,15566000000,15566000000,None,35000000,5711000000,5746000000,2009-12-31,19561000000,5704000000,1335000000,None,1000000,None,None,4369000000,5711000000,None,None,13619000000,5711000000,None,USD,5653000000,7931000000,35127000000
None,16742000000,16742000000,None,4616000000,8954000000,13570000000,2008-12-31,20844000000,7686000000,2394000000,None,8000000,None,None,5292000000,None,None,None,11668000000,8954000000,None,USD,5722000000,5452000000,37586000000
None,18430000000,18430000000,None,4798000000,8216000000,13014000000,2007-12-31,19904000000,9166000000,2190000000,None,149000000,None,None,6976000000,None,None,None,11399000000,8216000000,None,USD,5755000000,5401000000,38334000000
None,17164000000,17164000000,None,4912000000,5652000000,10564000000,2006-12-31,18218000000,7068000000,2024000000,None,896000000,None,None,5044000000,None,None,None,12011000000,5652000000,None,USD,5873000000,6138000000,35382000000
None,15777000000,15777000000,None,4595000000,12090000000,16685000000,2005-12-31,23049000000,12610000000,3946000000,None,527000000,None,None,8664000000,None,None,None,10959000000,12090000000,None,USD,5145000000,5688000000,38826000000
