accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,469317000000,469317000000,4105000000,2879000000,153153000000,None,64475000000,101223000000,None,2024-12-31,52565000000,11995000000,11995000000,None,None,389836000000,None,1172872000000,None,2712034000000,None,None,32223000000,USD,376166000000,751146000000,361310000000,396690000000,4002814000000,967230000000,3226497000000,3658056000000,3035584000000,431559000000,344758000000,None
None,None,624151000000,624151000000,4105000000,2943100000,161960000000,None,44712000000,107363000000,None,2023-12-31,52634000000,11747000000,11747000000,-1856346000000,None,391825000000,None,973946000000,824984000000,2696263000000,None,None,30157000000,USD,332901000000,653072000000,261247000000,192485000000,3875393000000,923999000000,3119470000000,3547515000000,2951394000000,428045000000,327878000000,None
None,None,567234000000,567234000000,4105000000,2970000000,188692000000,None,44027000000,125189000000,None,2022-12-31,51662000000,9197000000,9197000000,-1647386000000,None,190586000000,None,1014081000000,758264000000,2572138000000,None,498757000000,27734000000,USD,296456000000,542505000000,246640000000,196699000000,3665743000000,889122000000,3053636000000,3373411000000,2776621000000,319775000000,292332000000,None
None,None,740834000000,740834000000,4105000000,3026600000,169172000000,None,53594000000,102570000000,None,2021-12-31,50315000000,6376000000,6376000000,-1744961000000,None,301005000000,None,1048726000000,611300000000,2710779000000,None,495590000000,27070000000,USD,272268000000,548939000000,247934000000,290257000000,3743567000000,1133661000000,3127885000000,3449440000000,2609906000000,321555000000,294127000000,-105415000000
None,None,527609000000,527609000000,4105000000,3087400000,140291000000,None,45208000000,90503000000,None,2020-12-31,49248000000,4180000000,4180000000,-1578413000000,None,187759000000,None,388178000000,604350000000,2397732000000,None,497127000000,27109000000,USD,236990000000,542102000000,260417000000,355951000000,3384757000000,974063000000,2798440000000,3105403000000,2410694000000,306963000000,279354000000,-88184000000
None,None,263631000000,263631000000,4105000000,3230400000,118375000000,None,40920000000,72861000000,None,2019-12-31,47823000000,5518000000,5518000000,-1136854000000,None,137118000000,None,809342000000,459988000000,1767340000000,None,475620000000,25813000000,USD,223211000000,516093000000,224595000000,340374000000,2687379000000,676866000000,2110310000000,2426049000000,2010513000000,315739000000,261330000000,-83049000000
None,None,278793000000,278793000000,4105000000,3414000000,114794000000,None,69276000000,73200000000,None,2018-12-31,47471000000,6878000000,6878000000,-1253772000000,None,165014000000,None,675542000000,617172000000,1691555000000,None,464663000000,14934000000,USD,199202000000,533627000000,251596000000,230394000000,2622532000000,582387000000,2057945000000,2366017000000,2040145000000,308072000000,256515000000,-60494000000
None,None,431304000000,431304000000,4105000000,3576800000,102727000000,None,24186000000,67729000000,None,2017-12-31,47507000000,6885000000,6885000000,-1847718000000,None,149744000000,None,575279000000,483418000000,1649401000000,None,443345000000,14159000000,USD,177676000000,494798000000,210718000000,202225000000,2533600000000,701258000000,1962846000000,2277907000000,1832342000000,315061000000,255693000000,-42595000000
None,None,389635000000,389635000000,4105000000,3649800000,109842000000,None,11738000000,52330000000,None,2016-12-31,47288000000,6958000000,6958000000,-1809551000000,None,175706000000,None,661189000000,459964000000,1588739000000,None,460911000000,14131000000,USD,162440000000,495354000000,200109000000,238891000000,2490972000000,680856000000,1898690000000,2236782000000,1810116000000,338092000000,254190000000,-28854000000
None,None,360505000000,360505000000,4105000000,3775167000,107632000000,None,577065000000,46605000000,None,2015-12-31,47325000000,7623000000,7623000000,325000000,None,168776000000,None,823744000000,1112282000000,1406612000000,None,441329000000,14362000000,USD,146420000000,477996000000,168240000000,241754000000,2351698000000,648864000000,1682484000000,2104125000000,1702834000000,421641000000,247573000000,-21691000000
