capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
0,63447000000,-163403000000,None,None,None,None,None,None,7938000000,14783000000,14783000000,None,2024-12-31,58471000000,-42012000000,None,None,None,None,None,None,None,None,None,-28680000000,None,None,USD
1291000000,-25571000000,67643000000,None,None,32970000000,None,None,None,7512000000,13463000000,13463000000,None,2023-12-31,49552000000,12974000000,None,None,None,None,None,None,None,None,None,-9824000000,None,None,USD
0,-126257000000,-137819000000,-156957000000,None,-55656000000,None,None,-22970000000,7051000000,13562000000,13562000000,None,2022-12-31,37676000000,107119000000,None,None,None,None,None,None,None,None,None,-10596000000,None,None,USD
0,275993000000,-129344000000,224733000000,None,-11745000000,None,None,-12401000000,7932000000,12858000000,12858000000,None,2021-12-31,48334000000,78084000000,None,None,None,None,None,None,None,None,None,-20983000000,None,None,USD
0,596645000000,-261912000000,254823000000,None,-42434000000,None,None,-18012000000,8614000000,12690000000,12690000000,None,2020-12-31,29131000000,-79910000000,None,None,None,None,None,None,None,None,None,-7947000000,None,None,USD
0,32987000000,-52059000000,-14980000000,None,-17949000000,None,None,-78000000,8368000000,12343000000,12343000000,None,2019-12-31,36431000000,4092000000,None,None,None,None,None,None,None,None,None,-28076000000,None,None,USD
0,34158000000,-199420000000,-152511000000,-2863000000,-8833000000,None,None,-5849000000,7791000000,10109000000,10109000000,None,2018-12-31,32474000000,15614000000,None,None,None,None,None,None,None,None,None,-21679000000,None,None,USD
0,14642000000,28249000000,1954000000,96000000,4318000000,None,None,-15868000000,6179000000,8993000000,8993000000,None,2017-12-31,24441000000,-10827000000,None,None,None,None,None,None,None,None,None,-16668000000,None,None,USD
0,98271000000,-89202000000,3383000000,-135000000,-4517000000,None,None,-5815000000,5478000000,8476000000,8476000000,None,2016-12-31,24733000000,21884000000,None,None,None,None,None,None,None,None,None,-9082000000,None,None,USD
0,-187511000000,106980000000,-7341000000,-276000000,-3701000000,None,None,22664000000,4940000000,7873000000,7873000000,None,2015-12-31,24442000000,73466000000,None,None,None,None,None,None,None,None,None,-5616000000,None,None,USD
169212000000,118228000000,-165636000000,-11940000000,-1125000000,-9166000000,None,None,-3637000000,4759000000,6990000000,6990000000,None,2014-12-31,21745000000,36593000000,None,None,None,None,None,None,None,None,None,-4760000000,None,None,USD
158325000000,28324000000,-150501000000,-13952000000,272000000,526000000,None,None,-2340000000,5306000000,6056000000,6056000000,None,2013-12-31,17886000000,107953000000,None,None,None,None,None,None,None,None,None,-6589000000,None,None,USD
121477000000,87707000000,-119825000000,-5879000000,1160000000,-4683000000,None,None,1732000000,5147000000,5194000000,5194000000,None,2012-12-31,21284000000,25079000000,None,None,None,None,None,None,None,None,None,-1653000000,None,None,USD
123969000000,107706000000,-170752000000,32035000000,-851000000,-15456000000,None,None,8655000000,5105000000,3895000000,3895000000,None,2011-12-31,18976000000,95932000000,None,None,None,None,None,None,None,None,None,-8863000000,None,None,USD
27166000000,-49217000000,54002000000,1361000000,328000000,-12452000000,None,None,443000000,4965000000,1486000000,1486000000,None,2010-12-31,17370000000,-3752000000,None,None,None,None,None,None,None,None,None,-3351000000,None,None,USD
163596000000,-153079000000,29355000000,-689000000,238000000,32182000000,None,None,-6312000000,4358000000,3422000000,3422000000,None,2009-12-31,11728000000,121897000000,None,None,None,None,None,None,None,None,None,-25000000000,None,None,USD
195118000000,250506000000,-283671000000,None,None,-33629000000,None,None,None,4406000000,5911000000,5911000000,None,2008-12-31,5605000000,23098000000,None,None,None,None,None,None,None,None,None,306920000000,None,None,USD
76245000000,182986000000,-74188000000,None,None,-21628000000,None,None,None,3821000000,5051000000,5051000000,None,2007-12-31,15365000000,-110560000000,None,None,None,None,None,None,None,None,None,-8178000000,None,None,USD
48799000000,152749000000,-99627000000,None,None,-7208000000,None,None,None,3577000000,4846000000,4846000000,None,2006-12-31,14444000000,-49579000000,None,None,None,None,None,None,None,None,None,-4077000000,None,None,USD
0,45069000000,-12944000000,None,None,None,None,None,None,4318000000,4878000000,4878000000,None,2005-12-31,8483000000,-30236000000,None,None,None,None,None,None,None,None,None,-3612000000,None,None,USD
