comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,112004000000,112004000000,None,7938000000,75081000000,83019000000,2024-12-31,166878000000,75081000000,16610000000,None,101350000000,193933000000,None,58471000000,58471000000,92583000000,None,91821000000,75081000000,None,USD,None,51357000000,278906000000
None,90603000000,90603000000,None,7512000000,61612000000,69124000000,2023-12-31,145670000000,61612000000,12060000000,None,81321000000,170588000000,None,49552000000,49552000000,89267000000,None,84058000000,61612000000,None,USD,None,46465000000,236273000000
None,32432000000,32432000000,None,7051000000,46166000000,53217000000,2022-12-31,121392000000,46166000000,8490000000,None,26097000000,92807000000,None,37676000000,37676000000,66710000000,None,75226000000,46166000000,None,USD,None,41636000000,153824000000
None,-3667000000,-3667000000,None,7932000000,59562000000,67494000000,2021-12-31,130905000000,59562000000,11228000000,None,5553000000,57864000000,None,48334000000,48334000000,52311000000,None,71343000000,59562000000,None,USD,None,38567000000,127238000000
None,27372000000,27372000000,None,8614000000,35815000000,44429000000,2020-12-31,102471000000,35815000000,6684000000,None,9960000000,64523000000,None,29131000000,29131000000,54563000000,None,66656000000,35815000000,None,USD,None,34988000000,129843000000
None,32380000000,32380000000,None,8368000000,44866000000,53234000000,2019-12-31,110135000000,44866000000,8435000000,None,26795000000,84040000000,None,36431000000,36431000000,57245000000,None,65269000000,44866000000,None,USD,None,34155000000,142515000000
None,25912000000,25912000000,None,7791000000,40764000000,48555000000,2018-12-31,103912000000,40764000000,8290000000,None,21041000000,77442000000,None,32474000000,32474000000,55059000000,None,63148000000,40764000000,None,USD,None,33117000000,129824000000
None,19164000000,19164000000,None,6179000000,35900000000,42079000000,2017-12-31,95415000000,35900000000,11459000000,None,13874000000,64372000000,None,24441000000,24441000000,50097000000,None,59515000000,35900000000,None,USD,0,31208000000,114579000000
None,15179000000,15179000000,None,5478000000,34536000000,40014000000,2016-12-31,91208000000,34536000000,9803000000,None,9818000000,55901000000,None,24733000000,24733000000,46083000000,None,56672000000,34536000000,None,USD,0,30203000000,106387000000
None,11290000000,11290000000,None,4940000000,30702000000,35642000000,2015-12-31,89716000000,30702000000,6260000000,None,7463000000,50973000000,None,24442000000,24442000000,43510000000,None,59014000000,30702000000,None,USD,0,29750000000,101006000000
None,11036000000,11036000000,None,4759000000,30699000000,35458000000,2014-12-31,91973000000,30699000000,8954000000,None,7897000000,None,None,21745000000,21762000000,None,None,61274000000,30699000000,None,USD,0,30160000000,103009000000
None,9575000000,9575000000,None,5306000000,26675000000,31981000000,2013-12-31,97142000000,26675000000,8789000000,None,9350000000,None,None,17886000000,33905000000,None,None,70467000000,26675000000,None,USD,0,30810000000,106717000000
None,14428000000,14428000000,None,5147000000,28917000000,34064000000,2012-12-31,93646000000,28917000000,7633000000,None,11043000000,None,None,20530000000,36550000000,None,None,64729000000,28917000000,None,USD,0,30585000000,108074000000
None,21178000000,21178000000,None,5105000000,26749000000,31854000000,2011-12-31,89660000000,26749000000,7773000000,None,13604000000,None,None,18197000000,18976000000,None,None,62911000000,26749000000,None,USD,0,29037000000,110838000000
None,29420000000,29420000000,None,4965000000,24859000000,29824000000,2010-12-31,86055000000,24859000000,7489000000,None,12781000000,None,None,16406000000,17370000000,None,None,61196000000,24859000000,None,USD,0,28124000000,115475000000
None,47213000000,47213000000,None,4358000000,16067000000,20425000000,2009-12-31,68419000000,16067000000,4415000000,None,15198000000,None,None,10025000000,11652000000,None,None,52352000000,16067000000,None,USD,0,26928000000,115632000000
None,55218000000,55218000000,None,4528000000,2773000000,7301000000,2008-12-31,46273000000,2773000000,-926000000,None,34239000000,None,None,5605000000,None,None,None,43500000000,2773000000,None,USD,None,22746000000,101491000000
None,51845000000,51845000000,None,3821000000,22805000000,26626000000,2007-12-31,64508000000,22805000000,7440000000,None,44981000000,None,None,15365000000,None,None,None,41703000000,22805000000,None,USD,None,22689000000,116353000000
None,41135000000,41135000000,None,3577000000,19886000000,23463000000,2006-12-31,58729000000,19886000000,6237000000,None,37865000000,None,None,14444000000,None,None,None,38843000000,19886000000,None,USD,None,21191000000,99864000000
None,29003000000,29003000000,None,4318000000,11839000000,16157000000,2005-12-31,50765000000,11839000000,3585000000,None,25520000000,None,None,8483000000,None,None,None,38926000000,11839000000,None,USD,None,18065000000,79768000000
