accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,2483000000,2483000000,234000000,239200000,2222000000,None,643000000,15308000000,None,2024-12-31,11067000000,2015000000,2015000000,3474000000,None,19627000000,None,None,584000000,6445000000,None,5446000000,9726000000,USD,14551000000,21418000000,958000000,None,55617000000,21849000000,19420000000,49284000000,33768000000,29864000000,6333000000,None
None,None,1442000000,1442000000,240000000,251200000,2312000000,None,168000000,15315000000,None,2023-12-31,10799000000,2212000000,2212000000,3132000000,None,17291000000,None,None,632000000,5267000000,None,5231000000,9470000000,USD,15398000000,17459000000,168000000,2413000000,52456000000,20521000000,16937000000,45621000000,31935000000,28684000000,6835000000,None
None,None,2547000000,2547000000,254000000,264600000,2117000000,None,118000000,14823000000,None,2022-12-31,10780000000,2459000000,2459000000,3088000000,None,15429000000,None,None,533000000,5164000000,None,12298000000,7975000000,USD,16943000000,15547000000,118000000,None,52880000000,20991000000,15887000000,43614000000,31889000000,27727000000,9266000000,None
None,None,3604000000,3604000000,271000000,277400000,780000000,None,6000000,12542000000,None,2021-12-31,10813000000,2706000000,2706000000,2981000000,None,11670000000,None,None,688000000,1996000000,None,14247000000,7597000000,USD,21600000000,11676000000,6000000,None,50873000000,19815000000,13997000000,39914000000,31058000000,25917000000,10959000000,None
None,None,3160000000,3160000000,279000000,281200000,880000000,None,500000000,11523000000,None,2020-12-31,10806000000,3012000000,3012000000,3545000000,None,11669000000,None,None,1150000000,1845000000,None,19070000000,7213000000,USD,21636000000,12169000000,500000000,None,50710000000,19378000000,13933000000,44672000000,31332000000,30739000000,6015000000,None
None,None,1514000000,1514000000,280000000,283800000,1281000000,None,1250000000,11431000000,None,2019-12-31,10604000000,3213000000,3213000000,3619000000,None,11404000000,None,1200000000,531000000,1921000000,None,18981000000,6591000000,USD,18401000000,12654000000,1250000000,None,47528000000,17095000000,13972000000,44357000000,30433000000,30385000000,3127000000,None
None,None,772000000,772000000,281000000,286800000,2402000000,None,1500000000,11916000000,None,2018-12-31,10769000000,3494000000,3494000000,2997000000,None,12604000000,None,1200000000,418000000,1883000000,None,16425000000,6124000000,USD,15434000000,14104000000,1500000000,None,44876000000,16103000000,14398000000,43427000000,28773000000,29029000000,1394000000,None
None,None,2861000000,2861000000,284000000,290600000,1467000000,None,750000000,10257000000,None,2017-12-31,10807000000,3797000000,3797000000,4487000000,None,13513000000,None,1400000000,-144000000,1883000000,None,20980000000,5775000000,USD,11573000000,14263000000,750000000,0,46521000000,17461000000,12637000000,47130000000,29060000000,34493000000,-683000000,0
None,None,1837000000,1837000000,289000000,303100000,1653000000,None,14282000000,8202000000,None,2016-12-31,10764000000,4093000000,4093000000,4670000000,None,14282000000,None,1400000000,399000000,2349000000,None,19376000000,5549000000,USD,13324000000,16046000000,1764000000,0,47806000000,15108000000,12542000000,46200000000,32698000000,33658000000,1511000000,0
None,None,1090000000,1090000000,303000000,314700000,1745000000,None,956000000,7254000000,None,2015-12-31,13628000000,4147000000,4147000000,4962000000,None,14305000000,None,1300000000,1267000000,2598000000,None,17669000000,5490000000,USD,14238000000,15261000000,956000000,0,49128000000,14573000000,14057000000,46031000000,32930000000,31974000000,3097000000,0
None,None,1446000000,1446000000,314000000,322400000,1570000000,None,6142000000,5884000000,None,2014-12-31,10862000000,871000000,871000000,2882000000,None,6169000000,None,971000000,666000000,1926000000,None,16392000000,4755000000,USD,14956000000,7995000000,1826000000,0,37073000000,12329000000,11112000000,33673000000,24744000000,22561000000,3400000000,0
None,None,2617000000,2617000000,319000000,326500000,1397000000,None,None,5834000000,None,2013-12-31,10348000000,653000000,653000000,2977000000,None,6152000000,None,None,813000000,1565000000,None,13998000000,4706000000,USD,14200000000,7961000000,1809000000,0,36188000000,13329000000,11120000000,31270000000,22859000000,20150000000,4918000000,0
None,None,1898000000,1898000000,321000000,328400000,2038000000,None,None,6563000000,None,2012-12-31,10370000000,809000000,809000000,2937000000,None,6158000000,None,None,2457000000,1815000000,None,20305000000,4675000000,USD,13211000000,6308000000,150000000,0,38657000000,13855000000,12155000000,38618000000,24802000000,26463000000,39000000,0
None,None,3582000000,3582000000,321000000,339900000,2269000000,None,None,6064000000,None,2011-12-31,10148000000,10148000000,10148000000,2481000000,None,6460000000,None,None,625000000,1798000000,None,18317000000,4611000000,USD,11937000000,8124000000,1664000000,3000000,37908000000,14094000000,12130000000,36907000000,23814000000,24777000000,1001000000,0
None,None,2261000000,2261000000,346000000,368300000,1630000000,None,None,5757000000,None,2010-12-31,9605000000,127000000,127000000,2378000000,None,5019000000,None,None,901000000,1941000000,None,15183000000,4554000000,USD,12372000000,6889000000,1870000000,516000000,35067000000,12851000000,11160000000,31359000000,22216000000,20199000000,3708000000,0
None,None,2391000000,2391000000,373000000,388900000,2026000000,None,None,5995000000,None,2009-12-31,9948000000,311000000,311000000,2220000000,None,5052000000,None,None,1028000000,3631000000,None,15227000000,4520000000,USD,12351000000,5086000000,34000000,346000000,35105000000,12449000000,10672000000,30976000000,22656000000,20304000000,4129000000,0
None,None,2168000000,2168000000,393000000,409400000,2030000000,None,None,5296000000,None,2008-12-31,9526000000,355000000,355000000,1902000000,None,3563000000,None,None,1256000000,3735000000,None,None,4488000000,USD,11621000000,3805000000,242000000,61000000,33439000000,10683000000,10542000000,30574000000,22756000000,20032000000,2865000000,None
None,None,2648000000,2648000000,409000000,427100000,2163000000,None,None,4925000000,None,2007-12-31,9387000000,463000000,463000000,1718000000,None,4303000000,None,None,1316000000,3350000000,None,None,4320000000,USD,11247000000,4407000000,-1481000000,333000000,28926000000,10940000000,9871000000,19121000000,17986000000,9250000000,9805000000,None
None,None,1912000000,1912000000,421000000,436400000,2221000000,None,None,4595000000,None,2006-12-31,9250000000,605000000,605000000,1657000000,None,4405000000,None,None,1619000000,3442000000,None,None,4056000000,USD,9269000000,4439000000,34000000,381000000,28231000000,10164000000,9553000000,21347000000,18067000000,11794000000,6884000000,None
None,None,2244000000,2244000000,432000000,445700000,1998000000,None,None,4579000000,None,2005-12-31,8447000000,560000000,560000000,1921000000,None,4784000000,None,None,1356000000,2897000000,None,None,3924000000,USD,7278000000,4986000000,202000000,429000000,27744000000,10529000000,9428000000,19877000000,17215000000,10449000000,7867000000,None
