capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
1685000000,-4139000000,-1792000000,None,None,-478000000,None,None,None,1559000000,3059000000,3059000000,None,2024-12-31,5336000000,6972000000,None,None,None,None,None,None,None,None,None,-3700000000,None,None,USD
1691000000,-7331000000,-1694000000,None,None,-44000000,None,None,None,1430000000,3056000000,3056000000,None,2023-12-31,6920000000,7920000000,None,None,None,None,None,None,None,None,None,-6000000000,None,None,USD
1670000000,-7070000000,-1789000000,-1057000000,None,-107000000,None,None,-542000000,1404000000,3016000000,3016000000,None,2022-12-31,5732000000,7802000000,None,None,None,None,None,None,None,None,None,-7900000000,None,None,USD
1522000000,-7616000000,-1161000000,444000000,None,564000000,None,None,15000000,1364000000,2940000000,2940000000,None,2021-12-31,6315000000,9221000000,None,None,None,None,None,None,None,None,None,-4087000000,None,None,USD
1766000000,-4527000000,-2010000000,1646000000,None,74000000,None,None,359000000,1290000000,2764000000,2764000000,None,2020-12-31,6833000000,8183000000,None,None,None,None,None,None,None,None,None,-1100000000,None,None,USD
1484000000,-5328000000,-1241000000,742000000,None,-622000000,None,None,107000000,1189000000,2556000000,2556000000,None,2019-12-31,6230000000,7311000000,None,None,None,None,None,None,None,None,None,-1200000000,None,None,USD
1278000000,-4152000000,-1075000000,-2089000000,None,-119000000,None,None,-179000000,1161000000,2347000000,2347000000,None,2018-12-31,5046000000,3138000000,None,None,None,None,None,None,None,None,None,-1492000000,None,None,USD
1177000000,-4305000000,-1147000000,1024000000,None,183000000,None,None,-401000000,1195000000,2163000000,2163000000,None,2017-12-31,2002000000,6476000000,None,None,None,None,None,None,None,None,None,-2001000000,None,None,USD
1063000000,-3457000000,-985000000,747000000,None,-46000000,None,None,-811000000,1215000000,2048000000,2048000000,None,2016-12-31,5302000000,5189000000,None,None,None,None,None,None,None,None,None,-2096000000,None,None,USD
939000000,4277000000,-9734000000,-356000000,None,-398000000,None,None,-256000000,1026000000,1932000000,1932000000,None,2015-12-31,3605000000,5101000000,None,None,None,None,None,None,None,None,None,-3071000000,None,None,USD
845000000,-3314000000,-1723000000,-1171000000,None,77000000,None,None,28000000,994000000,1760000000,1760000000,None,2014-12-31,3614000000,3866000000,None,None,None,None,None,None,None,None,None,-1900000000,None,None,USD
836000000,-2706000000,-1121000000,719000000,None,-60000000,None,None,767000000,990000000,1540000000,1540000000,None,2013-12-31,2981000000,4546000000,None,None,None,None,None,None,None,None,None,-1762000000,None,None,USD
942000000,-2068000000,-1222000000,-1684000000,None,-422000000,None,None,-460000000,988000000,1352000000,1352000000,None,2012-12-31,2745000000,1561000000,None,None,None,None,None,None,None,None,None,-990000000,None,None,USD
987000000,-2119000000,-813000000,1321000000,None,-74000000,None,None,-363000000,797000000,1095000000,1095000000,None,2011-12-31,-81000000,4253000000,None,None,None,None,None,None,None,None,None,-2465000000,None,None,USD
820000000,-3363000000,-319000000,-130000000,5000000,-227000000,None,None,-15000000,749000000,969000000,969000000,None,2010-12-31,2926000000,3547000000,None,None,None,None,None,None,None,None,None,-2420000000,None,None,USD
852000000,-1476000000,-1518000000,223000000,44000000,-270000000,None,None,-719000000,859000000,908000000,908000000,None,2009-12-31,3024000000,3173000000,None,None,None,None,None,None,None,None,None,-1851000000,None,None,USD
926000000,-3938000000,-907000000,None,None,-183000000,None,None,None,845000000,737000000,737000000,None,2008-12-31,3217000000,4421000000,None,None,None,None,None,None,None,None,None,-2931000000,None,None,USD
940000000,-2300000000,-1205000000,None,None,-57000000,None,None,None,819000000,615000000,615000000,None,2007-12-31,3033000000,4241000000,None,None,None,None,None,None,None,None,None,-2127000000,None,None,USD
893000000,-2460000000,-1655000000,None,None,-530000000,None,None,None,764000000,538000000,538000000,None,2006-12-31,2529000000,3783000000,None,None,None,None,None,None,None,None,None,-2115000000,None,None,USD
865000000,-1511000000,-499000000,None,None,-39000000,None,None,None,705000000,462000000,462000000,None,2005-12-31,1825000000,3194000000,None,None,None,None,None,None,None,None,None,-1310000000,None,None,USD
