comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,64113000000,64113000000,None,1560000000,7256000000,8816000000,2024-12-31,6930000000,6220000000,884000000,None,1036000000,1014000000,None,5336000000,5336000000,-1036000000,None,-83000000,7013000000,None,USD,1600000000,None,71043000000
None,59092000000,59092000000,None,1430000000,8507000000,8507000000,2023-12-31,8479000000,8098000000,-1178000000,None,916000000,980000000,None,6920000000,6966000000,-864000000,None,-28000000,8507000000,None,USD,1500000000,None,67571000000
None,57697000000,57697000000,None,1404000000,7303000000,8707000000,2022-12-31,8287000000,6680000000,948000000,None,623000000,623000000,None,5732000000,5732000000,-623000000,None,-61000000,8348000000,-74000000,USD,1700000000,None,65984000000
None,57983000000,57983000000,None,1364000000,8119000000,9483000000,2021-12-31,9061000000,7550000000,1235000000,None,569000000,569000000,None,6315000000,6315000000,-569000000,None,-62000000,9123000000,288000000,USD,1500000000,None,67044000000
None,56744000000,56744000000,None,1290000000,8826000000,10116000000,2020-12-31,8654000000,8235000000,1347000000,None,591000000,591000000,None,6833000000,6888000000,-591000000,None,10000000,8644000000,182000000,USD,1300000000,None,65398000000
None,51445000000,51445000000,None,1189000000,7894000000,9083000000,2019-12-31,8367000000,7241000000,1011000000,None,653000000,653000000,None,6230000000,6230000000,-653000000,None,-178000000,8545000000,-651000000,USD,1300000000,608000000,59812000000
None,46392000000,46392000000,None,1161000000,6506000000,7667000000,2018-12-31,7370000000,5838000000,792000000,None,668000000,668000000,None,5046000000,5046000000,-668000000,None,-60000000,7334000000,-828000000,USD,1300000000,777000000,53762000000
None,43589000000,43589000000,None,1195000000,5897000000,7092000000,2017-12-31,6371000000,5269000000,3340000000,None,651000000,651000000,None,2002000000,1929000000,-651000000,None,-373000000,6744000000,-1000000,USD,1200000000,746000000,49960000000
None,41889000000,41889000000,None,1215000000,5417000000,6632000000,2016-12-31,5401000000,4886000000,1133000000,None,663000000,663000000,None,5302000000,3753000000,-663000000,None,-487000000,5888000000,None,USD,988000000,471000000,47290000000
None,36044000000,36044000000,None,1026000000,4742000000,5768000000,2015-12-31,4492000000,5023000000,1418000000,None,443000000,443000000,None,3605000000,3605000000,None,None,-220000000,4712000000,30000000,USD,817000000,123000000,40536000000
None,35263000000,35263000000,None,994000000,5017000000,6011000000,2014-12-31,4683000000,5258000000,1644000000,None,340000000,None,None,3614000000,3614000000,None,None,-329000000,5592000000,6000000,USD,733000000,0,39946000000
None,40775000000,40775000000,None,990000000,4505000000,5495000000,2013-12-31,4583000000,4155000000,1205000000,None,350000000,None,None,2981000000,2950000000,None,None,-318000000,4505000000,None,USD,697000000,0,45358000000
None,42938000000,42938000000,None,988000000,4455000000,5443000000,2012-12-31,4244000000,4072000000,1327000000,None,383000000,None,None,2745000000,4072000000,None,None,-238000000,4434000000,21000000,USD,616000000,0,47182000000
None,42795000000,42795000000,None,1008000000,3985000000,4993000000,2011-12-31,3704000000,3631000000,964000000,None,354000000,None,None,2655000000,3631000000,None,None,-276000000,3980000000,5000000,USD,585000000,0,46499000000
None,41967000000,41967000000,None,1052000000,4123000000,5175000000,2010-12-31,3836000000,3826000000,1181000000,None,345000000,None,None,2926000000,2645000000,None,None,-261000000,4097000000,74000000,USD,638000000,0,45803000000
None,40965000000,40965000000,None,859000000,4466000000,5325000000,2009-12-31,4224000000,4284000000,1260000000,None,305000000,None,None,3024000000,3024000000,None,None,242000000,4466000000,123000000,USD,750000000,242000000,45189000000
None,38082000000,38082000000,None,845000000,5093000000,5938000000,2008-12-31,4649000000,4702000000,1485000000,None,341000000,None,None,3217000000,None,None,None,482000000,5131000000,None,USD,1220000000,None,42731000000
None,37628000000,37628000000,None,819000000,4720000000,5539000000,2007-12-31,4234000000,4368000000,1335000000,None,352000000,None,None,3033000000,None,None,None,293000000,4527000000,None,USD,1206000000,None,41862000000
None,36186000000,36186000000,None,764000000,3434000000,4198000000,2006-12-31,3434000000,3592000000,1063000000,None,361000000,None,None,2529000000,None,None,None,519000000,3953000000,None,USD,1139000000,None,39620000000
None,34676000000,34676000000,None,705000000,2986000000,3691000000,2005-12-31,2537000000,2616000000,791000000,None,370000000,None,None,1825000000,None,None,None,449000000,2986000000,None,USD,1042000000,None,37213000000
