accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,13524000000,1085000000,1085000000,17000000,721900000,1029000000,None,None,2383000000,None,2024-12-31,3145000000,907000000,907000000,56000000,None,38424000000,None,2710000000,1075000000,1611000000,None,770000000,38634000000,USD,66834000000,51948000000,636000000,None,55182000000,4599000000,3861000000,58979000000,50584000000,55118000000,-3796000000,None
None,13745800000,4579000000,4579000000,17000000,732300000,1103000000,None,2192400000,2488000000,None,2023-12-31,3040000000,836000000,836000000,53000000,None,37152900000,None,1080200000,866000000,1902900000,None,949700000,38422000000,USD,63480000000,53091000000,2880000000,4300000,56147000000,7986000000,6859000000,60854000000,48159000000,53995000000,-4706000000,None
-17264000000,12134400000,2583800000,2583800000,16600000,741300000,980200000,None,None,2115000000,None,2022-12-31,2900400000,3764700000,3764700000,52000000,None,35903500000,None,1064500000,673400000,1630800000,None,2601500000,36339300000,USD,59543900000,48699000000,661100000,None,50435600000,5424200000,3802100000,56439000000,45011400000,52636900000,-6003400000,-71624400000
-17196000000,13020900000,4709200000,4709200000,16600000,751800000,1006800000,None,None,1872400000,None,2021-12-31,2782500000,3577500000,3577500000,55600000,None,35622700000,None,1201200000,511300000,1710300000,None,3716100000,38272600000,USD,57534700000,49349100000,705500000,300000,53854300000,7148500000,4020000000,58455300000,46705800000,54435300000,-4601000000,-67810200000
-16518300000,13321300000,3449100000,3449100000,16600000,750100000,741300000,None,2243600000,2110300000,None,2020-12-31,2773100000,3464300000,3464300000,51100000,None,35196800000,None,1297200000,632700000,1526700000,None,3024800000,24958200000,USD,53908100000,51463200000,2945100000,1297000000,52626800000,6243200000,6181200000,60451700000,46383600000,54270500000,-7824900000,-67066400000
-14890900000,13378800000,898500000,898500000,16600000,764900000,988200000,None,59100000,2224200000,None,2019-12-31,2677400000,3342800000,3342800000,50200000,None,34118100000,None,1270300000,385000000,1373500000,None,3245500000,24160000000,USD,52930500000,47556000000,680100000,14000000,47510800000,3557900000,3621000000,55721100000,43952900000,52100100000,-8210300000,-66328600000
None,None,866000000,866000000,16600000,785600000,1207900000,None,100000,2441500000,None,2018-12-31,2331500000,609700000,609700000,51100000,None,31075300000,None,1202800000,745700000,1765600000,None,3177500000,22842700000,USD,50487000000,31703100000,627800000,171600000,32811200000,4053200000,2973500000,39069600000,28758000000,36096100000,-6258400000,-61528500000
None,None,2463800000,2463800000,16600000,815500000,924800000,None,300000,1976200000,None,2017-12-31,2379700000,535600000,535600000,58800000,None,29536400000,None,1085700000,828400000,1965800000,None,3525300000,22448300000,USD,48325800000,29536700000,300000,0,33803700000,5327200000,2890600000,37071700000,28476500000,34181100000,-3268000000,-56504400000
None,None,1223400000,1223400000,16600000,861200000,756000000,None,77200000,1474100000,None,2016-12-31,2336500000,2336500000,2336500000,58900000,None,25878500000,None,725900000,2092200000,2101600000,None,2064300000,21257600000,USD,46222700000,25955700000,77200000,144400000,31023900000,4848600000,3468300000,33228200000,26175300000,29759900000,-2204300000,-52108600000
-14574800000,None,7685500000,7685500000,16600000,944600000,874700000,None,24125500000,1298700000,None,2015-12-31,2516300000,2516300000,2516300000,100100000,None,24122100000,None,792700000,558700000,2075700000,None,2074000000,23117600000,USD,44594500000,48247600000,24125500000,0,37938700000,9643000000,2950400000,30850800000,28295700000,27900400000,7087900000,-41176800000
-14568600000,None,2077900000,2077900000,16600000,986300000,860100000,None,14943200000,1214400000,None,2014-12-31,2735300000,2735300000,2735300000,110000000,None,14989700000,None,1004500000,783200000,1887800000,None,2065900000,24557500000,USD,43294500000,29932900000,14943200000,0,34281400000,4185500000,2747900000,21428000000,30095900000,18680100000,12853400000,-35177100000
None,None,2798700000,2798700000,16600000,1006000000,1086000000,None,None,1319800000,None,2013-12-31,2872700000,2872700000,2872700000,123700000,None,14129800000,None,None,807900000,1485400000,None,None,25747300000,USD,41751200000,14129800000,None,0,36626300000,5050100000,3170000000,20616600000,31576200000,17446600000,16009700000,-32179800000
-13813900000,None,2336100000,2336100000,16600000,1020200000,1141900000,None,None,1375300000,None,2012-12-31,2804000000,2804000000,2804000000,121700000,None,13632500000,None,1380500000,1089000000,1591800000,None,1526200000,24677200000,USD,39278000000,13632500000,None,0,35386500000,4922100000,3403100000,20092900000,30464400000,16689800000,15293600000,-30576300000
-12903100000,None,2335700000,2335700000,16600000,1044900000,961300000,None,None,1334700000,None,2011-12-31,2653200000,2653200000,2653200000,116800000,None,12133800000,None,1427000000,615800000,1581000000,None,1612600000,22834500000,USD,36707500000,12500400000,366600000,0,32989900000,4403000000,3509200000,18599700000,28586900000,15090500000,14390200000,-28270900000
-12421800000,None,2387000000,2387000000,16600000,1080300000,943900000,None,None,1179100000,None,2010-12-31,2586100000,2586100000,2586100000,109900000,None,11497000000,None,1335300000,692500000,1585600000,None,1586900000,22060600000,USD,33811700000,11505300000,8300000,0,31975200000,4368500000,2924700000,17341000000,27606700000,14416300000,14634200000,-25143400000
-11909000000,None,1796000000,1796000000,16600000,1107400000,636000000,None,None,1060400000,None,2009-12-31,2425200000,2425200000,2425200000,106200000,None,10560300000,None,1212700000,453700000,1854800000,None,1363100000,21531500000,USD,31270800000,10578400000,18100000,0,30224900000,3416300000,2988700000,16191000000,26808600000,13202300000,14033900000,-22854800000
None,None,2063400000,2063400000,16600000,1146000000,620400000,None,None,931200000,None,2008-12-31,2237400000,2237400000,2237400000,111500000,None,10186000000,None,None,411500000,1633000000,None,None,20254500000,USD,28953900000,10217800000,31800000,None,28461500000,3517600000,2537900000,15078900000,24943900000,12541000000,13382600000,-20289400000
None,None,1981300000,1981300000,16600000,1211800000,624100000,None,None,1053800000,None,2007-12-31,2301300000,2301300000,2301300000,125300000,None,7310000000,None,None,421500000,1883300000,None,None,20984700000,USD,26461500000,9301100000,1991100000,None,29391700000,3581900000,4498500000,14111900000,25809800000,9613400000,15279800000,-16762400000
None,None,2128100000,2128100000,16600000,1251700000,668700000,None,None,806900000,None,2006-12-31,2073600000,2209200000,2209200000,112400000,None,8416500000,None,None,2144800000,2014300000,None,None,20845700000,USD,25845600000,8407600000,17700000,None,28974500000,5192200000,2951600000,13516200000,23782300000,10564600000,15458300000,-13552200000
None,None,4260600000,4260600000,16600000,1274200000,678000000,None,None,793900000,None,2005-12-31,1924400000,1950700000,1950700000,144300000,None,8937400000,None,None,1020200000,1659600000,None,None,19908000000,USD,23516000000,10136800000,1202500000,None,29988800000,6219000000,4107700000,14842700000,23769800000,10735000000,15146100000,-10373600000
