capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
2775000000,-7495000000,-5346000000,None,None,71000000,None,None,None,2097000000,4870000000,4870000000,None,2024-12-31,8223000000,9447000000,None,None,None,None,None,None,None,None,None,-2824000000,None,None,USD
2357400000,-4374100000,-3184500000,None,None,16700000,None,None,None,1978200000,4532800000,4532800000,None,2023-12-31,8469000000,9611900000,None,None,None,None,None,None,None,None,None,-3054300000,None,None,USD
1899200000,-6580200000,-2678100000,-1871600000,None,5600000,None,None,-264100000,1870600000,4168200000,4168200000,None,2022-12-31,6177400000,7386700000,None,None,None,None,None,None,None,None,None,-3896000000,None,None,USD
2040000000,-5595600000,-2165700000,1260100000,-120100000,-62200000,None,None,309900000,1868100000,3918600000,3918600000,None,2021-12-31,7545200000,9141500000,None,None,None,None,None,None,None,None,None,-845500000,None,None,USD
1640800000,-2249000000,-1545800000,2550600000,80200000,-68600000,None,None,-6800000,1751400000,3752900000,3752900000,None,2020-12-31,4730500000,6265200000,None,None,None,None,None,None,None,None,None,-907800000,None,None,USD
2393700000,-4994800000,-3071100000,32500000,-23700000,128800000,None,None,27000000,1617900000,3581900000,3581900000,None,2019-12-31,6025400000,8122100000,None,None,None,None,None,None,None,None,None,-4976200000,None,None,USD
2741700000,-5949600000,-2455100000,-1597800000,-159800000,-1900000,None,None,-479400000,1482000000,3255900000,3255900000,None,2018-12-31,5924300000,6966700000,None,None,None,None,None,None,None,None,None,-5207700000,None,None,USD
1853700000,-5310800000,562000000,1066400000,264000000,-37300000,None,None,-340700000,1363400000,3089200000,3089200000,None,2017-12-31,5192300000,5551200000,None,None,None,None,None,None,None,None,None,-4685700000,None,None,USD
1821100000,-11262400000,-981600000,-6288100000,-103700000,28100000,None,None,-159000000,1516500000,3058200000,3058200000,None,2016-12-31,4686500000,6059600000,None,None,None,None,None,None,None,None,None,-11171000000,None,None,USD
1813900000,735300000,-1420000000,5607600000,-246800000,44900000,None,None,-180600000,1555700000,3230300000,3230300000,None,2015-12-31,4529300000,6539100000,None,None,None,None,None,None,None,None,None,-6099200000,None,None,USD
2583400000,-4618300000,-2304900000,-720800000,-527900000,-4900000,None,None,27000000,1644500000,3216100000,3216100000,None,2014-12-31,4757800000,6730300000,None,None,None,None,None,None,None,None,None,-3198600000,None,None,USD
2824700000,-4043000000,-2673800000,462600000,58700000,-44400000,None,None,56200000,1585100000,3114600000,3114600000,None,2013-12-31,5585900000,7120700000,None,None,None,None,None,None,None,None,None,-1777800000,None,None,USD
3049200000,-3849800000,-3167300000,400000,51400000,-27200000,None,None,-29400000,1488500000,2896600000,2896600000,None,2012-12-31,5464800000,6966100000,None,None,None,None,None,None,None,None,None,-2615100000,None,None,USD
2729800000,-4533000000,-2570900000,-51300000,-97500000,-52200000,None,None,-160800000,1415000000,2609700000,2609700000,None,2011-12-31,5503100000,7150100000,None,None,None,None,None,None,None,None,None,-3363100000,None,None,USD
2135500000,-3728700000,-2056000000,591000000,34100000,-50800000,None,None,-50100000,1276200000,2408100000,2408100000,None,2010-12-31,4946300000,6341600000,None,None,None,None,None,None,None,None,None,-2698500000,None,None,USD
1952100000,-4421000000,-1655300000,-267400000,57900000,1000000,None,None,-42000000,1216200000,2235500000,2235500000,None,2009-12-31,4551000000,5751000000,None,None,None,None,None,None,None,None,None,-2797400000,None,None,USD
2135700000,-4114500000,-1624700000,None,None,-11000000,None,None,None,1207800000,1823400000,1823400000,None,2008-12-31,4313200000,5917200000,None,None,None,None,None,None,None,None,None,-3919300000,None,None,USD
1946600000,-3996300000,-1150100000,None,None,-29600000,None,None,None,1214100000,1765600000,1765600000,None,2007-12-31,2395100000,4876300000,None,None,None,None,None,None,None,None,None,-3943000000,None,None,USD
1741900000,-5192300000,-1273400000,None,None,-1600000,None,None,None,1249900000,1216500000,1216500000,None,2006-12-31,3544200000,4341500000,None,None,None,None,None,None,None,None,None,-2959400000,None,None,USD
1606800000,361600000,-1817800000,None,None,-29400000,None,None,None,1249500000,842000000,842000000,None,2005-12-31,2602200000,4336800000,None,None,None,None,None,None,None,None,None,-1202000000,None,None,USD
