comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,11210000000,11210000000,None,2097000000,11851000000,13948000000,2024-12-31,14710000000,10345000000,2121000000,None,1506000000,103000000,None,8223000000,8224000000,-1403000000,None,2998000000,11712000000,None,USD,None,2322000000,25920000000
None,10931000000,10931000000,None,1978000000,11883000000,13861000000,2023-12-31,14564000000,10522000000,2053000000,None,1361000000,148100000,None,8469000000,8333200000,-1175400000,None,2917000000,11647000000,None,USD,None,2424600000,25495000000
None,9975000000,9975000000,None,1871000000,9032000000,10903000000,2022-12-31,13207000000,7825000000,1648000000,None,1207000000,1207000000,None,6177000000,6177400000,-1207000000,None,3836000000,9371000000,-338600000,USD,None,2492200000,23182000000
None,10642700000,10642700000,None,1868100000,10313700000,12181800000,2021-12-31,12580200000,9127900000,1582700000,None,1185800000,1185800000,None,7545200000,7545200000,-1176600000,None,2224200000,10356000000,-42300000,USD,None,2377800000,23222900000
None,9455700000,9455700000,None,1751400000,7358800000,9110200000,2020-12-31,9752100000,6140700000,1410200000,None,1218100000,1218100000,None,4730500000,4730500000,-1200400000,None,2428100000,7324000000,34800000,USD,None,2245000000,19207800000
None,10185000000,10185000000,None,1617900000,9140000000,10757900000,2019-12-31,11179400000,8018100000,1992700000,None,1121900000,37000000,None,6025400000,6025400000,-1084900000,None,2109600000,9069800000,70200000,USD,None,2229400000,21364400000
None,10425300000,10425300000,None,1482000000,8797300000,10279300000,2018-12-31,10832600000,7816100000,1891800000,None,981200000,4000000,None,5924300000,5924300000,-977200000,None,2010000000,8822600000,-25300000,USD,None,2200200000,21257900000
None,12199600000,12199600000,None,1363400000,9494800000,10858200000,2017-12-31,10620800000,8573500000,3381200000,None,921300000,7000000,None,5192300000,5192300000,-914300000,None,1068100000,9552700000,-57900000,USD,None,2231300000,22820400000
None,14417200000,14417200000,None,1516500000,7750800000,9267300000,2016-12-31,10204700000,6866000000,2179500000,None,884800000,4000000,None,4686500000,4686500000,-880800000,None,2460200000,7744500000,6300000,USD,0,2384500000,24621900000
None,15623800000,15623800000,None,1555700000,7194000000,8749700000,2015-12-31,9789200000,6555700000,2026400000,None,638300000,573300000,None,4529300000,4529300000,None,None,2643700000,7145500000,48500000,USD,0,2434300000,25413000000
None,16985600000,16985600000,None,1644500000,7948400000,9592900000,2014-12-31,10455700000,7372000000,2614200000,None,576400000,None,None,4757800000,4757800000,None,None,2506500000,7949200000,-6700000,USD,0,2487900000,27441300000
None,17203000000,17203000000,None,1585100000,8732300000,10317400000,2013-12-31,10902700000,8204500000,2618600000,None,527800000,None,None,5585900000,5585900000,None,None,2138400000,8764300000,-37900000,USD,0,2385600000,28105700000
None,16750700000,16750700000,None,1488500000,8595600000,10084100000,2012-12-31,10816300000,8079000000,2614200000,None,516600000,None,None,5464800000,5464800000,None,None,2211700000,8604600000,-9000000,USD,0,2455200000,27567000000
None,16319400000,16319400000,None,1415000000,8505000000,9920000000,2011-12-31,10686600000,8012200000,2509100000,None,492800000,None,None,5503100000,5503100000,None,None,2156900000,8529700000,-24700000,USD,0,2393700000,27006000000
None,14437300000,14437300000,None,1276200000,7451200000,8727400000,2010-12-31,9637300000,7000300000,2054000000,None,450900000,None,None,4946300000,4946300000,None,None,2164200000,7473100000,-21900000,USD,0,2333300000,24074600000
None,13952900000,13952900000,None,1216200000,6960200000,8176400000,2009-12-31,8791800000,6487000000,1936000000,None,473200000,None,None,4551000000,4551000000,None,None,1950800000,6841000000,119200000,USD,0,2234200000,22744700000
None,14883200000,14883200000,None,1207800000,6680600000,7888400000,2008-12-31,8639200000,6158000000,1844800000,None,522600000,None,None,4313200000,None,None,None,2196300000,6442900000,None,USD,None,2355500000,23522400000
None,14881400000,14881400000,None,1214100000,3982200000,5196300000,2007-12-31,7905200000,3572100000,1237100000,None,410100000,None,None,2395100000,None,None,None,4026200000,3879000000,None,USD,None,2367000000,22786600000
None,13963200000,13963200000,None,1249900000,4394700000,5644600000,2006-12-31,6932000000,4154400000,1288300000,None,402000000,None,None,3544200000,None,None,None,2499000000,4433000000,None,USD,None,2337900000,20895200000
None,12940000000,12940000000,None,1249500000,3939300000,5188800000,2005-12-31,6177300000,3660200000,1082600000,None,356100000,None,None,2602200000,None,None,None,2193300000,3984000000,None,USD,None,2220600000,19117300000
