accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,58000000,2218000000,2218000000,128190,1289900000,2449000000,None,2868000000,6515000000,None,2025-04-30,41737000000,11667000000,11667000000,5476000000,None,25590000000,None,None,2858000000,7556000000,None,1768000000,7937000000,USD,31476000000,28516000000,2874000000,6747000000,91680000000,23814000000,12879000000,43424000000,67865000000,30545000000,48024000000,None
None,61000000,1284000000,1284000000,131130,1330200000,2410000000,None,1086000000,6128000000,None,2024-04-30,40986000000,13225000000,13225000000,5217000000,None,23877000000,None,None,2585000000,5957000000,None,1365000000,7143000000,USD,30403000000,25024000000,1092000000,6721000000,89981000000,21935000000,10789000000,39561000000,68046000000,28772000000,50214000000,None
None,64000000,1543000000,1543000000,133100,1332800000,2662000000,None,20000000,5998000000,None,2023-04-30,41425000000,14844000000,14844000000,5293000000,None,24344000000,None,None,2425000000,5529000000,None,1727000000,6610000000,USD,30392000000,24364000000,20000000,6416000000,90948000000,21675000000,9051000000,39283000000,69274000000,30232000000,51483000000,None
None,62000000,3714000000,3714000000,133070,1351400000,2276000000,None,3742000000,5551000000,None,2022-04-30,40502000000,15594000000,15594000000,4616000000,None,20372000000,None,None,2319000000,5672000000,None,1409000000,5413000000,USD,30250000000,24114000000,3742000000,6859000000,90981000000,23059000000,12394000000,38259000000,67920000000,25865000000,52551000000,None
None,71000000,3593000000,3593000000,134540,1354000000,2106000000,None,11000000,5462000000,None,2021-04-30,41961000000,17740000000,17740000000,4313000000,None,26378000000,None,None,1956000000,5957000000,None,1758000000,6219000000,USD,28594000000,26389000000,11000000,7224000000,93083000000,22548000000,8509000000,41481000000,70534000000,32972000000,51428000000,None
None,50000000,4140000000,4140000000,134110,1351100000,1996000000,None,2771000000,4645000000,None,2020-04-30,39841000000,19063000000,19063000000,4229000000,None,21976000000,None,None,2209000000,5092000000,None,6256000000,4828000000,USD,28132000000,24797000000,2776000000,6808000000,90689000000,22031000000,10366000000,39817000000,68658000000,29451000000,50737000000,None
None,16000000,4393000000,4393000000,134070,1357500000,1953000000,None,832000000,6222000000,None,2019-04-30,39959000000,20560000000,20560000000,3753000000,None,24476000000,None,416000000,2144000000,5114000000,None,757000000,4675000000,USD,26270000000,25315000000,838000000,5455000000,89694000000,21967000000,8472000000,39482000000,67727000000,31010000000,50091000000,0
None,26000000,3669000000,3669000000,0,1368200000,1628000000,None,2053000000,5987000000,None,2018-04-30,39543000000,21723000000,21723000000,3579000000,None,23678000000,None,559000000,2187000000,5419000000,None,889000000,4071000000,USD,24379000000,25763000000,2063000000,7558000000,91393000000,22980000000,10084000000,40571000000,68413000000,30487000000,50720000000,0
None,28000000,4967000000,4967000000,0,1391400000,1555000000,None,7515000000,5591000000,None,2017-04-30,38515000000,23407000000,23407000000,3338000000,None,25898000000,None,736000000,2236000000,4556000000,None,1515000000,4361000000,USD,23356000000,33401000000,7525000000,8741000000,99816000000,24873000000,14264000000,49400000000,74984000000,35180000000,50294000000,0
None,None,2876000000,2876000000,0,1425900000,1709000000,None,887000000,5562000000,None,2016-04-30,41265000000,26899000000,26899000000,3473000000,None,30221000000,None,739000000,1931000000,3897000000,None,1759000000,4841000000,USD,21704000000,31013000000,1099000000,9758000000,99547000000,23600000000,7165000000,47719000000,76044000000,40554000000,51828000000,0
None,None,4843000000,4843000000,0,1109000000,1610000000,None,1115000000,5112000000,None,2015-04-30,40530000000,28101000000,28101000000,3463000000,None,33694000000,None,904000000,3290000000,4194000000,None,1535000000,4699000000,USD,54414000000,36107000000,2450000000,14637000000,106685000000,30844000000,9173000000,53455000000,75841000000,44282000000,53230000000,0
None,None,1403000000,1403000000,100000000,1013600000,742000000,None,11939000000,3811000000,None,2014-04-30,10593000000,2286000000,2286000000,1725000000,None,10315000000,None,894000000,1433000000,3027000000,None,None,2392000000,USD,19940000000,11872000000,1613000000,12838000000,37943000000,21210000000,5572000000,18500000000,16733000000,12928000000,19443000000,None
None,None,984000000,984000000,102000000,1027500000,681000000,None,10669000000,3727000000,None,2013-04-30,10329000000,2673000000,2673000000,1712000000,None,9741000000,None,1024000000,1342000000,2304000000,None,None,2490000000,USD,19061000000,10615000000,924000000,10087000000,34794000000,17746000000,3950000000,16123000000,17048000000,12279000000,18671000000,None
None,None,1248000000,1248000000,104000000,1059900000,565000000,None,None,3808000000,None,2012-04-30,9934000000,2647000000,2647000000,1800000000,None,7359000000,None,None,1638000000,2023000000,None,None,2473000000,USD,17482000000,10466000000,3288000000,1344000000,33083000000,9838000000,5857000000,15970000000,16482000000,10113000000,17113000000,None
None,None,1382000000,1382000000,107000000,1081700000,495000000,None,None,3822000000,None,2011-04-30,9537000000,2725000000,2725000000,1695000000,None,8112000000,None,None,1342000000,2458000000,None,None,2511000000,USD,16085000000,9657000000,1723000000,1046000000,30424000000,9117000000,4714000000,14456000000,21525000000,9981000000,15968000000,None
None,None,1400000000,1400000000,110000000,1109400000,420000000,None,None,3335000000,None,2010-04-30,8391000000,2559000000,2559000000,1481000000,None,6944000000,None,None,1248000000,1891000000,None,None,2421000000,USD,14826000000,9519000000,2575000000,2375000000,28090000000,9839000000,5121000000,13461000000,18251000000,8340000000,14629000000,None
None,None,1271000000,1271000000,112000000,1126300000,382000000,None,None,3123000000,None,2009-04-30,8195000000,2477000000,2477000000,1426000000,None,6718000000,None,None,1227000000,2113000000,None,None,2279000000,USD,12941000000,6775000000,522000000,405000000,23661000000,7460000000,3147000000,10810000000,16136000000,7259000000,12851000000,None
None,None,1060000000,1060000000,112000000,1142100000,383000000,None,None,3360000000,None,2008-04-30,7519000000,2193000000,2193000000,1280000000,None,5767000000,None,None,1069000000,1998000000,None,None,2221000000,USD,11710000000,6956000000,1154000000,553000000,22198000000,7322000000,3535000000,10662000000,14876000000,7127000000,11536000000,None
None,None,1256000000,1256000000,114000000,1161800000,282000000,None,None,2737000000,None,2007-04-30,4327000000,1433000000,1433000000,1215000000,None,5578000000,None,None,888000000,1772000000,None,None,2062000000,USD,10925000000,6087000000,509000000,1822000000,19512000000,7918000000,2563000000,8535000000,11594000000,5972000000,10977000000,None
None,None,2994300000,2994300000,115500000,1217300000,319000000,None,None,2429000000,None,2006-04-30,4345600000,1592000000,1592000000,1176900000,None,5486300000,None,None,670000000,1650000000,None,None,1881100000,USD,9112200000,7923000000,2436800000,3107100000,19664800000,10376600000,4405800000,10282300000,9288000000,5876500000,9382500000,None
