capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
1859000000,-4361000000,-1937000000,None,None,-292000000,None,None,None,2861000000,3589000000,3589000000,None,2025-04-30,4691000000,7044000000,None,None,None,None,None,None,None,None,None,-3235000000,None,None,USD
1587000000,-4450000000,-2366000000,None,None,-139000000,None,None,None,2647000000,3666000000,3666000000,None,2024-04-30,3676000000,6787000000,None,None,None,None,None,None,None,None,None,-2138000000,None,None,USD
1459000000,-4960000000,-3493000000,-2414000000,None,-939000000,None,None,-576000000,2697000000,3616000000,3616000000,None,2023-04-30,3784000000,6039000000,None,None,None,None,None,None,None,None,None,-645000000,None,None,USD
1368000000,-5336000000,-1659000000,351000000,None,-560000000,None,None,-477000000,2707000000,3383000000,3383000000,None,2022-04-30,5062000000,7346000000,None,None,None,None,None,None,None,None,None,-2544000000,None,None,USD
1355000000,-4136000000,-2866000000,-762000000,None,78000000,None,None,-761000000,2702000000,3121000000,3121000000,None,2021-04-30,3630000000,6240000000,None,None,None,None,None,None,None,None,None,-652000000,None,None,USD
1213000000,-4198000000,-3203000000,-167000000,None,-577000000,None,None,1291000000,2663000000,2894000000,2894000000,None,2020-04-30,4806000000,7234000000,None,None,None,None,None,None,None,None,None,-1326000000,None,None,USD
1134000000,-5431000000,-774000000,802000000,None,-274000000,None,None,-581000000,2659000000,2693000000,2693000000,None,2019-04-30,4650000000,7007000000,None,None,None,None,None,None,None,None,None,-2877000000,None,None,USD
1068000000,-11954000000,5858000000,-1298000000,114000000,-192000000,None,None,-275000000,2644000000,2494000000,2494000000,None,2018-04-30,3095000000,4684000000,None,None,None,None,None,None,None,None,None,-2171000000,None,None,USD
1254000000,-3283000000,-1571000000,2091000000,65000000,-227000000,None,None,-75000000,2917000000,2376000000,2376000000,None,2017-04-30,4024000000,6880000000,None,None,None,None,None,None,None,None,None,-3544000000,None,None,USD
1046000000,-9543000000,2245000000,-1967000000,113000000,-186000000,None,None,-435000000,2820000000,2139000000,2139000000,None,2016-04-30,3538000000,5218000000,None,None,None,None,None,None,None,None,None,-2830000000,None,None,USD
571000000,15949000000,-17058000000,3440000000,-353000000,-282000000,None,None,-413000000,1306000000,1337000000,1337000000,None,2015-04-30,2675000000,4902000000,None,None,None,None,None,None,None,None,None,-1920000000,None,None,USD
396000000,-918000000,-3594000000,None,None,-39000000,None,None,None,850000000,1116000000,1116000000,None,2014-04-30,3065000000,4959000000,None,None,None,None,None,None,None,None,None,-2553000000,None,None,USD
457000000,-2101000000,-3053000000,None,None,93000000,None,None,None,819000000,1055000000,1055000000,None,2013-04-30,3467000000,4883000000,None,None,None,None,None,None,None,None,None,-1247000000,None,None,USD
528000000,-1882000000,-2651000000,None,None,-185000000,None,None,None,862000000,1021000000,1021000000,None,2012-04-30,3617000000,4470000000,None,None,None,None,None,None,None,None,None,-1440000000,None,None,USD
548000000,-2006000000,-1815000000,None,None,-101000000,None,None,None,804000000,969000000,969000000,None,2011-04-30,3096000000,3741000000,None,None,None,None,None,None,None,None,None,-1140000000,None,None,USD
635000000,764000000,-4759000000,None,None,158000000,None,None,None,772000000,907000000,907000000,None,2010-04-30,3099000000,4131000000,None,None,None,None,None,None,None,None,None,-1030000000,None,None,USD
663000000,-845000000,-2740000000,None,None,-212000000,None,None,None,699000000,843000000,843000000,None,2009-04-30,2169000000,3878000000,None,None,None,None,None,None,None,None,None,-759000000,None,None,USD
606000000,-835000000,-2790000000,None,None,30000000,None,None,None,637000000,565000000,565000000,None,2008-04-30,2231000000,3489000000,None,None,None,None,None,None,None,None,None,-1544000000,None,None,USD
694000000,-3011000000,-1701000000,None,None,-24000000,None,None,None,583000000,504000000,504000000,None,2007-04-30,2802000000,2979000000,None,None,None,None,None,None,None,None,None,-1039000000,None,None,USD
1244200000,1316400000,-2866600000,None,None,-257100000,None,None,None,543600000,464800000,464800000,None,2006-04-30,2546700000,2207400000,None,None,None,None,None,None,None,None,None,-4663600000,None,None,USD
