comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,11632000000,11632000000,None,2861000000,6357000000,9218000000,2025-04-30,21905000000,5628000000,936000000,None,729000000,612000000,None,4662000000,4691000000,-729000000,None,15950000000,5955000000,None,USD,2732000000,10849000000,33537000000
None,11216000000,11216000000,None,2647000000,5556000000,8203000000,2024-04-30,21148000000,4837000000,1133000000,None,719000000,721000000,None,3676000000,3705000000,-719000000,None,16004000000,5144000000,None,USD,2735000000,10736000000,32364000000
None,10719000000,10719000000,None,2697000000,6000000000,8697000000,2023-04-30,20508000000,5364000000,1580000000,None,636000000,164000000,None,3758000000,3784000000,-636000000,None,15023000000,5485000000,515000000,USD,2696000000,10415000000,31227000000
None,10145000000,10145000000,None,2707000000,6070000000,8777000000,2022-04-30,21541000000,5517000000,456000000,None,553000000,541000000,None,5039000000,5062000000,-553000000,None,15789000000,5752000000,318000000,USD,2746000000,10292000000,31686000000
None,10483000000,10483000000,None,2702000000,4820000000,7522000000,2021-04-30,19634000000,3895000000,265000000,None,925000000,617000000,None,3606000000,3630000000,-925000000,None,15150000000,4484000000,336000000,USD,2493000000,10148000000,30117000000
None,9424000000,9424000000,None,2663000000,5147000000,7810000000,2020-04-30,19489000000,4055000000,-751000000,None,1092000000,379000000,None,4789000000,4806000000,-1092000000,None,14698000000,4791000000,356000000,USD,2331000000,9875000000,28913000000
None,9155000000,9155000000,None,2659000000,6641000000,9300000000,2019-04-30,21402000000,5197000000,547000000,None,1444000000,676000000,None,4631000000,4650000000,-1444000000,None,15134000000,6268000000,373000000,USD,2330000000,10232000000,30557000000
None,9067000000,9067000000,None,2644000000,6821000000,9465000000,2018-04-30,20886000000,5675000000,2580000000,None,1146000000,397000000,None,3104000000,3095000000,-749000000,None,14246000000,6640000000,-505000000,USD,2256000000,9953000000,29953000000
None,9294000000,9294000000,None,2917000000,5696000000,8613000000,2017-04-30,20416000000,4602000000,578000000,None,1094000000,366000000,None,4028000000,4024000000,-728000000,None,15033000000,5383000000,-222000000,USD,2193000000,10018000000,29710000000
None,9142000000,9142000000,None,2820000000,5722000000,8542000000,2016-04-30,19691000000,4336000000,798000000,None,1386000000,1025000000,None,3538000000,3538000000,None,None,14330000000,5361000000,-107000000,USD,2224000000,9469000000,28833000000
None,6309000000,6309000000,None,1306000000,4152000000,5458000000,2015-04-30,13952000000,3486000000,811000000,None,666000000,None,None,2675000000,2675000000,None,None,10186000000,3766000000,-118000000,USD,1640000000,6904000000,20261000000
None,4333000000,4333000000,None,850000000,4084000000,4934000000,2014-04-30,12672000000,3705000000,640000000,None,379000000,None,None,3065000000,3065000000,None,None,8859000000,3813000000,None,USD,1477000000,7324000000,17005000000
None,4126000000,4126000000,None,819000000,4639000000,5458000000,2013-04-30,12464000000,4251000000,784000000,None,388000000,None,None,3467000000,None,None,None,8062000000,4402000000,None,USD,1557000000,7255000000,16590000000
None,3889000000,3889000000,None,862000000,4465000000,5327000000,2012-04-30,12295000000,4145000000,730000000,None,349000000,None,None,3617000000,None,None,None,12295000000,4483000000,None,USD,1490000000,7113000000,16184000000
None,3700000000,3700000000,None,804000000,4114000000,4918000000,2011-04-30,11808000000,3664000000,627000000,None,450000000,None,None,3096000000,None,None,None,11808000000,4460000000,None,USD,1508000000,7041000000,15933000000
None,3582000000,3582000000,None,772000000,4346000000,5118000000,2010-04-30,11810000000,3944000000,870000000,None,402000000,None,None,3099000000,None,None,None,11810000000,4787000000,None,USD,1460000000,6875000000,15817000000
None,3518000000,3518000000,None,699000000,2811000000,3510000000,2009-04-30,11081000000,2440000000,425000000,None,371000000,None,None,2169000000,None,None,None,11081000000,3464000000,None,USD,1355000000,6507000000,14599000000
None,3446000000,3446000000,None,637000000,3140000000,3777000000,2008-04-30,10069000000,2885000000,654000000,None,255000000,None,None,2231000000,None,None,None,10069000000,3651000000,None,USD,1275000000,5982000000,13515000000
None,3168000000,3168000000,None,583000000,3739000000,4322000000,2007-04-30,9131000000,3515000000,713000000,None,0,None,None,2802000000,None,None,None,9131000000,3739000000,None,USD,1239000000,5392000000,12299000000
None,2815000000,2815000000,None,543600000,3705400000,4249000000,2006-04-30,8477000000,3161000000,614600000,None,0,None,None,2546700000,None,None,None,8477000000,3705000000,None,USD,1112900000,4772300000,11292000000
