accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,615000000,5600000000,5600000000,9000000,552400000,2660000000,None,1919000000,3272000000,None,2024-12-31,6281000000,1210000000,1210000000,3698000000,None,11125000000,None,2505000000,1186000000,6499000000,None,10047000000,7953000000,USD,36797000000,13659000000,2082000000,2128000000,39868000000,15884000000,11256000000,35974000000,23984000000,24718000000,3842000000,None
None,819000000,5735000000,5735000000,9000000,553900000,2776000000,None,2947000000,3710000000,None,2023-12-31,6382000000,1323000000,1323000000,3944000000,None,13088000000,None,244000000,2940000000,8777000000,None,12530000000,9918000000,USD,37479000000,16751000000,3139000000,50000000,50580000000,16379000000,15297000000,45712000000,34201000000,30415000000,4807000000,None
-16820000000,261000000,3655000000,3655000000,9000000,567600000,3183000000,None,1938000000,4635000000,None,2022-12-31,12790000000,4699000000,4699000000,5372000000,None,14001000000,None,967000000,788000000,3344000000,None,8161000000,10007000000,USD,47950000000,16855000000,2199000000,238000000,46455000000,14688000000,9523000000,31685000000,31767000000,22162000000,14722000000,None
None,263000000,4564000000,4564000000,9000000,585300000,2994000000,None,1307000000,4770000000,None,2021-12-31,13486000000,5288000000,5288000000,4985000000,None,16056000000,None,262000000,883000000,3682000000,None,6864000000,10287000000,USD,45821000000,18310000000,1570000000,201000000,47072000000,15403000000,9035000000,31955000000,31669000000,22920000000,15046000000,-30463000000
-17229000000,256000000,4634000000,4634000000,9000000,582200000,2561000000,None,806000000,4830000000,None,2020-12-31,13802000000,5835000000,5835000000,4239000000,None,17989000000,None,214000000,875000000,3527000000,None,8476000000,9421000000,USD,43761000000,19753000000,1062000000,404000000,47344000000,14982000000,7948000000,34413000000,32362000000,26465000000,12867000000,-29404000000
-16791000000,965000000,2353000000,2353000000,9000000,585100000,2228000000,None,2795000000,4963000000,None,2019-12-31,13444000000,6379000000,6379000000,4134000000,None,17518000000,None,196000000,1423000000,3328000000,None,7793000000,9333000000,USD,42135000000,21278000000,3042000000,98000000,44659000000,12971000000,9222000000,34533000000,31688000000,25311000000,10063000000,-29849000000
-16135000000,75000000,2853000000,2853000000,9000000,602000000,2266000000,None,1211000000,5123000000,None,2018-12-31,10051000000,2657000000,2657000000,4366000000,None,13411000000,None,188000000,987000000,2907000000,None,1083000000,8738000000,USD,40636000000,14697000000,1211000000,380000000,36500000000,13709000000,7244000000,26652000000,22791000000,19408000000,9796000000,-29626000000
-16048000000,60000000,3053000000,3053000000,9000000,612700000,1945000000,None,1853000000,4982000000,None,2017-12-31,10513000000,2936000000,2936000000,4034000000,None,12096000000,None,150000000,1132000000,2550000000,None,1024000000,8866000000,USD,39115000000,14009000000,1853000000,1076000000,37987000000,14277000000,7687000000,26365000000,23710000000,18678000000,11563000000,-25887000000
-14983000000,45000000,2398000000,2398000000,9000000,618700000,1798000000,None,972000000,4501000000,None,2016-12-31,9166000000,2320000000,2320000000,3385000000,None,10678000000,None,145000000,1162000000,2114000000,None,943000000,8516000000,USD,37907000000,11695000000,972000000,280000000,32906000000,11726000000,6219000000,22563000000,21180000000,16344000000,10298000000,-25434000000
-14583000000,None,1798000000,1798000000,9000000,637200000,1694000000,None,1125000000,4260000000,None,2015-12-31,9249000000,2601000000,2601000000,3518000000,None,8753000000,None,126000000,1292000000,2738000000,None,5100000000,8515000000,USD,36575000000,10843000000,1389000000,118000000,32718000000,10986000000,7118000000,20971000000,21732000000,13853000000,11429000000,-23308000000
-14352000000,None,1897000000,1897000000,9000000,662000000,1807000000,None,55000000,4315000000,None,2014-12-31,7050000000,1435000000,1435000000,3706000000,None,6731000000,None,930000000,946000000,2070000000,None,5398000000,8489000000,USD,34317000000,6870000000,106000000,626000000,31269000000,11765000000,5998000000,18127000000,19504000000,12129000000,13109000000,-19307000000
