capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
1181000000,1098000000,-3206000000,None,None,41000000,None,None,None,1363000000,1982000000,1982000000,None,2024-12-31,4188000000,1819000000,None,None,None,None,None,None,None,None,None,-1801000000,None,None,USD
1615000000,-3147000000,-1207000000,None,None,567000000,None,None,None,1987000000,3311000000,3311000000,None,2023-12-31,-6995000000,6680000000,None,None,None,None,None,None,None,None,None,-33000000,None,None,USD
1749000000,-5350000000,-1046000000,-805000000,None,-629000000,None,None,-105000000,1831000000,3369000000,3369000000,None,2022-12-31,5791000000,5591000000,None,None,None,None,None,None,None,None,None,-1464000000,None,None,USD
1603000000,-6145000000,-1317000000,-8000000,None,-903000000,None,None,-122000000,1915000000,3420000000,3420000000,None,2021-12-31,5929000000,7454000000,None,None,None,None,None,None,None,None,None,-2199000000,None,None,USD
1501000000,-5300000000,-580000000,2281000000,48000000,-91000000,None,None,165000000,1911000000,3388000000,3388000000,None,2020-12-31,5388000000,8113000000,None,None,None,None,None,None,None,None,None,-368000000,None,None,USD
1699000000,-1124000000,-6444000000,-500000000,-2000000,370000000,None,None,345000000,1593000000,3316000000,3316000000,None,2019-12-31,4582000000,7070000000,None,None,None,None,None,None,None,None,None,-1407000000,None,None,USD
1577000000,-6701000000,222000000,-200000000,-160000000,-509000000,None,None,-305000000,1488000000,3193000000,3193000000,None,2018-12-31,5363000000,6439000000,None,None,None,None,None,None,None,None,None,-4870000000,None,None,USD
1373000000,-2655000000,-3086000000,655000000,156000000,-387000000,None,None,-245000000,1544000000,2803000000,2803000000,None,2017-12-31,4869000000,6240000000,None,None,None,None,None,None,None,None,None,-2068000000,None,None,USD
1420000000,-4626000000,-1403000000,600000000,-33000000,57000000,None,None,-313000000,1474000000,2678000000,2678000000,None,2016-12-31,5058000000,6662000000,None,None,None,None,None,None,None,None,None,-3753000000,None,None,USD
1461000000,-3648000000,-2817000000,-99000000,-54000000,3000000,None,None,-58000000,1435000000,2561000000,2561000000,None,2015-12-31,4841000000,6420000000,None,None,None,None,None,None,None,None,None,-5238000000,None,None,USD
1493000000,-6603000000,-596000000,-684000000,-111000000,-113000000,None,None,-268000000,1408000000,2216000000,2216000000,None,2014-12-31,4998000000,6626000000,None,None,None,None,None,None,None,None,None,-5652000000,None,None,USD
1665000000,-5246000000,-856000000,-302000000,-17000000,-86000000,None,None,-337000000,1371000000,1730000000,1730000000,None,2013-12-31,4721000000,5817000000,None,None,None,None,None,None,None,None,None,-5212000000,None,None,USD
1484000000,-2058000000,-2686000000,664000000,108000000,-251000000,None,None,-133000000,1288000000,1635000000,1635000000,None,2012-12-31,4511000000,5300000000,None,None,None,None,None,None,None,None,None,-2204000000,None,None,USD
1379000000,-3675000000,-2718000000,-1158000000,-49000000,-196000000,None,None,-205000000,1156000000,1555000000,1555000000,None,2011-12-31,4357000000,5284000000,None,None,None,None,None,None,None,None,None,-2701000000,None,None,USD
1091000000,-2121000000,-2689000000,337000000,-27000000,-404000000,None,None,-189000000,771000000,1500000000,1500000000,None,2010-12-31,4163000000,5174000000,None,None,None,None,None,None,None,None,None,-854000000,None,None,USD
903000000,-2014000000,-1732000000,1191000000,-4000000,453000000,None,None,55000000,1157000000,1431000000,1431000000,None,2009-12-31,3193000000,4941000000,None,None,None,None,None,None,None,None,None,-17000000,None,None,USD
1471000000,-1766000000,-2399000000,None,None,-127000000,None,None,None,786000000,1398000000,1398000000,None,2008-12-31,3460000000,4533000000,None,None,None,None,None,None,None,None,None,-1631000000,None,None,USD
1422000000,-2547000000,-1367000000,None,None,-54000000,None,None,None,None,1380000000,1380000000,None,2007-12-31,4096000000,4275000000,None,None,None,None,None,None,None,None,None,-3239000000,None,None,USD
1168000000,-2061000000,-1460000000,None,None,-309000000,None,None,None,None,1376000000,1376000000,None,2006-12-31,3851000000,3839000000,None,None,None,None,None,None,None,None,None,-2351000000,None,None,USD
943000000,-3679000000,-2241000000,None,None,-294000000,None,None,None,None,1286000000,1286000000,None,2005-12-31,3199000000,4258000000,None,None,None,None,None,None,None,None,None,-2377000000,None,None,USD
