comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,14495000000,14495000000,None,1224000000,6001000000,7225000000,2024-12-31,10080000000,4828000000,804000000,None,1182000000,452000000,None,4173000000,4024000000,-739000000,None,5149000000,4931000000,None,USD,1070000000,4221000000,24575000000
None,18477000000,18477000000,None,1987000000,-9128000000,-9128000000,2023-12-31,14204000000,-9688000000,-2691000000,None,942000000,253000000,None,-6995000000,-6979000000,-689000000,None,23368000000,-9128000000,None,USD,1842000000,21397000000,32681000000
None,19263000000,19263000000,None,1831000000,6890000000,8721000000,2022-12-31,14966000000,6403000000,612000000,None,498000000,395000000,None,5777000000,5791000000,-395000000,None,10893000000,4073000000,-136000000,USD,1856000000,8801000000,34229000000
None,18743000000,18743000000,None,1915000000,7661000000,9576000000,2021-12-31,16612000000,7214000000,1285000000,None,457000000,26000000,None,5921000000,5929000000,-462000000,None,9086000000,7526000000,-155000000,USD,1977000000,7197000000,35355000000
None,16581000000,16581000000,None,1911000000,7348000000,9259000000,2020-12-31,15603000000,6790000000,1337000000,None,553000000,29000000,None,5449000000,5393000000,-500000000,None,8646000000,6957000000,-455000000,USD,1862000000,6929000000,32184000000
None,16830000000,16830000000,None,1593000000,6143000000,7736000000,2019-12-31,15306000000,5712000000,1130000000,None,431000000,80000000,None,4570000000,4582000000,-368000000,None,8332000000,6974000000,-462000000,USD,1874000000,7029000000,32136000000
None,16575000000,16575000000,None,1488000000,7240000000,8728000000,2018-12-31,16190000000,7000000000,1637000000,None,240000000,70000000,None,5349000000,5363000000,-280000000,None,8416000000,7774000000,-207000000,USD,1816000000,7602000000,32765000000
None,15995000000,15995000000,None,1544000000,7632000000,9176000000,2017-12-31,15662000000,7548000000,2679000000,None,84000000,50000000,None,4858000000,4869000000,-272000000,None,8436000000,7226000000,-272000000,USD,1862000000,6572000000,31657000000
None,15133000000,15133000000,None,1474000000,7260000000,8734000000,2016-12-31,14976000000,7053000000,1995000000,None,207000000,29000000,None,5050000000,5058000000,-170000000,None,7957000000,7019000000,29000000,USD,1735000000,6111000000,30109000000
None,15532000000,15532000000,None,1435000000,7052000000,8487000000,2015-12-31,14742000000,6823000000,1982000000,None,229000000,123000000,None,4833000000,4841000000,None,None,7871000000,6871000000,26000000,USD,1751000000,6182000000,30274000000
None,16463000000,16463000000,None,1408000000,7127000000,8535000000,2014-12-31,15358000000,7026000000,2028000000,None,101000000,None,None,4956000000,4998000000,None,None,8238000000,7120000000,33000000,USD,1770000000,6469000000,31821000000
None,16112000000,16112000000,None,1371000000,6562000000,7933000000,2013-12-31,14759000000,6562000000,1841000000,None,145000000,None,None,4659000000,4721000000,None,None,8099000000,6660000000,41000000,USD,1715000000,6384000000,30871000000
None,15692000000,15692000000,None,1288000000,6572000000,7860000000,2012-12-31,14212000000,6351000000,1840000000,None,221000000,None,None,4444000000,4511000000,None,None,7736000000,6476000000,39000000,USD,1634000000,6102000000,29904000000
None,15613000000,15613000000,None,1236000000,6185000000,7421000000,2011-12-31,13998000000,6031000000,1674000000,None,154000000,None,None,4283000000,4357000000,None,None,7740000000,6258000000,39000000,USD,1570000000,6170000000,29611000000
None,13760000000,13760000000,None,1120000000,5970000000,7090000000,2010-12-31,12902000000,5755000000,1592000000,None,215000000,None,None,4085000000,4163000000,None,None,6913000000,5989000000,38000000,USD,1434000000,5479000000,26662000000
None,12036000000,12036000000,None,1157000000,4789000000,5946000000,2009-12-31,11087000000,4632000000,1388000000,None,157000000,None,None,3193000000,3244000000,None,None,6101000000,4986000000,37000000,USD,1285000000,4907000000,23123000000
None,13235000000,13235000000,None,1153000000,5323000000,6476000000,2008-12-31,12034000000,5108000000,1588000000,None,215000000,None,None,3460000000,None,None,None,6525000000,5509000000,None,USD,1391000000,5245000000,25269000000
None,12664000000,12664000000,None,1072000000,6325000000,7397000000,2007-12-31,11798000000,6115000000,1964000000,None,210000000,None,None,4096000000,None,None,None,6413000000,5385000000,None,USD,1372000000,5015000000,24462000000
None,11586000000,11586000000,None,1079000000,5747000000,6826000000,2006-12-31,11337000000,5625000000,1723000000,None,122000000,None,None,3851000000,None,None,None,6180000000,5157000000,None,USD,1352000000,5066000000,22923000000
None,10408000000,10408000000,None,986000000,4910000000,5896000000,2005-12-31,10759000000,4828000000,1627000000,None,82000000,None,None,3146000000,None,None,None,5875000000,4884000000,None,USD,1274000000,4535000000,21167000000
