accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,13242000000,13242000000,1788000000,2541000000,4079000000,None,2649000000,10278000000,None,2024-12-31,21668000000,16370000000,16370000000,6109000000,None,34462000000,None,463000000,8706000000,17496000000,None,6465000000,25149000000,USD,63069000000,38270000000,2931000000,447000000,117106000000,38782000000,28420000000,70734000000,78324000000,42314000000,46313000000,None
None,None,6841000000,6841000000,1788000000,2547000000,3922000000,None,1372000000,10349000000,None,2023-12-31,21197000000,18011000000,18011000000,6358000000,None,33683000000,None,252000000,8368000000,17466000000,None,8792000000,24488000000,USD,53895000000,36268000000,1657000000,252000000,106675000000,32168000000,25694000000,69040000000,74507000000,43346000000,37581000000,-57450000000
-17985000000,None,12694000000,12694000000,1788000000,2542000000,4264000000,None,1946000000,9450000000,None,2022-12-31,21204000000,20269000000,20269000000,5911000000,None,28745000000,None,1015000000,7169000000,15762000000,None,8323000000,21422000000,USD,61081000000,31985000000,2227000000,498000000,109160000000,35722000000,24239000000,63102000000,73438000000,38863000000,45991000000,-56489000000
-18192000000,None,8096000000,8096000000,1788000000,2538000000,4609000000,None,2412000000,9230000000,None,2021-12-31,21264000000,22933000000,22933000000,5953000000,None,30690000000,None,370000000,6987000000,15323000000,None,9434000000,19279000000,USD,53696000000,34631000000,2716000000,0,105694000000,30266000000,23872000000,67437000000,75428000000,43565000000,38184000000,-57109000000
-18982000000,None,8050000000,8050000000,1788000000,2541000000,4327000000,None,6431000000,6803000000,None,2020-12-31,18882000000,14101000000,14101000000,5554000000,None,25360000000,None,785000000,7357000000,14703000000,None,12482000000,17986000000,USD,47362000000,33417000000,6722000000,1000000,91588000000,27764000000,27327000000,66184000000,63824000000,38857000000,25317000000,-56787000000
-17686000000,None,9676000000,9676000000,1788000000,2580000000,3738000000,None,3610000000,6778000000,None,2019-12-31,19425000000,14196000000,14196000000,5978000000,None,22736000000,None,1469000000,4277000000,14136000000,None,11970000000,15053000000,USD,46602000000,27351000000,3610000000,774000000,84397000000,27483000000,22220000000,58396000000,56914000000,36176000000,25907000000,-55950000000
-16324000000,None,7965000000,7965000000,1788000000,2679000000,3318000000,None,5308000000,7071000000,None,2018-12-31,18253000000,13104000000,13104000000,5440000000,None,19806000000,None,6233000000,4500000000,11609000000,None,12041000000,13291000000,USD,42579000000,25114000000,5308000000,899000000,82637000000,25875000000,22206000000,55755000000,56762000000,33549000000,26701000000,-50929000000
-16602000000,None,6092000000,6092000000,1788000000,2748000000,3102000000,None,3057000000,6873000000,None,2017-12-31,18284000000,14183000000,14183000000,5096000000,None,21353000000,None,12125000000,4299000000,11747000000,None,11117000000,12439000000,USD,41350000000,24410000000,3057000000,2406000000,87872000000,24766000000,18614000000,53303000000,63106000000,34689000000,34336000000,-43794000000
-15749000000,None,6515000000,6515000000,1788000000,2787000000,2807000000,None,568000000,7018000000,None,2016-12-31,18162000000,17305000000,17305000000,4866000000,None,24274000000,None,11416000000,4389000000,11590000000,None,8514000000,12026000000,USD,44133000000,24842000000,568000000,7826000000,95377000000,30614000000,17204000000,55069000000,64763000000,37865000000,40088000000,-40546000000
-15923000000,None,8524000000,8524000000,1788000000,2841000000,2533000000,None,2301000000,6484000000,None,2015-12-31,17723000000,22602000000,22602000000,4700000000,None,23929000000,None,13039000000,5140000000,12525000000,None,7345000000,12507000000,USD,45348000000,26412000000,2583000000,4903000000,101677000000,29751000000,19201000000,56910000000,71926000000,37709000000,44676000000,-38534000000
