capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
3372000000,-7032000000,-7734000000,None,None,-835000000,None,None,None,4499000000,7840000000,7840000000,None,2024-12-31,17133000000,21468000000,None,None,None,None,None,None,None,None,None,-1306000000,None,None,USD
3863000000,-4810000000,-14083000000,None,None,-816000000,None,None,None,3872000000,7445000000,7445000000,None,2023-12-31,365000000,13006000000,None,None,None,None,None,None,None,None,None,-1346000000,None,None,USD
4388000000,-9119000000,-4960000000,5016000000,None,-161000000,None,None,-644000000,3909000000,7012000000,7012000000,None,2022-12-31,14526000000,19095000000,None,None,None,None,None,None,None,None,None,384000000,None,None,USD
4448000000,2593000000,-16555000000,-202000000,None,-674000000,None,None,-2033000000,3214000000,6610000000,6610000000,None,2021-12-31,12358000000,14109000000,None,None,None,None,None,None,None,None,None,-840000000,None,None,USD
4684000000,-2832000000,-9443000000,-2022000000,None,-855000000,None,None,-1002000000,3625000000,6215000000,6215000000,None,2020-12-31,7082000000,10253000000,None,None,None,None,None,None,None,None,None,-1281000000,None,None,USD
3473000000,-8861000000,-2629000000,1950000000,None,-508000000,None,None,294000000,3652000000,5695000000,5695000000,None,2019-12-31,9777000000,13440000000,None,None,None,None,None,None,None,None,None,-4780000000,None,None,USD
2615000000,-13160000000,4314000000,2076000000,None,-911000000,None,None,-418000000,4519000000,5172000000,5172000000,None,2018-12-31,6193000000,10922000000,None,None,None,None,None,None,None,None,None,-9091000000,None,None,USD
1888000000,-10006000000,2679000000,-423000000,457000000,-145000000,None,None,297000000,4637000000,5167000000,5167000000,None,2017-12-31,2418000000,6447000000,None,None,None,None,None,None,None,None,None,-4014000000,None,None,USD
1614000000,-9044000000,-3210000000,-2009000000,-131000000,206000000,None,None,-619000000,5441000000,5124000000,5124000000,None,2016-12-31,3941000000,10376000000,None,None,None,None,None,None,None,None,None,-3434000000,None,None,USD
1283000000,-5387000000,-4758000000,1083000000,-1310000000,805000000,None,None,-480000000,6375000000,5117000000,5117000000,None,2015-12-31,4459000000,12421000000,None,None,None,None,None,None,None,None,None,-4186000000,None,None,USD
2317000000,-15113000000,-374000000,-8180000000,-553000000,79000000,None,None,-554000000,6691000000,5247000000,5247000000,None,2014-12-31,11934000000,7860000000,None,None,None,None,None,None,None,None,None,-7703000000,None,None,USD
1548000000,-5990000000,-3148000000,2170000000,-346000000,-365000000,None,None,436000000,6988000000,5277000000,5277000000,None,2013-12-31,4517000000,11654000000,None,None,None,None,None,None,None,None,None,-6516000000,None,None,USD
1954000000,-3267000000,-6805000000,-80000000,-30000000,-482000000,None,None,349000000,6978000000,5236000000,5236000000,None,2012-12-31,6299000000,10022000000,None,None,None,None,None,None,None,None,None,-2591000000,None,None,USD
1723000000,-6904000000,-2890000000,2631000000,42000000,-678000000,None,None,1168000000,7427000000,4811000000,4811000000,None,2011-12-31,6392000000,12383000000,None,None,None,None,None,None,None,None,None,-1921000000,None,None,USD
1678000000,-5441000000,-3497000000,1589000000,-295000000,1990000000,None,None,-1089000000,7381000000,4853000000,4853000000,None,2010-12-31,982000000,10822000000,None,None,None,None,None,None,None,None,None,-1593000000,None,None,USD
1460600000,-1638300000,3156000000,4943100000,33400000,1211300000,None,None,165200000,2576000000,3479100000,3479100000,None,2009-12-31,13024200000,3392000000,None,None,None,None,None,None,None,None,None,186400000,None,None,USD
1298300000,-5522500000,-1834400000,None,None,-452100000,None,None,None,1631200000,3278500000,3278500000,None,2008-12-31,7808400000,6571700000,None,None,None,None,None,None,None,None,None,-2725000000,None,None,USD
1011000000,-4866100000,-2810000000,None,None,-40700000,None,None,None,1988200000,3307300000,3307300000,None,2007-12-31,3275400000,6999200000,None,None,None,None,None,None,None,None,None,-1429700000,None,None,USD
980200000,-5604200000,-4883700000,None,None,226500000,None,None,None,2268400000,3322600000,3322600000,None,2006-12-31,4433800000,6765200000,None,None,None,None,None,None,None,None,None,-1002300000,None,None,USD
1402700000,-3040400000,2267200000,None,None,125600000,None,None,None,1708100000,3349800000,3349800000,None,2005-12-31,4631300000,7608500000,None,None,None,None,None,None,None,None,None,-1015300000,None,None,USD
