comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,15193000000,15193000000,None,4499000000,21207000000,25706000000,2024-12-31,48975000000,19936000000,2803000000,None,1271000000,415000000,None,17117000000,17133000000,-856000000,None,28754000000,20221000000,None,USD,17938000000,7700000000,64168000000
None,16126000000,16126000000,None,3872000000,3035000000,6907000000,2023-12-31,43989000000,1889000000,1512000000,None,1146000000,390000000,None,365000000,4621000000,-681000000,None,41035000000,2954000000,None,USD,30531000000,7584000000,60115000000
None,17411000000,17411000000,None,3909000000,17406000000,21315000000,2022-12-31,41872000000,16444000000,1918000000,None,962000000,1348000000,None,14519000000,14526000000,-805000000,None,23590000000,18282000000,-1501000000,USD,13548000000,7469000000,59283000000
None,13626000000,13626000000,None,3214000000,14685000000,17899000000,2021-12-31,35078000000,13879000000,1521000000,None,806000000,1884000000,None,13049000000,12358000000,-770000000,None,21879000000,13199000000,1341000000,USD,12245000000,7403000000,48704000000
None,13618000000,13618000000,None,3486000000,6694000000,10180000000,2020-12-31,27900000000,5863000000,1340000000,None,831000000,59000000,None,7067000000,7082000000,-772000000,None,22352000000,5548000000,886000000,USD,13397000000,6769000000,41518000000
None,12016000000,12016000000,None,3310000000,8064000000,11374000000,2019-12-31,27105000000,7171000000,1565000000,None,893000000,274000000,None,9843000000,9777000000,-619000000,None,19179000000,7926000000,-139000000,USD,9724000000,8715000000,39121000000
None,13509000000,13509000000,None,4519000000,9473000000,13992000000,2018-12-31,28785000000,8701000000,2508000000,None,772000000,343000000,None,6220000000,6193000000,-429000000,None,19854000000,8931000000,402000000,USD,9752000000,8002000000,42294000000
None,12912000000,12912000000,None,4676000000,7275000000,11951000000,2017-12-31,27210000000,6521000000,4103000000,None,754000000,385000000,None,2394000000,2418000000,-369000000,None,20413000000,6797000000,-12000000,USD,10339000000,244000000,40122000000
None,14030000000,14030000000,None,5471000000,5352000000,10823000000,2016-12-31,25777000000,4659000000,718000000,None,693000000,328000000,None,3920000000,3941000000,-365000000,None,20278000000,5499000000,-720000000,USD,10261000000,255000000,39807000000
None,14934000000,14934000000,None,6375000000,6073000000,12448000000,2015-12-31,24564000000,5401000000,942000000,None,672000000,983000000,None,4442000000,4459000000,None,None,17017000000,7547000000,-1527000000,USD,6704000000,10313000000,39498000000
None,16768000000,16768000000,None,6691000000,18015000000,24706000000,2014-12-31,25469000000,17283000000,5349000000,None,732000000,None,None,11920000000,11934000000,None,None,18786000000,6683000000,11613000000,USD,7180000000,11606000000,42237000000
None,16954000000,16954000000,None,6988000000,6346000000,13334000000,2013-12-31,27079000000,5545000000,1028000000,None,801000000,None,None,4404000000,4517000000,None,None,19414000000,7665000000,-411000000,USD,7503000000,11911000000,44033000000
None,16446000000,16446000000,None,6978000000,9453000000,16431000000,2012-12-31,30821000000,8739000000,2440000000,None,714000000,None,None,6168000000,6299000000,None,None,20944000000,9877000000,-474000000,USD,8168000000,12776000000,47267000000
None,16871000000,16871000000,None,7427000000,8029000000,15456000000,2011-12-31,31176000000,7334000000,942000000,None,749000000,None,None,6272000000,6392000000,None,None,22200000000,8976000000,-336000000,USD,8467000000,13733000000,48047000000
None,18396000000,18396000000,None,7381000000,2368000000,9749000000,2010-12-31,27591000000,1653000000,671000000,None,715000000,None,None,861000000,982000000,None,None,24236000000,3355000000,-717000000,USD,11111000000,13245000000,45987000000
None,9019000000,9019000000,None,2576000000,15750000000,18326000000,2009-12-31,18409000000,15290000000,2268000000,None,458000000,None,None,12899000000,13024200000,None,None,14388000000,4021000000,12904500000,USD,5845000000,8543200000,27428000000
None,5583000000,5583000000,None,1631000000,10182000000,11813000000,2008-12-31,18267000000,9931000000,1999000000,None,251000000,None,None,7808000000,None,None,None,12182000000,6085000000,None,USD,4805000000,7377000000,23850000000
None,6140700000,6140700000,None,1988200000,5617500000,7605700000,2007-12-31,18057000000,3370700000,95300000,None,0,None,None,3275400000,None,None,None,12439500000,5617500000,None,USD,4882800000,7556700000,24197700000
None,6001100000,6001100000,None,2268400000,3686600000,5955000000,2006-12-31,16634900000,6221400000,1787600000,None,0,None,None,4433800000,None,None,None,12948300000,3686600000,None,USD,4782900000,8165400000,22636000000
None,5149600000,5149600000,None,1708100000,5858800000,7566900000,2005-12-31,16862300000,7363900000,2732600000,None,0,None,None,4631300000,None,None,None,11003500000,5858800000,None,USD,3848000000,7155500000,22011900000
