accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,109095437000000,109095437000000,2141513000000,11642149000,None,None,8547968000000,None,None,2025-03-31,530386000000,1345163000000,1345163000000,None,None,37494145000000,None,118888694000000,None,265249362000000,None,None,None,JPY,14845617000000,89401189000000,51907044000000,44999814000000,413113501000000,154095251000000,317156406000000,391385370000000,259018250000000,74228964000000,20520385000000,None
None,None,109875097000000,109875097000000,2141513000000,11960859000,None,None,8231362000000,None,None,2024-03-31,405629000000,1265742000000,1265742000000,None,None,43471028000000,None,115552113000000,176085786000000,66637959000000,None,None,None,JPY,13791608000000,25746429000000,8231362000000,-94773248000000,403703147000000,285960883000000,74869321000000,382956171000000,395347588000000,92818401000000,19587973000000,None
None,None,113630172000000,113630172000000,2141513000000,12305714000,237197726000000,None,5669957000000,2549466000000,None,2023-03-31,252009000000,1106114000000,1106114000000,None,None,41612559000000,None,112085269000000,170430180000000,-39982955000000,None,None,1087690000000,JPY,12739228000000,62409131000000,45652912000000,None,386799477000000,113630172000000,5669957000000,368526621000000,114663561000000,90283129000000,17231291000000,None
None,None,110763205000000,110763205000000,2141513000000,12785341000,226366130000000,None,4538322000000,1831754000000,None,2022-03-31,271353000000,1072871000000,1072871000000,None,None,59148605000000,None,106032715000000,154355756000000,-27619262000000,None,None,1236012000000,JPY,11998157000000,19112472000000,32157584000000,9184624000000,373731910000000,265118961000000,4538322000000,355743666000000,108612949000000,91694822000000,17023773000000,None
None,496252000000,102980711000000,102980711000000,2141513000000,12843564000,2594663000000,None,7295569000000,1822536000000,None,2021-03-31,273092000000,1163003000000,1163003000000,-157871674000000,None,35145278000000,None,104249214000000,157871674000000,4141158000000,None,None,1296402000000,JPY,11200087000000,18092664000000,4141158000000,47117813000000,359473515000000,151921060000000,6735821000000,341757260000000,97691494000000,337580071000000,16802571000000,None
None,507999000000,78335634000000,78335634000000,2141513000000,12897483000,2517009000000,None,16031473000000,2712649000000,None,2020-03-31,283672000000,1214734000000,1214734000000,-143342663000000,None,27925586000000,None,93676454000000,143342663000000,5833429000000,None,None,1322964000000,JPY,10855798000000,20260196000000,5833429000000,22397110000000,336571379000000,103445393000000,8350438000000,319715641000000,96948187000000,25087207000000,15990894000000,-505518000000
0,22536000000,74206895000000,74206895000000,2141513000000,13101471000,2813140000000,None,6662581000000,2895517000000,None,2019-03-31,237310000000,899219000000,899219000000,0,None,28036499000000,None,88002011000000,130136218000000,4781431000000,None,0,973600000000,JPY,10640655000000,34023280000000,4781431000000,21052930000000,311138903000000,228291560000000,7594571000000,293877227000000,82847343000000,24199616000000,16179492000000,-516649000000
0,18714000000,75858049000000,75858049000000,2090270000000,13335070575,165921000000,None,6881124000000,324624000000,None,2018-03-31,441334000000,1011119000000,1011119000000,2208079000000,None,27050842000000,None,81060134000000,113599452000000,-2085545000000,None,0,1013588000000,JPY,4945733000000,36439421000000,9333667000000,39504698000000,300570312000000,230350542000000,7414043000000,284924497000000,76586873000000,22921053000000,14970182000000,-522158000000
0,16673000000,63525940000000,63525940000000,2141513000000,13568248000,2116487000000,None,7969521000000,1872265000000,None,2017-03-31,267389000000,990486000000,990486000000,0,None,26114854000000,None,86753336000000,108915688000000,4280791000000,None,0,994271000000,JPY,9278546000000,31993562000000,4280791000000,39090099000000,303297433000000,213403992000000,6397278000000,286639039000000,89893441000000,38476208000000,15280675000000,-513260000000
0,0,49158293000000,49158293000000,2141513000000,13956315095,2469580000000,None,0,1780364000000,None,2016-03-31,278628000000,976098000000,976098000000,0,None,21672819000000,None,0,106540229000000,3652520000000,None,0,1362044000000,JPY,8587578000000,25325339000000,3652520000000,41226231000000,298302898000000,198705117000000,6122100000000,280916131000000,99597781000000,24233119000000,15466229000000,-298922000000
0,0,40717934000000,40717934000000,2090270000000,14137645000,3053439000000,None,10022058.52,1827855000000,None,2015-03-31,807610000000,1160164000000,1160164000000,0,None,1275072560.04,None,451629874724.27,86738696000000,-8833177000000,None,0,68154750.91,JPY,3424864000000,29197720000000,5779738000000,47490404000000,280886326000000,176774889000000,13309638000000,265604985000000,104111437000000,19853943000000,14679065000000,-7113888.54
None,None,24189904000000,24189904000000,1647145000000,14180080000,2226398000000,None,68348939000000,3485730000000,None,2014-03-31,728515000000,1133354000000,1133354000000,None,None,124414915000,None,56950419000000,73404580000000,-2226398000000,None,None,12008623000,JPY,2157639000000,22773443000000,8515148000000,51885652000000,253661077000000,152965866000000,10741546000000,240909633000000,100695211000000,14512009000000,12205040000000,-24374000
