capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
456701000000,-861116000000,-186948000000,None,None,None,None,None,None,415029000000,532976000000,532976000000,None,2025-03-31,2550634000000,6415000000,None,None,None,None,None,None,None,None,None,-418546000000,None,None,JPY
462807000000,-2768754000000,-1252841000000,None,None,None,None,None,None,362367000000,439755000000,439755000000,None,2024-03-31,1328121000000,-1791585000000,None,None,None,None,None,None,None,None,None,-400090000000,None,None,JPY
401625000000,-977138000000,-12213619000000,None,None,None,None,None,None,334636000000,380447000000,380447000000,None,2023-03-31,1569923000000,13431773000000,None,None,None,None,None,None,None,None,None,-450153000000,None,None,JPY
384003000000,-875972000000,-2202726000000,None,None,None,None,None,None,363250000000,334619000000,334619000000,None,2022-03-31,1489857000000,9635443000000,None,None,None,None,None,None,None,None,None,-158515000000,None,None,JPY
396790000000,-436071000000,-10140343000000,None,None,None,None,None,None,355450000000,321772000000,321772000000,None,2021-03-31,1042036000000,34904946000000,None,None,None,None,None,None,None,None,None,-13000000,None,None,JPY
446029000000,-251664000000,-18085443000000,None,None,None,None,None,None,703291000000,304535000000,304535000000,None,2020-03-31,829443000000,8060840000000,None,None,None,None,None,None,None,None,None,-380022000000,None,None,JPY
428593000000,-484359000000,-5627546000000,0,0,2963575000000,None,None,0,340201000000,276279000000,276279000000,None,2019-03-31,1145327000000,5609305000000,None,None,None,None,None,None,None,None,None,-159962000000,None,None,JPY
407192000000,9362206000000,3244016000000,0,0,321982000000,None,None,0,338810000000,241067000000,241067000000,None,2018-03-31,1409377000000,-563836000000,None,None,None,None,None,None,None,None,None,-201102000000,None,None,JPY
371477000000,-670592000000,8907549000000,0,0,-4402992000000,None,None,0,333148000000,246563000000,246563000000,None,2017-03-31,1303228000000,7013064000000,None,None,None,None,None,None,None,None,None,-217803000000,None,None,JPY
348546000000,-105602000000,2240209000000,0,0,1296399000000,None,None,0,315458000000,251497000000,251497000000,None,2016-03-31,1498769000000,6754428000000,None,None,None,None,None,None,None,None,None,-200053000000,None,None,JPY
373636000000,8183248000000,-10975679000000,0,0,-86649000000,None,None,0,331012000000,263920000000,263920000000,None,2015-03-31,1596636000000,2384590000000,None,None,None,None,None,None,None,None,None,-490076000000,None,None,JPY
370434000000,11475095000000,-12401827000000,None,None,163482000000,None,None,None,301861000000,216054000000,216054000000,None,2014-03-31,1082526000000,909448000000,None,None,None,None,None,None,None,None,None,-74000000,None,None,JPY
300846000000,4291533000000,-1800255000000,None,None,-125322000000,None,None,None,301603000000,187720000000,187720000000,None,2013-03-31,1119851000000,-2164910000000,None,None,None,None,None,None,None,None,None,-19000000,None,None,JPY
286495000000,9787852000000,-10364250000000,None,None,126934000000,None,None,None,307006000000,187561000000,187561000000,None,2012-03-31,420751000000,592879000000,None,None,None,None,None,None,None,None,None,-18000000,None,None,JPY
250098000000,4455910000000,-8292883000000,None,None,6875000000,None,None,None,319641000000,190299000000,190299000000,None,2011-03-31,397338000000,4237838000000,None,None,None,None,None,None,None,None,None,-250086000000,None,None,JPY
285635000000,8295278000000,-10814432000000,None,None,5762000000,None,None,None,345268000000,149486000000,149486000000,None,2010-03-31,875076000000,2309985000000,None,None,None,None,None,None,None,None,None,-4621000000,None,None,JPY
346441000000,8487047000000,-8266031000000,None,None,103164000000,None,None,None,410362000000,153217000000,153217000000,None,2009-03-31,-1468040000000,-1140503000000,None,None,None,None,None,None,None,None,None,-2697000000,None,None,JPY
419045000000,8723384000000,-7833129000000,None,None,-17843000000,None,None,None,432457000000,141159000000,141159000000,None,2008-03-31,-542436000000,383207000000,None,None,None,None,None,None,None,None,None,-151365000000,None,None,JPY
303229000000,-2496081000000,-2492073000000,None,None,116933000000,None,None,None,383870000000,103047000000,103047000000,None,2007-03-31,581288000000,1563012000000,None,None,None,None,None,None,None,None,None,-292182000000,None,None,JPY
82390000000,-6600721000000,8255262000000,None,None,-163365000000,None,None,None,260825000000,64220000000,64220000000,None,2006-03-31,363511000000,354086000000,None,None,None,None,None,None,None,None,None,-897342000000,None,None,JPY
