comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,5402215000000,5402215000000,None,415029000000,2550634000000,2965663000000,2025-03-31,7027485000000,2550634000000,609156000000,None,5591261000000,8467717000000,None,1862946000000,1941477000000,2876456000000,None,4476851000000,2550634000000,None,JPY,None,3166035000000,12429700000000
None,5509007000000,5509007000000,None,362367000000,2050104000000,2412471000000,2024-03-31,5381868000000,2050104000000,478342000000,None,5011100000000,7468676000000,None,1490781000000,1571761000000,2457576000000,None,3331764000000,2050104000000,None,JPY,None,2920875000000,10890875000000
None,3047573000000,3047573000000,None,334636000000,1569923000000,1904559000000,2023-03-31,5382390000000,1569923000000,369607000000,None,2372731000000,5298940000000,None,1116496000000,1200316000000,2926209000000,None,3812467000000,1569923000000,None,JPY,None,2969325000000,8429963000000
None,875387000000,875387000000,None,363250000000,1489857000000,1853107000000,2022-03-31,4371889000000,1489857000000,283410000000,None,543952000000,2587440000000,None,1130840000000,1206447000000,2043488000000,None,2882032000000,1489857000000,None,JPY,None,57369000000,5247276000000
None,1289245000000,1289245000000,None,355450000000,1042036000000,1397486000000,2021-03-31,4039324000000,1042036000000,185068000000,None,773715000000,2632609000000,None,777018000000,1163394000000,1884707000000,None,2997288000000,1042036000000,None,JPY,None,59798000000,5328569000000
None,2171429000000,2171429000000,None,703291000000,829443000000,1532734000000,2020-03-31,4476552000000,829443000000,220899000000,None,1948479000000,3927143000000,None,528151000000,318715000000,2242799000000,None,3647109000000,829443000000,None,JPY,None,59976000000,6647981000000
None,1815402000000,1815402000000,None,340201000000,1145327000000,1485528000000,2019-03-31,4293871000000,1145327000000,195568000000,None,1517981000000,3813379000000,None,872689000000,737605000000,2295398000000,None,3148544000000,1145327000000,0,JPY,0,59166000000,6109273000000
None,1234329000000,1234329000000,None,338810000000,1409377000000,1748187000000,2018-03-31,4227944000000,1409377000000,313436000000,None,1028755000000,3259016000000,None,989664000000,1253996000000,2230261000000,None,2818567000000,1409377000000,0,JPY,0,58067000000,5462273000000
None,1019048000000,1019048000000,None,333148000000,1303228000000,1636376000000,2017-03-31,4445363000000,1303228000000,342177000000,None,769639000000,2990767000000,None,926440000000,178090000000,2221128000000,None,3142135000000,1303228000000,0,JPY,0,2576839000000,5464411000000
None,910876000000,910876000000,None,315458000000,1498769000000,1814227000000,2016-03-31,3320631000000,1498769000000,460203000000,None,655731000000,2769251000000,None,951402000000,0,2113516000000,None,1821862000000,1498769000000,0,JPY,0,2568348000000,4231507000000
None,786362000000,786362000000,None,317950000000,1614757000000,1932707000000,2015-03-31,4427568000000,1614757000000,467786000000,None,624738000000,2806240000000,None,1033759000000,13290348358.10,2181497000000,None,2812811000000,1614757000000,0,JPY,0,1212903000000,5213930000000
None,454601000000,454601000000,None,301861000000,1420443000000,1722304000000,2014-03-31,3556205000000,1420443000000,337917000000,None,560972000000,None,None,1015393000000,1082526000000,None,None,2135762000000,1420443000000,None,JPY,None,1130715000000,4010806000000
None,700960000000,700960000000,None,301603000000,1415871000000,1717474000000,2013-03-31,3524478000000,1415871000000,296020000000,None,556418000000,None,None,1069124000000,None,None,None,2108607000000,1415871000000,None,JPY,None,1031110000000,4225438000000
None,863948000000,863948000000,None,307006000000,849942000000,1156948000000,2012-03-31,3467277000000,849942000000,429191000000,None,640139000000,None,None,416231000000,None,None,None,2617335000000,849942000000,None,JPY,None,1015520000000,4331225000000
None,1048417000000,1048417000000,None,319641000000,821812000000,1141453000000,2011-03-31,3097106000000,821812000000,433625000000,None,670673000000,None,None,452645000000,None,None,None,2275294000000,821812000000,None,JPY,None,977888000000,4145523000000
None,1467001000000,1467001000000,None,345268000000,1297024000000,1642292000000,2010-03-31,3647654000000,1297024000000,413105000000,None,774400000000,None,None,868662000000,None,None,None,2350630000000,1297024000000,None,JPY,None,1020752000000,5114655000000
None,2274201000000,2274201000000,None,410362000000,-1764227000000,-1353865000000,2009-03-31,1646993000000,-1764227000000,-259928000000,None,1599389000000,None,None,-1468040000000,None,None,None,3411220000000,-1764227000000,None,JPY,None,987174000000,3921194000000
None,2475660000000,2475660000000,None,432457000000,51755000000,484212000000,2008-03-31,3485662000000,51755000000,553045000000,None,2087094000000,None,None,-542436000000,None,None,None,3433907000000,51755000000,None,JPY,None,1022215000000,5961322000000
None,2050811000000,2050811000000,None,383870000000,1134931000000,1518801000000,2007-03-31,3631754000000,1134931000000,552826000000,None,1585963000000,None,None,581288000000,None,None,None,2496823000000,1134931000000,None,JPY,None,975174000000,5682565000000
None,1005134000000,1005134000000,None,260825000000,529673000000,790498000000,2006-03-31,2352214000000,529673000000,165473000000,None,882069000000,None,None,363511000000,None,None,None,1822541000000,529673000000,None,JPY,None,836069000000,3357348000000
