accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,1487000000,1487000000,21000000,2059000000,6982000000,None,9948000000,4768000000,None,2024-12-31,4866000000,1715000000,1715000000,2214000000,None,72385000000,None,15918000000,3482000000,7731000000,None,3480000000,1198000000,USD,32946000000,82333000000,9948000000,None,190144000000,11951000000,25355000000,129283000000,178193000000,103928000000,50101000000,None
None,None,2690000000,2690000000,21000000,2030800000,8504000000,None,11806000000,6040000000,None,2023-12-31,5091000000,1692000000,1692000000,2106000000,None,61405000000,None,14854000000,4525000000,7015000000,None,2762000000,836000000,USD,30235000000,73211000000,11806000000,None,177489000000,15361000000,27963000000,118465000000,162128000000,90502000000,47468000000,None
None,None,1601000000,1601000000,20000000,1978600000,8312000000,None,9710000000,5411000000,None,2022-12-31,4854000000,759000000,759000000,1934000000,None,55256000000,None,14078000000,4544000000,8113000000,None,2696000000,111059000000,USD,26707000000,64966000000,9710000000,None,158935000000,13490000000,26695000000,109499000000,145445000000,82804000000,39229000000,None
None,None,639000000,639000000,20000000,1972200000,6935000000,None,3867000000,4108000000,None,2021-12-31,4844000000,742000000,742000000,1561000000,None,50960000000,None,15081000000,2980000000,6150000000,None,2468000000,99348000000,USD,25911000000,54827000000,3867000000,None,140912000000,9288000000,17437000000,95243000000,131624000000,77806000000,37202000000,None
None,None,1105000000,1105000000,20000000,1968800000,4615000000,None,6147000000,2974000000,None,2020-12-31,4254000000,693000000,693000000,1552000000,None,41944000000,None,15154000000,1751000000,4322000000,None,16034000000,91803000000,USD,25363000000,48091000000,6147000000,5728000000,127684000000,7382000000,15558000000,82755000000,120302000000,67197000000,36513000000,None
None,None,600000000,600000000,5000000,1942000000,3631000000,None,5040000000,2807000000,None,2019-12-31,4204000000,552000000,552000000,1328000000,None,37543000000,None,16031000000,2673000000,4683000000,None,15224000000,82010000000,USD,25199000000,42583000000,5040000000,None,117691000000,7408000000,13853000000,76331000000,110283000000,62478000000,37005000000,None
None,None,638000000,638000000,5000000,1912000000,2386000000,None,10930000000,2969000000,None,2018-12-31,891000000,708000000,708000000,1223000000,None,26782000000,None,13989000000,1563000000,3802000000,None,13593000000,70334000000,USD,23837000000,37712000000,10930000000,None,103702000000,6393000000,17563000000,66289000000,97309000000,48726000000,34144000000,None
None,None,1714000000,1714000000,5000000,1892000000,3235000000,None,3618000000,2737000000,None,2017-12-31,764000000,1287000000,1287000000,1273000000,None,31463000000,None,8962000000,1457000000,3945000000,None,19880000000,72416000000,USD,18992000000,35081000000,3615000000,0,97827000000,7157000000,11232000000,68329000000,90670000000,57097000000,28208000000,0
-20101000000,None,1292000000,1292000000,5000000,1864000000,3447000000,None,3022000000,2439000000,None,2016-12-31,779000000,1253000000,1253000000,1289000000,None,27818000000,None,7916000000,2389000000,3980000000,None,14824000000,66912000000,USD,15458000000,30840000000,3022000000,0,89993000000,7409000000,10919000000,64662000000,82584000000,53743000000,24341000000,0
-18944000000,None,571000000,571000000,5000000,1844000000,2529000000,None,2220000000,2265000000,None,2015-12-31,778000000,1207000000,1207000000,1259000000,None,26681000000,None,6924000000,2700000000,4099000000,None,12752000000,61386000000,USD,14140000000,29687000000,3006000000,0,82479000000,6795000000,10107000000,59367000000,75684000000,49260000000,22574000000,0
