capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
8514000000,7000000000,-22264000000,None,None,None,None,None,None,5761000000,4235000000,4235000000,None,2024-12-31,5698000000,13260000000,None,None,None,None,None,None,None,None,None,48000000,None,None,USD
9548000000,12149000000,-23467000000,None,None,None,None,None,None,6151000000,3782000000,3782000000,None,2023-12-31,6282000000,11301000000,None,None,None,None,None,None,None,None,None,18778000000,None,None,USD
9742000000,12229000000,-18359000000,2132000000,None,None,None,None,None,4790000000,3352000000,3352000000,None,2022-12-31,3246000000,8262000000,None,None,None,None,None,None,None,None,None,1460000000,None,None,USD
7830000000,5807000000,-13591000000,-231000000,None,None,None,None,None,4212000000,3024000000,3024000000,None,2021-12-31,2827000000,7553000000,None,None,None,None,None,None,None,None,None,16683000000,None,None,USD
7759000000,6174000000,-13699000000,458000000,None,None,None,None,None,4315000000,2743000000,2743000000,None,2020-12-31,2369000000,7983000000,None,None,None,None,None,None,None,None,None,-92000000,None,None,USD
11077000000,3873000000,-16177000000,-4149000000,None,None,None,None,None,4478000000,2408000000,2408000000,None,2019-12-31,3388000000,8155000000,None,None,None,None,None,None,None,None,None,14119000000,None,None,USD
6010000000,7634000000,-10950000000,3277000000,None,None,None,None,None,4140000000,2101000000,2101000000,None,2018-12-31,6638000000,6593000000,None,None,None,None,None,None,None,None,None,11126000000,None,None,USD
5445000000,2888000000,-8918000000,428000000,None,0,None,None,None,2629000000,1845000000,1845000000,None,2017-12-31,5380000000,6458000000,None,None,None,None,None,None,None,None,None,10771000000,None,None,USD
4240000000,2424000000,-8046000000,721000000,None,0,None,None,None,3377000000,1612000000,1612000000,None,2016-12-31,2906000000,6369000000,None,None,None,None,None,None,None,None,None,6157000000,None,None,USD
3872000000,1897000000,-8005000000,-6000000,None,17000000,None,None,90000000,3203000000,1385000000,1385000000,None,2015-12-31,2762000000,6116000000,None,None,None,None,None,None,None,None,None,6229000000,None,None,USD
3503000000,1000000000,-6361000000,139000000,None,-135000000,None,None,-7000000,2896000000,1261000000,1261000000,None,2014-12-31,2469000000,5500000000,None,None,None,None,None,None,None,None,None,5505000000,None,None,USD
3228000000,1130000000,-6123000000,109000000,None,-81000000,None,None,-268000000,2521000000,1122000000,1122000000,None,2013-12-31,1677000000,5098000000,None,None,None,None,None,None,None,None,None,3651000000,None,None,USD
4870000000,4888000000,-8928000000,None,None,1000000,None,None,None,1772000000,1004000000,1004000000,None,2012-12-31,1911000000,3992000000,None,None,None,None,None,None,None,None,None,-19000000,None,None,USD
4027000000,1280000000,-5279000000,None,None,-308000000,None,None,None,1844000000,920000000,920000000,None,2011-12-31,1923000000,4074000000,None,None,None,None,None,None,None,None,None,-375000000,None,None,USD
2947000000,1514000000,-5284000000,None,None,22000000,None,None,None,2092000000,823000000,823000000,None,2010-12-31,1957000000,3834000000,None,None,None,None,None,None,None,None,None,3724000000,None,None,USD
2938000000,1168000000,-5966000000,None,None,85000000,None,None,None,1947000000,766000000,766000000,None,2009-12-31,1615000000,4501000000,None,None,None,None,None,None,None,None,None,3374000000,None,None,USD
2274000000,2650000000,-5808000000,None,None,-106000000,None,None,None,796000000,714000000,714000000,None,2008-12-31,1639000000,3403000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
1857000000,655000000,-4578000000,None,None,-14000000,None,None,None,1261000000,654000000,654000000,None,2007-12-31,1312000000,3593000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
1826000000,1399000000,-3807000000,None,None,-203000000,None,None,None,1143000000,593000000,593000000,None,2006-12-31,1281000000,2498000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
1616000000,923000000,-2165000000,None,None,-173000000,None,None,None,1242000000,544000000,544000000,None,2005-12-31,901000000,1547000000,None,None,None,None,None,None,None,None,None,-5000000,None,None,USD
