comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,9886000000,9886000000,None,5761000000,8272000000,14033000000,2024-12-31,14867000000,6037000000,339000000,None,2235000000,2211000000,None,6946000000,5698000000,-2235000000,None,7388000000,7479000000,None,USD,None,None,24753000000
None,10138000000,10138000000,None,6151000000,10612000000,16763000000,2023-12-31,17976000000,7288000000,1006000000,None,3324000000,3688000000,None,7310000000,6634000000,-2029000000,None,7739000000,10237000000,None,USD,None,None,28114000000
None,10817000000,10817000000,None,4873000000,4081000000,8954000000,2022-12-31,10139000000,3832000000,586000000,None,585000000,763000000,None,4147000000,3246000000,-585000000,None,6580000000,4081000000,336000000,USD,None,5983000000,20956000000
None,8480000000,8480000000,None,4212000000,3889000000,8101000000,2021-12-31,8589000000,3175000000,348000000,None,1270000000,267000000,None,3573000000,2827000000,-1270000000,None,5725000000,3889000000,1532000000,USD,None,5677000000,17069000000
None,7290000000,7290000000,None,4315000000,4363000000,8678000000,2020-12-31,10707000000,2413000000,44000000,None,1950000000,38000000,None,2919000000,2369000000,-1912000000,None,5591000000,5116000000,-753000000,USD,None,5107000000,17997000000
None,8003000000,8003000000,None,4478000000,6085000000,10563000000,2019-12-31,11201000000,3836000000,448000000,None,2249000000,54000000,None,3769000000,3388000000,-2195000000,None,5848000000,5353000000,732000000,USD,None,4931000000,19204000000
None,7062000000,7062000000,None,4147000000,8850000000,12997000000,2018-12-31,9665000000,7352000000,1576000000,None,1498000000,51000000,None,6638000000,5776000000,-1447000000,None,5385000000,4280000000,4570000000,USD,0,4758000000,16727000000
None,7529000000,7529000000,None,2638000000,6221000000,8859000000,2017-12-31,9644000000,4663000000,-660000000,None,1558000000,81000000,None,5380000000,5320000000,-1477000000,None,4471000000,5173000000,899000000,USD,0,344000000,17173000000
None,7521000000,7521000000,None,3428000000,5476000000,8904000000,2016-12-31,8617000000,4378000000,1379000000,None,1098000000,82000000,None,2912000000,3005000000,-1011000000,None,4158000000,4459000000,873000000,USD,0,1350000000,16138000000
None,8596000000,8596000000,None,3203000000,5201000000,8404000000,2015-12-31,8890000000,3990000000,1228000000,None,1211000000,928000000,None,2752000000,2762000000,None,None,4258000000,4632000000,569000000,USD,0,1399000000,17486000000
None,8751000000,8751000000,None,2896000000,4906000000,7802000000,2014-12-31,8270000000,3645000000,1176000000,None,1261000000,None,None,2465000000,2469000000,None,None,3886000000,4384000000,522000000,USD,0,1324000000,17021000000
None,8152000000,8152000000,None,2521000000,3575000000,6096000000,2013-12-31,6984000000,2454000000,777000000,None,1121000000,None,None,1720000000,1720000000,None,None,3743000000,3241000000,401000000,USD,0,1280000000,15136000000
None,8276000000,8276000000,None,1777000000,3641000000,5418000000,2012-12-31,5980000000,2603000000,692000000,None,1038000000,None,None,1911000000,None,None,None,2704000000,3276000000,None,USD,0,0,14256000000
None,9258000000,9258000000,None,1849000000,3487000000,5336000000,2011-12-31,6083000000,2452000000,529000000,None,1035000000,None,None,1923000000,None,None,None,2822000000,3261000000,None,USD,0,0,15341000000
None,9119000000,9119000000,None,2073000000,3468000000,5541000000,2010-12-31,6198000000,2489000000,532000000,None,979000000,None,None,1957000000,None,None,None,2971000000,3227000000,None,USD,0,0,15317000000
None,7405000000,7405000000,None,2004000000,2791000000,4795000000,2009-12-31,8238000000,1942000000,327000000,None,849000000,None,None,1615000000,None,None,None,5644000000,2594000000,None,USD,0,0,15643000000
None,8412000000,8412000000,None,1643000000,2902000000,4545000000,2008-12-31,7998000000,2089000000,450000000,None,813000000,None,None,1639000000,None,None,None,5173000000,2825000000,None,USD,None,None,16410000000
None,8192000000,8192000000,None,1479000000,2283000000,3762000000,2007-12-31,7071000000,1680000000,368000000,None,762000000,None,None,1312000000,None,None,None,4788000000,2283000000,None,USD,None,None,15263000000
None,8943000000,8943000000,None,1421000000,2097000000,3518000000,2006-12-31,6767000000,1678000000,397000000,None,706000000,None,None,1281000000,None,None,None,4670000000,2097000000,None,USD,None,None,15710000000
None,6171000000,6171000000,None,1496000000,1490000000,2986000000,2005-12-31,5675000000,1183000000,282000000,None,593000000,None,None,901000000,None,None,None,4185000000,1490000000,None,USD,None,None,11846000000
