accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,7804733000,7804733000,6252126000,439261000,899909000,None,1784453000,1988304000,None,2024-12-31,None,32452462000,32452462000,None,None,13798351000,None,None,1528336000,6550225000,None,4333056000,3696066000,USD,31300917000,15582804000,1784453000,1779006000,53630374000,13100379000,10755400000,28886807000,40529995000,18131407000,24743567000,None
None,None,7116913000,7116913000,5145172000,449498000,747412000,None,399844000,1842054000,None,2023-12-31,None,31658056000,31658056000,408936000,None,14143417000,None,None,938193000,5887118000,None,5139607000,1491444000,USD,22589286000,16973374000,783156000,20973000,48731992000,9918133000,8860655000,28143679000,38813859000,19283024000,20588313000,None
None,None,5147176000,5147176000,4637601000,451290000,671513000,None,None,1586898000,None,2022-12-31,None,32736713000,32736713000,392735000,None,14353076000,None,None,3208021000,5994800000,None,5533317000,1398257000,USD,17181296000,14353076000,0,911276000,48594768000,9266473000,7930974000,27817367000,39328295000,19886393000,20777401000,None
None,None,6027804000,6027804000,4024561000,455372000,837483000,None,None,804320000,None,2021-12-31,None,30919539000,30919539000,323818000,None,14693072000,None,None,2042021000,5742318000,None,5553377000,1323453000,USD,12689372000,15392895000,699823000,None,44584663000,8069825000,8488966000,28735415000,36514838000,20246449000,15849248000,-824190000
None,None,8205550000,8205550000,3447698000,454208000,656183000,None,None,610819000,None,2020-12-31,None,25383950000,25383950000,203042000,None,15809095000,None,None,1556030000,5531732000,None,4600239000,960183000,USD,7573144000,16308973000,499878000,None,39280359000,9761580000,7805785000,28215119000,29518779000,20409334000,11065240000,None
None,None,5018437000,5018437000,2793929000,451765000,674347000,None,None,979068000,None,2019-12-31,None,24504567000,24504567000,180999000,None,14759260000,None,None,1160067000,4413561000,None,4778599000,565221000,USD,4811749000,15602303000,843043000,None,33975712000,6178504000,6855696000,26393555000,27797208000,19537859000,7582157000,None
None,None,3794483000,3794483000,2315988000,451244000,562985000,None,None,5513898000,None,2018-12-31,None,14960954000,14960954000,178833000,None,10360000000,None,1298000,5899652000,4686019000,None,3888257000,418281000,USD,2942359000,10837417000,477417000,None,25974400000,9694135000,6487320000,20735635000,16280265000,14248315000,5238765000,None
None,None,2822795000,2822795000,1871396000,446814000,359555000,None,6499432000,4310934000,None,2017-12-31,None,10371055000,10371055000,None,None,6499400000,None,1276000,4847179000,4173041000,None,3465042000,319404000,USD,1731117000,6814494000,315094000,0,19012742000,7669974000,5466312000,15430786000,11342768000,9964474000,3581956000,None
None,None,1467576000,1467576000,1599762000,438652000,312842000,None,3364311000,3726307000,None,2016-12-31,None,7274501000,7274501000,None,None,3364311000,None,1517000,3986509000,3632711000,None,2955842000,250395000,USD,1128603000,3561943000,197632000,266206000,13586610000,5720291000,4586657000,10906810000,7866319000,6320153000,2679800000,None
None,None,1809330000,1809330000,1324809000,436456000,253491000,None,2371362000,2905998000,None,2015-12-31,None,4312817000,4312817000,None,None,2371362000,None,None,3121125000,2789023000,None,2078459000,173412000,USD,941925000,2511751000,140389000,501385000,10202871000,5431840000,3529624000,7979445000,4771031000,4449821000,2223426000,None
None,None,1113608000,1113608000,60000,431893000,201581000,None,885849000,2125702000,None,2014-12-31,None,2773326000,2773326000,None,None,900000000,None,None,2331973000,2117241000,None,1635789000,149875000,USD,819284000,969746000,69746000,494888000,7056651000,3940469000,2663154000,5198943000,3116182000,2535789000,1857708000,None
None,None,604965000,604965000,60000,425327000,108435000,None,None,1706421000,None,2013-12-31,None,2091071000,2091071000,None,None,529500000,None,None,1858358000,1775983000,None,None,133605000,USD,552485000,500000000,54018000,595440000,5412563000,3058763000,2154203000,4079002000,2353800000,1924799000,1333561000,None
None,None,290291000,290291000,56000,412328000,86468000,None,None,1368162000,None,2012-12-31,None,1506008000,1506008000,None,None,412016000,None,None,1432784000,1366847000,None,None,131681000,USD,440082000,400000000,53139000,457787000,3967890000,2240791000,1675926000,3223217000,1727099000,1547291000,744673000,None
None,None,508053000,508053000,55000,380583000,1012566000,None,None,919709000,None,2011-12-31,None,1046934000,1046934000,None,None,200000000,None,None,973552000,52374000,None,1001331000,136353000,USD,428443000,400000000,2319000,289758000,3065709000,1827370000,1216055000,2417386000,1238339000,1201331000,648323000,None
None,None,194499000,194499000,53000,380128000,222824000,None,None,181006000,None,2010-12-31,None,180973000,180973000,None,None,234123000,None,None,109574000,36489000,None,69201000,128570000,USD,237739000,355888000,2083000,155888000,982067000,640967000,388579000,691903000,341100000,303324000,290164000,None
None,None,134224000,134224000,53000,408912000,91475000,None,None,37329000,None,2009-12-31,None,108810000,108810000,None,None,236572000,None,None,53442000,33387000,None,17650000,131653000,USD,198817000,386018000,1410000,186018000,679734000,411013000,226369000,480591000,268721000,254222000,199143000,None
None,None,139881000,139881000,62000,439852000,100344000,None,None,18691000,None,2008-12-31,None,1844000,1844000,None,None,37988000,None,None,64176000,31394000,None,None,124948000,USD,108452000,39140000,1152000,157390000,617946000,361447000,216017000,270791000,256499000,54774000,347155000,-100020000
None,None,177439000,177439000,65000,482314000,104445000,None,None,None,None,2007-12-31,None,132455000,132455000,None,None,None,None,None,31390000,36466000,None,None,77326000,USD,25426000,36475000,823000,207703000,683492000,416532000,213399000,253680000,266960000,40281000,429812000,None
None,None,400430000,400430000,69000,483525000,93864000,None,None,None,None,2006-12-31,None,104908000,104908000,None,None,None,None,None,27988000,29905000,None,None,160411000,USD,-40589000,None,None,None,608779000,428418000,193447000,194568000,180361000,1121000,414211000,None
None,None,212256000,212256000,55000,458626000,63491000,None,None,None,None,2005-12-31,None,57489000,57489000,None,None,None,None,None,31435000,25563000,None,None,97245000,USD,-89671000,None,None,None,364681000,243691000,137587000,138429000,120990000,842000,226252000,None
