capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
439538000,-4074427000,-2181784000,None,None,None,None,None,None,15630431000,None,None,None,2024-12-31,8711631000,7361364000,None,None,None,None,None,None,None,None,None,-6263746000,None,None,USD
348552000,-5950803000,541751000,None,None,None,None,None,None,14554384000,None,None,None,2023-12-31,5407990000,7274301000,None,None,None,None,None,None,None,None,None,-6045347000,None,None,USD
407729000,-664254000,-2076392000,-714389000,None,None,None,None,None,14362814000,None,None,None,2022-12-31,4491924000,2026257000,None,None,None,None,None,None,None,None,None,35746000,None,None,USD
524585000,-1149776000,-1339853000,-2097019000,None,None,None,None,None,12438779000,None,None,None,2021-12-31,5116228000,392610000,None,None,None,None,None,None,None,None,None,-600022000,None,None,USD
497923000,1237311000,-505354000,3159034000,None,None,None,None,None,10922622000,None,None,None,2020-12-31,2761395000,2427077000,None,None,None,None,None,None,None,None,None,235406000,None,None,USD
253035000,4505662000,-387064000,1231276000,None,None,None,None,None,9319826000,None,None,None,2019-12-31,1866916000,-2887322000,None,None,None,None,None,None,None,None,None,72490000,None,None,USD
212532000,4048527000,-339120000,989246000,-39682000,None,None,None,None,7656457000,None,None,None,2018-12-31,1211242000,-2680479000,None,None,None,None,None,None,None,None,None,124502000,None,None,USD
227022000,3076990000,34329000,1355219000,29848000,0,None,None,None,6330385000,0,0,None,2017-12-31,558929000,-1785948000,None,None,None,None,None,None,None,None,None,88378000,None,None,USD
184830000,1091630000,49765000,-341754000,-9165000,0,None,None,None,4924978000,0,0,None,2016-12-31,186678000,-1473984000,None,None,None,None,None,None,None,None,None,36979000,None,None,USD
169206000,1640277000,-179192000,695722000,-15924000,0,None,None,None,3547045000,0,0,None,2015-12-31,122641000,-749439000,None,None,None,None,None,None,None,None,None,77980000,None,None,USD
144516000,541712000,-42866000,508643000,-6686000,0,None,None,None,2781798000,0,0,None,2014-12-31,266799000,16483000,None,None,None,None,None,None,None,None,None,60544000,None,None,USD
120070000,476264000,-255968000,314674000,-3453000,0,None,None,None,2241680000,0,0,None,2013-12-31,112403000,97831000,None,None,None,None,None,None,None,None,None,124557000,None,None,USD
89732000,5589000,-245919000,-217762000,-197000,0,None,None,None,1702083000,0,0,None,2012-12-31,17152000,22765000,None,None,None,None,None,None,None,None,None,-464000,None,None,USD
134836000,261656000,-265814000,313554000,None,0,None,None,None,839619000,198060000,198060000,None,2011-12-31,226126000,317712000,None,None,None,None,None,None,None,None,None,-199666000,None,None,USD
34342000,-100045000,-116081000,60275000,None,0,None,None,None,338695000,0,0,None,2010-12-31,160853000,276401000,None,None,None,None,None,None,None,None,None,-210259000,None,None,USD
239176000,-84641000,-246079000,-5657000,None,0,None,None,None,257534000,212895000,212895000,None,2009-12-31,115860000,325063000,None,None,None,None,None,None,None,None,None,-324335000,None,None,USD
207701000,-176635000,-144960000,None,None,None,None,None,None,242836000,None,None,None,2008-12-31,83026000,284037000,None,None,None,None,None,None,None,None,None,-199904000,None,None,USD
44806000,-64001000,-450813000,None,None,None,None,None,None,224986000,None,None,None,2007-12-31,66952000,291823000,None,None,None,None,None,None,None,None,None,-99860000,None,None,USD
197446000,126181000,-185869000,None,None,None,None,None,None,157136000,None,None,None,2006-12-31,49082000,247862000,None,None,None,None,None,None,None,None,None,None,None,None,USD
30619000,13314000,-138718000,None,None,None,None,None,None,107002000,None,None,None,2005-12-31,42027000,162977000,None,None,None,None,None,None,None,None,None,None,None,None,USD
