comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,21038464000,21038464000,None,15630431000,9246924000,24877355000,2024-12-31,17962502000,9965657000,1254026000,None,718733000,266776000,None,8711631000,8711631000,-451957000,None,7544888000,10417614000,None,USD,2925295000,1702039000,39000966000
None,19715368000,19715368000,None,14554384000,6954003000,21508387000,2023-12-31,14007929000,6205405000,-797415000,None,699826000,748598000,None,5407990000,5407990000,-748598000,None,7053926000,6954003000,None,USD,2675758000,1720285000,33723297000
None,19168285000,19168285000,None,14362814000,5970141000,20332955000,2022-12-31,12447265000,5263929000,772005000,None,706212000,337310000,None,4491924000,4491924000,-368902000,None,6814434000,5632831000,337310000,USD,2711041000,1572891000,31615550000
None,17332683000,17332683000,None,12438779000,6605723000,19044502000,2021-12-31,12365161000,5840103000,723875000,None,765620000,411214000,None,5116228000,5116228000,-354406000,None,6170652000,6194509000,411214000,USD,2273885000,1351621000,29697844000
None,15276319000,15276319000,None,10922622000,4585289000,15507911000,2020-12-31,9719737000,3199349000,437954000,None,1385940000,1385940000,None,2761395000,2761395000,-1385940000,None,5134448000,4585289000,-618441000,USD,1829600000,1076486000,24996056000
None,12440213000,12440213000,None,9319826000,2688254000,12008080000,2019-12-31,7716234000,2062231000,195315000,None,626023000,84000000,None,1866916000,1866916000,-542023000,None,5111980000,2604254000,84000000,USD,1545149000,914369000,20156447000
None,9967538000,9967538000,None,7615245000,1646951000,9262196000,2018-12-31,5826803000,1226458000,15216000,None,420493000,41725000,None,1211242000,1211242000,-378768000,None,4221577000,1605226000,41725000,USD,1221814000,630294000,15794341000
None,7659666000,7659666000,None,6269728000,838679000,7108407000,2017-12-31,4033047000,485321000,-73608000,None,353358000,115154000,None,558929000,558929000,-353358000,None,3194368000,838679000,-115154000,USD,1052778000,863568000,11692713000
None,6029901000,6029901000,None,4924978000,410621000,5335599000,2016-12-31,2800768000,260507000,73829000,None,150114000,30828000,None,186678000,186678000,-119286000,None,2420975000,379793000,30828000,USD,852098000,577799000,8830669000
None,4591476000,4591476000,None,3547045000,305826000,3852871000,2015-12-31,2188035000,141885000,19244000,None,163941000,163941000,None,122641000,122641000,None,None,1882209000,305826000,-31225000,USD,650788000,407329000,6779511000
None,3752760000,3752760000,None,2781798000,402648000,3184446000,2014-12-31,1751896000,349369000,82570000,None,53279000,None,None,266799000,266799000,None,None,1349248000,402648000,-3060000,USD,472321000,269741000,5504656000
None,3083256000,3083256000,None,2241680000,203218000,2444898000,2013-12-31,1291306000,171074000,58671000,None,32144000,None,None,112403000,112403000,None,None,1062959000,228347000,-28131000,USD,378769000,180301000,4374562000
None,2625866000,2625866000,None,1702083000,50466000,1752549000,2012-12-31,983416000,30480000,13328000,None,19986000,None,None,17152000,17152000,None,None,933424000,49992000,474000,USD,329008000,119687000,3609282000
None,2039901000,2039901000,None,839619000,379547000,1219166000,2011-12-31,1164676000,359522000,133396000,None,20025000,None,None,226126000,226126000,None,None,779608000,376068000,3479000,USD,259033000,117937000,3204577000
None,1357355000,1357355000,None,338695000,287325000,626020000,2010-12-31,805270000,267696000,106843000,None,19629000,None,None,160853000,160853000,None,None,527723000,283641000,3684000,USD,163329000,70555000,2162625000
None,1079271000,1079271000,None,38044000,198667000,236711000,2009-12-31,590998000,192192000,76332000,None,6475000,None,None,115860000,115860000,None,None,399059000,191939000,6728000,USD,114542000,51333000,1670269000
None,910234000,910234000,None,242211000,133958000,376169000,2008-12-31,454427000,131500000,48474000,None,2458000,None,None,83026000,None,None,None,332921000,121506000,None,USD,89873000,49662000,1364661000
None,786168000,786168000,None,224986000,91161000,316147000,2007-12-31,419172000,111501000,44549000,None,20340000,None,None,66952000,None,None,None,328011000,91161000,None,USD,71395000,52532000,1205340000
None,626985000,626985000,None,157136000,64414000,221550000,2006-12-31,369675000,80318000,31236000,None,0,None,None,49082000,None,None,None,310058000,64414000,None,USD,48379000,36155000,996660000
None,464550000,464550000,None,107002000,2989000,109991000,2005-12-31,217663000,8335000,-33692000,None,1852000,None,None,42027000,None,None,None,208569000,2989000,None,USD,30942000,4658000,682213000
