accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,829000000,1178000000,1178000000,638000000,982200000,2965000000,None,4542000000,3752000000,None,2025-03-31,9532000000,3564000000,3564000000,557000000,None,42168000000,None,None,3092000000,2644000000,None,None,74091000000,GBP,40106000000,47539000000,4662000000,5753000000,106742000000,14332000000,10621000000,68916000000,92410000000,58295000000,37803000000,None
None,779000000,548000000,548000000,493000000,826500000,2786000000,None,4745000000,3030000000,None,2024-03-31,9729000000,3431000000,3431000000,828000000,None,41548000000,None,None,2274000000,3524000000,None,None,68907000000,GBP,32066000000,47072000000,4859000000,3699000000,98325000000,10379000000,11389000000,68433000000,87946000000,57044000000,29867000000,None
None,714000000,126000000,126000000,488000000,735200000,3249000000,None,2859000000,3441000000,None,2023-03-31,9847000000,3604000000,3604000000,876000000,None,39412000000,None,None,2065000000,2450000000,None,921000000,64433000000,GBP,31608000000,42985000000,2955000000,2605000000,92697000000,9113000000,9130000000,63135000000,83584000000,54005000000,29538000000,None
None,558000000,190000000,190000000,485000000,723200000,3113000000,None,12014000000,3286000000,None,2022-03-31,9532000000,3272000000,3272000000,511000000,None,32893000000,None,None,10831000000,9226000000,None,805000000,57532000000,GBP,26611000000,45465000000,12121000000,3145000000,94860000000,17963000000,24770000000,71004000000,76897000000,46234000000,23833000000,None
None,685000000,157000000,157000000,474000000,708000000,2165000000,None,3638000000,1493000000,None,2021-03-31,4588000000,6031000000,6031000000,439000000,None,27483000000,None,None,5599000000,2963000000,None,843000000,47043000000,GBP,17998000000,31220000000,3807000000,2342000000,67216000000,9938000000,9368000000,47356000000,57278000000,37988000000,19839000000,None
None,735000000,73000000,73000000,470000000,695600000,2205000000,None,3960000000,2578000000,None,2020-03-31,5712000000,1295000000,1295000000,416000000,None,26099000000,None,None,736000000,1999000000,None,44000000,48770000000,GBP,21895000000,30794000000,4072000000,1998000000,67560000000,5801000000,8564000000,47767000000,61759000000,39203000000,19771000000,None
0,270000000,252000000,252000000,458000000,680200000,3769000000,None,4407000000,3153000000,None,2019-03-31,5372000000,1084000000,1084000000,370000000,None,24053000000,None,32596204680.15,2190000000,-133000000,None,808000000,43913000000,GBP,21999000000,28730000000,4537000000,1981000000,63412000000,7946000000,9129000000,43844000000,52590000000,24258000000,19548000000,0
0,271000000,329000000,329000000,452000000,695200000,1977000000,None,4383000000,1674000000,None,2018-03-31,5444000000,899000000,899000000,268000000,None,21971000000,None,180698210785.29,1716000000,1385000000,None,1317000000,39853000000,GBP,21599000000,26625000000,4772000000,2694000000,58787000000,6681000000,8697000000,39939000000,49263000000,22591000000,18832000000,-999999999999999999.99
0,308000000,1139000000,1139000000,449000000,693000252,2135000000,None,5430000000,3099000000,None,2017-03-31,6096000000,923000000,923000000,300000000,None,22900000000,None,3183000000,1801000000,1719000000,None,77000000,39825000000,GBP,22582000000,28638000000,6550000000,8741000000,65840000000,13574000000,10511000000,45456000000,50027000000,24069000000,20368000000,-999999999999999999.99
0,0,127000000,127000000,447000000,694833586,2038000000,None,215576436757.58,1276000000,None,2016-03-31,5315000000,887000000,887000000,336000000,None,24543000000,None,67675602825.16,1575000000,1797000000,None,0,43364000000,GBP,16305000000,28344000000,3611000000,2998000000,58934000000,6312000000,7721000000,45369000000,50445000000,26275000000,13555000000,-999999999999999999.99
0,0,119000000,119000000,443000000,699416921,2050000000,None,7374511134.81,1568000000,None,2015-03-31,5145000000,802000000,802000000,277000000,None,110535594275.86,None,2107932604.93,1508000000,2060000000,None,0,196719736285.98,GBP,14870000000,77462743620.11,3028000000,2559000000,55089000000,6031000000,7374000000,43115000000,47318000000,24487000000,11962000000,-6390988166.54
None,None,354000000,354000000,439000000,699783588,1942000000,None,27113000000,2855000000,None,2014-03-31,4594000000,669000000,669000000,215000000,None,37417033000,None,635000000,1719000000,1371000000,None,None,61995982000,GBP,14895000000,25950000000,3850000000,3599000000,52384000000,7489000000,7331000000,40465000000,43077000000,23112000000,11911000000,-1699183000
None,None,671000000,671000000,433000000,692816919,2033000000,None,None,3900000000,None,2013-03-31,5028000000,589000000,589000000,283000000,None,37446187000,None,None,3287000000,1733000000,None,None,55594226000,GBP,13132000000,25746000000,3448000000,5431000000,54705000000,9576000000,7445000000,44471000000,42858000000,25746000000,10229000000,-1502588000
None,None,332000000,332000000,422000000,685300249,1530000000,None,None,1971000000,None,2012-03-31,4776000000,546000000,546000000,376000000,None,32822001000,None,None,1096000000,1279000000,None,None,53871049000,GBP,12297000000,20533000000,2492000000,2391000000,47335000000,5651000000,6004000000,38089000000,41684000000,32085000000,9239000000,-1365119000
None,None,384000000,384000000,416000000,649733570,1720000000,None,None,2212000000,None,2011-03-31,4776000000,501000000,501000000,320000000,None,32490781000,None,None,1467000000,1244000000,None,None,51282989000,GBP,12153000000,20246000000,2952000000,3407000000,46400000000,6323000000,6826000000,37331000000,40077000000,30505000000,9060000000,-1336799000
None,None,720000000,720000000,298000000,537166862,1702000000,None,None,2293000000,None,2010-03-31,5102000000,389000000,389000000,407000000,None,33892115000,None,None,1049000000,1416000000,None,None,46856403000,GBP,7316000000,22318000000,2806000000,1645000000,43553000000,5065000000,6559000000,39342000000,38488000000,32783000000,4199000000,None
None,None,737000000,737000000,294000000,518502942,1653000000,None,None,2831000000,None,2009-03-31,5391000000,370000000,370000000,556000000,None,33662200000,None,None,1449000000,1737000000,None,None,42249350000,GBP,7135000000,23540000000,3253000000,2197000000,44467000000,6755000000,7026000000,40483000000,37712000000,33457000000,3970000000,None
None,None,174000000,174000000,294000000,542701125,2480000000,None,None,2302000000,None,2008-03-31,3904000000,271000000,271000000,438000000,None,33993746000,None,None,2881000000,-181000000,None,None,48313172000,GBP,8943000000,17121000000,3882000000,2095000000,37771000000,6941000000,7146000000,32397000000,30830000000,25251000000,5356000000,None
None,None,1593000000,1593000000,308000000,566072020,1852000000,None,None,1968000000,None,2007-03-31,1480000000,144000000,144000000,108000000,None,28909390000,None,None,1515000000,170476050,None,None,37194808000,GBP,7635000000,14686000000,1031000000,2098000000,28389000000,7280000000,3360000000,24253000000,21109000000,20893000000,4125000000,None
