capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
9306000000,4528000000,-10571000000,None,None,None,None,None,None,2175000000,1529000000,1529000000,None,2025-03-31,4934000000,6808000000,None,None,None,None,None,None,None,None,None,-7000000,None,None,GBP
7453000000,987000000,-7499000000,None,None,None,None,None,None,2061000000,1718000000,1718000000,None,2024-03-31,4475000000,6939000000,None,None,None,None,None,None,None,None,None,-4000000,None,None,GBP
6325000000,-7173000000,240000000,None,None,None,None,None,None,1678000000,1607000000,1607000000,None,2023-03-31,7797000000,6898000000,None,None,None,None,None,None,None,None,None,15399000000,None,None,GBP
5098000000,7769000000,-14010000000,None,None,None,None,None,None,1523000000,922000000,922000000,None,2022-03-31,2353000000,6272000000,None,None,None,None,None,None,None,None,None,-3000000,None,None,GBP
4209000000,750000000,-5116000000,None,None,None,None,None,None,1289000000,1413000000,1413000000,None,2021-03-31,1640000000,4461000000,None,None,None,None,None,None,None,None,None,-2000000,None,None,GBP
4291000000,-1606000000,-3195000000,None,None,None,None,None,None,1286000000,892000000,892000000,None,2020-03-31,1264000000,4618000000,None,None,None,None,None,None,None,None,None,-6000000,None,None,GBP
3635000000,-952000000,-3446000000,0,0,0,None,None,0,1550000000,1160000000,1160000000,None,2019-03-31,1511000000,4318000000,None,None,None,None,None,None,None,None,None,-2000000,None,None,GBP
3738000000,-7877000000,2567000000,0,0,0,None,None,0,1530000000,4487000000,4487000000,None,2018-03-31,3550000000,4503000000,None,None,None,None,None,None,None,None,None,-1022000000,None,None,GBP
3296000000,69000000,-4314000000,0,0,0,None,None,0,1348000000,1463000000,1463000000,None,2017-03-31,7795000000,5229000000,None,None,None,None,None,None,None,None,None,-195000000,None,None,GBP
2855000000,-1328000000,-4036000000,0,0,0,None,None,0,1207000000,1337000000,1337000000,None,2016-03-31,2591000000,5368000000,None,None,None,None,None,None,None,None,None,-273000000,None,None,GBP
2578000000,-3253000000,-2001000000,0,0,0,None,None,0,1115000000,1271000000,1271000000,None,2015-03-31,2019000000,5007000000,None,None,None,None,None,None,None,None,None,-345000000,None,None,GBP
2944000000,-2972000000,-1330000000,None,None,None,None,None,None,1289000000,1059000000,1059000000,None,2014-03-31,2476000000,4019000000,None,None,None,None,None,None,None,None,None,-5000000,None,None,GBP
3214000000,2715000000,-6130000000,None,None,None,None,None,None,1260000000,810000000,810000000,None,2013-03-31,2153000000,3750000000,None,None,None,None,None,None,None,None,None,-6000000,None,None,GBP
3350000000,-1900000000,-2371000000,None,None,None,None,None,None,1282000000,1006000000,1006000000,None,2012-03-31,3539000000,4228000000,None,None,None,None,None,None,None,None,None,-4000000,None,None,GBP
3134000000,-430000000,-4774000000,None,None,None,None,None,None,1245000000,858000000,858000000,None,2011-03-31,3745000000,4858000000,None,None,None,None,None,None,None,None,None,-3000000,None,None,GBP
3111000000,-2212000000,-2332000000,None,None,None,None,None,None,1188000000,688000000,688000000,None,2010-03-31,3293000000,4516000000,None,None,None,None,None,None,None,None,None,-7000000,None,None,GBP
3185000000,184000000,-3047000000,None,None,None,None,None,None,1122000000,838000000,838000000,None,2009-03-31,3664000000,3401000000,None,None,None,None,None,None,None,None,None,-627000000,None,None,GBP
2877000000,-692000000,-6073000000,None,None,None,None,None,None,994000000,780000000,780000000,None,2008-03-31,6024000000,5315000000,None,None,None,None,None,None,None,None,None,-1498000000,None,None,GBP
2218000000,2091000000,-4061000000,None,None,None,None,None,None,871000000,730000000,730000000,None,2007-03-31,2694000000,2145000000,None,None,None,None,None,None,None,None,None,-169000000,None,None,GBP
1672000000,-5008000000,3922000000,None,None,None,None,None,None,888000000,745000000,745000000,None,2006-03-31,2512000000,2267000000,None,None,None,None,None,None,None,None,None,-7000000,None,None,GBP
