comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,4150000000,4150000000,None,2175000000,5460000000,7635000000,2025-03-31,14228000000,3650000000,821000000,None,1810000000,439000000,None,2902000000,2829000000,-1362000000,None,9294000000,4934000000,None,GBP,None,2343000000,18378000000
None,5272000000,5272000000,None,2061000000,4771000000,6832000000,2024-03-31,14578000000,3048000000,831000000,None,1723000000,239000000,None,2290000000,2217000000,-1480000000,None,10103000000,4475000000,None,GBP,32000000,2186000000,19850000000
None,8623000000,8623000000,None,1984000000,5270000000,7254000000,2023-03-31,13036000000,3590000000,876000000,None,1680000000,165000000,None,7797000000,2714000000,-1515000000,None,8157000000,4879000000,None,GBP,23000000,2149000000,21659000000
None,6098000000,6098000000,None,1830000000,4598000000,6428000000,2022-03-31,12351000000,3441000000,1258000000,None,1157000000,43000000,None,2353000000,2183000000,-1084000000,None,7980000000,4371000000,None,GBP,11000000,1937000000,18449000000
None,5610000000,5610000000,None,1558000000,2369000000,3927000000,2021-03-31,8055000000,1606000000,360000000,None,900000000,40000000,None,1640000000,1641000000,-944000000,None,5686000000,2369000000,None,GBP,12000000,206000000,13665000000
None,4036000000,4036000000,None,1435000000,2399000000,3834000000,2020-03-31,9324000000,1400000000,370000000,None,1244504894,936000000,None,1264000000,1274000000,-1012000000,None,7045000000,2279000000,None,GBP,14000000,1801000000,13360000000
None,6802000000,6802000000,None,1802000000,3306000000,5108000000,2019-03-31,8131000000,1841000000,339000000,None,1062000000,950000000,None,1511000000,1502000000,-952000000,None,12178000000,3558000000,0,GBP,19000000,1749000000,14933000000
None,6082000000,6082000000,None,1596000000,3486000000,5082000000,2018-03-31,9168000000,2660000000,-889000000,None,1128000000,682000000,None,3550000000,3592000000,-1059000000,None,11644000000,3552000000,0,GBP,13000000,1699000000,15250000000
None,3330000000,3330000000,None,1541000000,3547000000,5088000000,2017-03-31,11705000000,2184000000,374000000,None,1003000000,827000000,None,1811000000,1810000000,-1046000000,None,8655000000,3740000000,0,GBP,14000000,1676000000,15035000000
None,3254000000,3254000000,None,1373000000,2958000000,4331000000,2016-03-31,9958000000,2329000000,427000000,None,1035000000,689000000,None,1899000000,146437993826.01,None,None,6916000000,3124000000,0,GBP,19000000,1428000000,13212000000
None,3882000000,3882000000,None,1115000000,2874000000,3989000000,2015-03-31,9475000000,1960000000,467000000,None,1069000000,None,None,1503000000,4856702745.59,None,None,6749000000,2874000000,0,GBP,16000000,4440320996.47,13357000000
None,3989000000,3989000000,None,1289000000,3572000000,4861000000,2014-03-31,10820000000,2748000000,284000000,None,1144000000,None,None,2476000000,2464000000,None,None,7072000000,3572000000,None,GBP,12000000,1341000000,14809000000
None,3127000000,3127000000,None,1260000000,3504000000,4764000000,2013-03-31,11232000000,2711000000,557000000,None,2172000000,None,None,2295000000,None,None,None,7546000000,3504000000,None,GBP,15000000,None,14359000000
None,2968000000,2968000000,None,1282000000,3622000000,4904000000,2012-03-31,10864000000,2559000000,521000000,None,2218000000,None,None,2036000000,None,None,None,10293000000,3539000000,None,GBP,None,None,13832000000
None,10598000000,10598000000,None,1245000000,5076000000,6321000000,2011-03-31,3745000000,2624000000,461000000,None,2452000000,None,None,2159000000,None,None,None,-14000000,3745000000,None,GBP,None,None,14343000000
None,8118000000,8118000000,None,1188000000,4306000000,5494000000,2010-03-31,5889000000,2193000000,804000000,None,2113000000,None,None,1386000000,None,None,None,10714000000,3293000000,None,GBP,19000000,1402000000,14007000000
None,10488000000,10488000000,None,1122000000,2926000000,4048000000,2009-03-31,5136000000,1394000000,472000000,None,1161000000,None,None,944000000,None,None,None,11828000000,2623000000,None,GBP,10000000,1449000000,15624000000
None,8534000000,8534000000,None,994000000,2959000000,3953000000,2008-03-31,2889000000,2182000000,607000000,None,999000000,None,None,3190000000,None,None,None,9161000000,2964000000,None,GBP,13000000,None,11423000000
None,4114999350,4114999350,None,871000000,2368000000,3239000000,2007-03-31,4580000650,1751000000,441000000,None,801000000,None,None,1394000000,None,None,None,6583000000,2513000000,None,GBP,None,822388050,8695000000
None,4551048880,4551048880,None,888000000,3398000000,4286000000,2006-03-31,4316951120,1718000000,535000000,None,1638000000,None,None,3848000000,None,None,None,6515000000,2374000000,None,GBP,7000000,893029480,8868000000
