accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,3052000000,7464000000,7464000000,3000000,1487600000,3479000000,None,5000000,4717000000,None,2025-05-31,240000000,259000000,259000000,7489000000,None,7961000000,None,None,2005000000,5911000000,None,2289000000,7540000000,USD,-727000000,11018000000,507000000,1687000000,36579000000,23362000000,10566000000,23366000000,13217000000,12800000000,13213000000,None
None,3043000000,9860000000,9860000000,3000000,1529700000,2851000000,None,1006000000,4427000000,None,2024-05-31,240000000,259000000,259000000,7519000000,None,7903000000,None,None,1854000000,5725000000,None,2618000000,7718000000,USD,965000000,11952000000,1483000000,1722000000,38110000000,25382000000,10593000000,23680000000,12728000000,13087000000,14430000000,None
None,3211000000,7441000000,7441000000,3000000,1569800000,2862000000,None,6000000,4131000000,None,2023-05-31,281000000,274000000,274000000,8454000000,None,8927000000,None,None,1942000000,5723000000,None,2558000000,8004000000,USD,1358000000,12144000000,431000000,3234000000,37531000000,25202000000,9256000000,23527000000,12329000000,14271000000,14004000000,None
5306000000,3197000000,8574000000,8574000000,3000000,1610800000,3358000000,None,510000000,4667000000,None,2022-05-31,284000000,286000000,286000000,8420000000,None,8920000000,None,None,2129000000,6220000000,None,2613000000,4791000000,USD,3476000000,12627000000,930000000,4423000000,40321000000,28213000000,10730000000,25040000000,12108000000,14310000000,15281000000,None
5157000000,3398000000,9889000000,9889000000,3000000,1609400000,2836000000,None,2000000,4463000000,None,2021-05-31,242000000,269000000,269000000,6854000000,None,9413000000,None,None,1498000000,6063000000,None,2955000000,8017000000,USD,3179000000,9882000000,469000000,3587000000,37740000000,26291000000,9674000000,24973000000,11449000000,15299000000,12767000000,None
4795000000,3358000000,8348000000,8348000000,3000000,1591600000,2248000000,None,251000000,2749000000,None,2020-05-31,223000000,274000000,274000000,7367000000,None,9406000000,None,None,1653000000,4982000000,None,2684000000,4866000000,USD,-191000000,13015000000,696000000,439000000,31342000000,20556000000,8284000000,23287000000,10786000000,15003000000,8055000000,None
4725000000,None,4466000000,4466000000,3000000,1618400000,2612000000,None,15000000,4272000000,None,2019-05-31,154000000,283000000,283000000,5622000000,None,3464000000,None,None,1968000000,4776000000,None,3347000000,4744000000,USD,1643000000,3479000000,15000000,197000000,23717000000,16525000000,7866000000,14677000000,7192000000,6811000000,9040000000,None
4437000000,None,4249000000,4249000000,3000000,1659100000,2279000000,None,342000000,3498000000,None,2018-05-31,154000000,285000000,285000000,5261000000,None,3468000000,None,None,1130000000,3045000000,None,None,4454000000,USD,3517000000,3810000000,342000000,996000000,22536000000,15134000000,6040000000,12724000000,7402000000,6684000000,9812000000,0
3969000000,None,3808000000,3808000000,3000000,1692000000,2048000000,None,331000000,3677000000,None,2017-05-31,139000000,283000000,283000000,5055000000,None,3471000000,None,None,1150000000,2815000000,None,None,3989000000,USD,3979000000,3802000000,331000000,2371000000,23259000000,16061000000,5474000000,10852000000,7198000000,5378000000,12407000000,0
3518000000,None,3138000000,3138000000,3000000,1742500000,2191000000,None,45000000,3241000000,None,2016-05-31,131000000,281000000,281000000,4838000000,None,2010000000,None,None,1489000000,2878000000,None,None,3520000000,USD,4151000000,2055000000,45000000,2319000000,21396000000,15025000000,5358000000,9138000000,6371000000,3780000000,12258000000,0
3341000000,None,3852000000,3852000000,3000000,1768800000,2131000000,None,107000000,3358000000,None,2015-05-31,131000000,281000000,281000000,4337000000,None,1079000000,None,None,2357000000,3777000000,None,None,3011000000,USD,4685000000,1260000000,181000000,2072000000,21600000000,15976000000,6334000000,8893000000,5624000000,2559000000,12707000000,0
3386000000,None,2220000000,2220000000,3000000,1811600000,1930000000,None,1507000000,3434000000,None,2014-05-31,131000000,282000000,282000000,3947000000,None,1199000000,None,None,1173000000,2287000000,None,None,2834000000,USD,4871000000,1373000000,174000000,2922000000,18594000000,13696000000,5027000000,7770000000,4898000000,2743000000,10824000000,0
3048000000,None,3337000000,3337000000,3000000,1832800000,1646000000,None,None,3117000000,None,2013-05-31,131000000,382000000,382000000,3434000000,None,1210000000,None,None,1110000000,1812000000,None,None,2452000000,USD,5695000000,1388000000,178000000,2628000000,17584000000,13626000000,3926000000,6428000000,3958000000,2502000000,11156000000,0
2965000000,None,2317000000,2317000000,3000000,1879200000,1588000000,None,None,3280000000,None,2012-05-31,201000000,535000000,535000000,3350000000,None,228000000,None,None,1144000000,1874000000,None,None,2209000000,USD,5588000000,385000000,157000000,1440000000,15465000000,11531000000,3865000000,5084000000,3934000000,1219000000,10381000000,0
2791000000,None,1955000000,1955000000,3000000,1942800000,1469000000,None,None,3138000000,None,2011-05-31,205000000,487000000,487000000,2715000000,None,276000000,None,None,906000000,1985000000,None,None,2115000000,USD,5801000000,663000000,387000000,2583000000,14998000000,11297000000,3958000000,5155000000,3701000000,1197000000,9843000000,0
2457900000,None,3079100000,3079100000,2800000,1975600000,1254500000,None,None,2649800000,None,2010-05-31,187600000,467000000,467000000,2040800000,None,445800000,None,None,1122700000,1904400000,None,None,1931900000,USD,6095500000,591800000,146000000,2066800000,14419300000,10959200000,3364200000,4665600000,3460100000,1301400000,9753700000,0
2298000000,None,2291100000,2291100000,2800000,1962800000,1031900000,None,None,2883900000,None,2009-05-31,193500000,467400000,467400000,2357000000,None,437200000,None,None,1038000000,1783900000,None,None,1957700000,USD,5451400000,812100000,374900000,1164000000,13249600000,9734000000,3277000000,4556800000,3515600000,1279800000,8692800000,None
