capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
430000000,-5820000000,-275000000,None,None,120000000,None,None,None,775000000,2300000000,2300000000,None,2025-05-31,3219000000,3698000000,None,None,None,None,None,None,None,None,None,-2985000000,None,None,USD
812000000,-5888000000,894000000,None,None,908000000,None,None,None,844000000,2169000000,2169000000,None,2024-05-31,5700000000,7429000000,None,None,None,None,None,None,None,None,None,-4250000000,None,None,USD
969000000,-7447000000,564000000,-1042000000,None,-133000000,None,None,489000000,859000000,2012000000,2012000000,None,2023-05-31,5070000000,5841000000,None,None,None,None,None,None,None,None,None,-5480000000,None,None,USD
758000000,-4836000000,-1524000000,-1172000000,None,-1676000000,None,None,-504000000,840000000,1837000000,1837000000,None,2022-05-31,6046000000,5188000000,None,None,None,None,None,None,None,None,None,-4014000000,None,None,USD
695000000,-1459000000,-3800000000,1398000000,None,507000000,None,None,-1606000000,797000000,1638000000,1638000000,None,2021-05-31,5727000000,6657000000,None,None,None,None,None,None,None,None,None,-608000000,None,None,USD
1086000000,2491000000,-1028000000,3882000000,-66000000,-1854000000,None,None,1239000000,1119000000,1452000000,1452000000,None,2020-05-31,2539000000,2485000000,None,None,None,None,None,None,None,None,None,-3067000000,None,None,USD
1119000000,-5293000000,-264000000,217000000,-129000000,-490000000,None,None,-270000000,720000000,1332000000,1332000000,None,2019-05-31,4029000000,5903000000,None,None,None,None,None,None,None,None,None,-4286000000,None,None,USD
1028000000,-4835000000,276000000,441000000,45000000,-255000000,None,None,187000000,774000000,1243000000,1243000000,None,2018-05-31,1933000000,4955000000,None,None,None,None,None,None,None,None,None,-4254000000,None,None,USD
1105000000,-1942000000,-1008000000,670000000,-20000000,-231000000,None,None,-426000000,716000000,1133000000,1133000000,None,2017-05-31,4240000000,3640000000,None,None,None,None,None,None,None,None,None,-3223000000,None,None,USD
1143000000,-2671000000,-1034000000,-714000000,-105000000,-590000000,None,None,60000000,662000000,1022000000,1022000000,None,2016-05-31,3760000000,3096000000,None,None,None,None,None,None,None,None,None,-3238000000,None,None,USD
963000000,-2790000000,-175000000,1632000000,-83000000,-621000000,None,None,-216000000,649000000,899000000,899000000,None,2015-05-31,3273000000,4680000000,None,None,None,None,None,None,None,None,None,-2534000000,None,None,USD
880000000,-2914000000,-1207000000,-1117000000,1000000,-505000000,None,None,-298000000,632000000,799000000,799000000,None,2014-05-31,2693000000,3003000000,None,None,None,None,None,None,None,None,None,-2628000000,None,None,USD
636000000,-1040000000,-1067000000,1020000000,100000000,-197000000,None,None,142000000,513000000,703000000,703000000,None,2013-05-31,2485000000,3027000000,None,None,None,None,None,None,None,None,None,-1674000000,None,None,USD
597000000,-2118000000,514000000,362000000,67000000,-805000000,None,None,-323000000,405000000,619000000,619000000,None,2012-05-31,2223000000,1899000000,None,None,None,None,None,None,None,None,None,-1814000000,None,None,USD
432000000,-1972000000,-1021000000,-1124000000,57000000,-551000000,None,None,-273000000,358000000,555000000,555000000,None,2011-05-31,2133000000,1812000000,None,None,None,None,None,None,None,None,None,-1859000000,None,None,USD
335100000,-1061200000,-1267500000,788000000,-47500000,284600000,None,None,181700000,395500000,505400000,505400000,None,2010-05-31,1906700000,3164200000,None,None,None,None,None,None,None,None,None,-741200000,None,None,USD
455700000,-733900000,-798100000,None,None,32200000,None,None,None,383300000,466700000,466700000,None,2009-05-31,1486700000,1736100000,None,None,None,None,None,None,None,None,None,-649200000,None,None,USD
449200000,-1226100000,-413800000,None,None,-249800000,None,None,None,321500000,412900000,412900000,None,2008-05-31,1883400000,1936300000,None,None,None,None,None,None,None,None,None,-1248000000,None,None,USD
313500000,-1111500000,92900000,None,None,-49500000,None,None,None,270200000,343700000,343700000,None,2007-05-31,1491500000,1878700000,None,None,None,None,None,None,None,None,None,-985200000,None,None,USD
333700000,-850900000,-1276600000,None,None,-200300000,None,None,None,290900000,290900000,290900000,None,2006-05-31,1392000000,1667900000,None,None,None,None,None,None,None,None,None,-761100000,None,None,USD
