comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,26519000000,26519000000,None,808000000,3702000000,4510000000,2025-05-31,19790000000,3885000000,666000000,None,289000000,81000000,None,3219000000,3219000000,107000000,None,16088000000,3702000000,None,USD,None,11399000000,46309000000
None,28475000000,28475000000,None,844000000,6311000000,7155000000,2024-05-31,22887000000,6700000000,1000000000,None,261000000,93000000,None,5700000000,5700000000,161000000,None,16576000000,6311000000,None,USD,None,12291000000,51362000000
None,28925000000,28925000000,None,859000000,5915000000,6774000000,2023-05-31,22292000000,6201000000,1131000000,None,283000000,6000000,None,5070000000,5070000000,6000000,None,16377000000,5915000000,280000000,USD,None,12317000000,51217000000
None,25231000000,25231000000,None,840000000,6675000000,7515000000,2022-05-31,21479000000,6651000000,605000000,None,292000000,205000000,None,6046000000,6046000000,-205000000,None,14804000000,6675000000,181000000,USD,None,10954000000,46710000000
None,24576000000,24576000000,None,797000000,6937000000,7734000000,2021-05-31,19962000000,6661000000,934000000,None,289000000,262000000,None,5727000000,5727000000,-262000000,None,13025000000,6937000000,-14000000,USD,None,9911000000,44538000000
None,21162000000,21162000000,None,1119000000,3115000000,4234000000,2020-05-31,16241000000,2887000000,348000000,None,144000000,14000000,None,2539000000,2539000000,-89000000,None,13126000000,3115000000,-139000000,USD,None,9534000000,37403000000
None,21643000000,21643000000,None,720000000,4772000000,5492000000,2019-05-31,17474000000,4801000000,772000000,None,124000000,124000000,None,4029000000,4029000000,-49000000,None,12702000000,4772000000,78000000,USD,None,8949000000,39117000000
None,20441000000,20441000000,None,774000000,4445000000,5219000000,2018-05-31,15956000000,4325000000,2392000000,None,54000000,115000000,None,1933000000,1933000000,-54000000,None,11511000000,4445000000,-66000000,USD,None,7934000000,36397000000
None,19038000000,19038000000,None,716000000,4749000000,5465000000,2017-05-31,15312000000,4886000000,646000000,None,59000000,94000000,None,4240000000,4240000000,-59000000,None,10563000000,4749000000,196000000,USD,None,7222000000,34350000000
None,17405000000,17405000000,None,662000000,4502000000,5164000000,2016-05-31,14971000000,4623000000,863000000,None,19000000,130000000,None,3760000000,3760000000,-19000000,None,10469000000,4502000000,140000000,USD,None,7191000000,32376000000
None,16534000000,16534000000,None,649000000,4175000000,4824000000,2015-05-31,14067000000,4205000000,932000000,None,39000000,None,None,3273000000,3273000000,None,None,9892000000,4175000000,58000000,USD,None,6679000000,30601000000
None,15353000000,15353000000,None,586000000,3680000000,4266000000,2014-05-31,12446000000,3544000000,851000000,None,43000000,None,None,2693000000,2693000000,None,None,8766000000,3680000000,-103000000,USD,None,5735000000,27799000000
None,14279000000,14279000000,None,502000000,3238000000,3740000000,2013-05-31,11034000000,3256000000,805000000,None,6000000,None,None,2472000000,2464000000,None,None,7796000000,3238000000,15000000,USD,None,5051000000,25313000000
None,13183000000,13183000000,None,396000000,3069000000,3465000000,2012-05-31,10148000000,3011000000,754000000,None,37000000,None,None,2211000000,2223000000,None,None,7079000000,3069000000,-54000000,USD,None,4472000000,23331000000
None,10915000000,10915000000,None,358000000,2841000000,3199000000,2011-05-31,9202000000,2862000000,690000000,None,40000000,None,None,2133000000,2133000000,None,None,6361000000,2841000000,None,USD,None,4017000000,20117000000
None,10214000000,10214000000,None,396000000,2474000000,2870000000,2010-05-31,8800000000,2517000000,610000000,None,43800000,None,None,1907000000,1906700000,None,None,6326000000,2474000000,None,USD,None,6326400000,19014000000
None,10571700000,10571700000,None,383300000,2454800000,2838100000,2009-05-31,8604400000,1956500000,469800000,None,40200000,None,None,1486700000,None,None,None,6149600000,2454800000,None,USD,None,6149600000,19176100000
None,10239600000,10239600000,None,321500000,2433700000,2755200000,2008-05-31,8387400000,2502900000,619500000,None,38700000,None,None,1883400000,None,None,None,5953700000,2433700000,None,USD,None,5953700000,18627000000
None,9165400000,9165400000,None,270200000,2131800000,2402000000,2007-05-31,7160500000,2199900000,708400000,None,49700000,None,None,1491500000,None,None,None,5028700000,2131800000,None,USD,None,5028700000,16325900000
None,8367900000,8367900000,None,290900000,2109200000,2400100000,2006-05-31,6587000000,2141600000,749600000,None,50500000,None,None,1392000000,None,None,None,4477800000,2109200000,None,USD,None,4477800000,14954900000
