accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,11536000000,10786000000,10786000000,37107000000,2866000000,5113000000,None,7271000000,8558000000,None,2025-05-31,62207000000,4587000000,4587000000,None,None,85297000000,None,None,4818000000,10872000000,None,7647000000,None,USD,-15481000000,104104000000,7271000000,417000000,168361000000,24579000000,32643000000,147392000000,143782000000,114749000000,20451000000,None
None,6255000000,10454000000,10454000000,32764000000,2823000000,2357000000,None,10605000000,7874000000,None,2024-05-31,62230000000,6890000000,6890000000,334000000,None,76264000000,None,None,4019000000,7969000000,None,9420000000,None,USD,-22628000000,94469000000,11905000000,207000000,140976000000,22554000000,31544000000,131737000000,118422000000,100193000000,8704000000,None
None,None,9765000000,9765000000,30215000000,2766000000,1204000000,None,4061000000,6915000000,None,2023-05-31,62261000000,9837000000,9837000000,298000000,None,86420000000,None,None,3604000000,8855000000,None,6469000000,17069000000,USD,-27620000000,90481000000,4061000000,422000000,134384000000,21004000000,23090000000,132828000000,113380000000,109738000000,1073000000,None
None,None,21383000000,21383000000,26808000000,2786000000,1317000000,None,3749000000,5953000000,None,2022-05-31,43811000000,1440000000,1440000000,314000000,None,72110000000,None,None,3778000000,-6122000000,None,5203000000,9716000000,USD,-31336000000,75859000000,3749000000,519000000,109297000000,31633000000,19511000000,115065000000,77664000000,95554000000,-6220000000,None
None,None,30098000000,30098000000,26533000000,3022000000,745000000,None,8250000000,5409000000,None,2021-05-31,43935000000,2430000000,2430000000,142000000,None,75995000000,None,None,3604000000,-5951000000,None,17132000000,7049000000,USD,-20120000000,84245000000,8250000000,16456000000,131107000000,55567000000,24164000000,125155000000,75540000000,100991000000,5238000000,None
None,None,37239000000,37239000000,26486000000,3294000000,637000000,None,2371000000,5551000000,None,2020-05-31,43769000000,3738000000,3738000000,211000000,None,69226000000,None,None,3532000000,-6273000000,None,16295000000,6244000000,USD,-12696000000,71597000000,2371000000,5818000000,115438000000,52140000000,17200000000,102721000000,63298000000,85521000000,12074000000,None
None,None,20514000000,20514000000,26909000000,3732000000,580000000,None,4494000000,5134000000,None,2019-05-31,43779000000,5279000000,5279000000,320000000,None,51673000000,None,5000000,3425000000,-8113000000,None,16043000000,6252000000,USD,-3496000000,56167000000,4494000000,17313000000,108709000000,46386000000,18630000000,86346000000,62323000000,67716000000,21785000000,None
None,None,21620000000,21620000000,28950000000,4238000000,529000000,None,4491000000,5136000000,None,2018-05-31,43755000000,6670000000,6670000000,398000000,None,56128000000,None,29000000,3762000000,-7676000000,None,15717000000,5897000000,USD,18412000000,60619000000,4491000000,45641000000,137264000000,76159000000,19195000000,91040000000,61300000000,71845000000,46224000000,0
None,None,21784000000,21784000000,27065000000,4219643000,599000000,None,9797000000,5300000000,None,2017-05-31,43045000000,7679000000,7679000000,300000000,None,48112000000,None,40000000,2837000000,-132000000,None,8455000000,5315000000,USD,27598000000,57909000000,9797000000,44294000000,134991000000,74515000000,24178000000,80745000000,60476000000,56567000000,53860000000,0
None,None,20152000000,20152000000,24217000000,4305000000,504000000,None,3750000000,5385000000,None,2016-05-31,34590000000,4943000000,4943000000,212000000,None,40105000000,None,122000000,2591000000,391000000,None,7077000000,4000000000,USD,23888000000,43855000000,3750000000,35973000000,112180000000,64313000000,17208000000,64390000000,47867000000,47182000000,47289000000,0
None,None,21716000000,21716000000,23156000000,4503000000,806000000,None,1999000000,5618000000,None,2015-05-31,34087000000,6406000000,6406000000,314000000,None,39959000000,None,74000000,2220000000,4624000000,None,6555000000,3686000000,USD,26503000000,41958000000,1999000000,32652000000,110903000000,62520000000,15206000000,61805000000,48383000000,46514000000,48663000000,0
None,None,17769000000,17769000000,21077000000,4604000000,471000000,None,24097000000,6087000000,None,2014-05-31,29652000000,6137000000,6137000000,189000000,None,22667000000,None,None,2119000000,4725000000,None,5841000000,3061000000,USD,25965000000,24175000000,1508000000,21050000000,90344000000,48128000000,14389000000,42897000000,42206000000,28508000000,46878000000,0
None,None,14613000000,14613000000,18893000000,4844000000,419000000,None,None,6049000000,None,2013-05-31,27343000000,6640000000,6640000000,240000000,None,18494000000,None,None,2213000000,2573000000,None,5301000000,3053000000,USD,25854000000,21256000000,2762000000,17603000000,81812000000,41692000000,12872000000,36667000000,40120000000,23795000000,45145000000,0
None,None,14955000000,14955000000,17489000000,5095000000,438000000,None,None,6377000000,None,2012-05-31,25119000000,7899000000,7899000000,158000000,None,13524000000,None,None,1935000000,1206000000,None,5328000000,3021000000,USD,26087000000,16474000000,2950000000,15721000000,78327000000,40023000000,15388000000,34240000000,38304000000,18852000000,43688000000,0
None,None,16163000000,16163000000,16653000000,5128000000,494000000,None,None,6628000000,None,2011-05-31,21553000000,7860000000,7860000000,303000000,None,14772000000,None,None,3395000000,2577000000,None,4267000000,2857000000,USD,22581000000,15922000000,1150000000,12685000000,73535000000,39174000000,14192000000,33290000000,34361000000,19098000000,39776000000,0
None,None,9914000000,9914000000,14648000000,5073000000,775000000,None,None,5585000000,None,2010-05-31,20425000000,9321000000,9321000000,259000000,None,11510000000,None,None,2691000000,4871000000,None,3754000000,2763000000,USD,16146000000,14655000000,3145000000,8555000000,61578000000,27004000000,14691000000,30379000000,34574000000,15688000000,30798000000,0
None,None,8995000000,8995000000,12980000000,5130000000,271000000,None,None,4430000000,None,2009-05-31,18842000000,7269000000,7269000000,None,None,9237000000,None,None,1527000000,862000000,None,None,1922000000,USD,11894000000,10238000000,1001000000,3629000000,47416000000,18581000000,9149000000,22326000000,28835000000,13177000000,25090000000,None
None,None,8262000000,8262000000,12446000000,5229000000,383000000,None,None,5127000000,None,2008-05-31,17991000000,8395000000,8395000000,None,None,10235000000,None,None,1933000000,3763000000,None,None,1688000000,USD,9961000000,11236000000,1001000000,2781000000,47268000000,18103000000,10029000000,24243000000,29165000000,14214000000,23025000000,None
None,None,6218000000,6218000000,10293000000,5269000000,315000000,None,None,4589000000,None,2007-05-31,13479000000,5964000000,5964000000,None,None,6235000000,None,None,306000000,4242000000,None,None,1603000000,USD,6223000000,7593000000,1358000000,802000000,34572000000,12883000000,9387000000,17653000000,21689000000,8266000000,16919000000,None
