capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
21215000000,1098000000,-21711000000,None,None,None,None,None,None,6174000000,4743000000,4743000000,None,2025-05-31,12443000000,20821000000,None,None,None,None,None,None,None,None,None,-1500000000,None,None,USD
6866000000,-10554000000,-7360000000,None,None,None,None,None,None,6139000000,4391000000,4391000000,None,2024-05-31,10467000000,18673000000,None,None,None,None,None,None,None,None,None,-3242000000,None,None,USD
8695000000,7910000000,-36484000000,-11409000000,None,-870000000,None,None,-151000000,6108000000,3668000000,3668000000,None,2023-05-31,8503000000,17165000000,None,None,None,None,None,None,None,None,None,-2503000000,None,None,USD
4511000000,-29126000000,11220000000,-8367000000,None,None,None,None,-874000000,3122000000,3457000000,3457000000,None,2022-05-31,6717000000,9539000000,None,None,None,None,None,None,None,None,None,-17341000000,None,None,USD
2135000000,-10378000000,-13098000000,-7589000000,None,-863000000,None,None,141000000,2916000000,3063000000,3063000000,None,2021-05-31,13746000000,15887000000,None,None,None,None,None,None,None,None,None,-21600000000,None,None,USD
1564000000,-6132000000,9843000000,16850000000,None,221000000,None,None,-690000000,2968000000,3070000000,3070000000,None,2020-05-31,10135000000,13139000000,None,None,None,None,None,None,None,None,None,-19905000000,None,None,USD
1660000000,-42056000000,26557000000,-948000000,None,None,None,None,-272000000,2919000000,2932000000,2932000000,None,2019-05-31,11083000000,14551000000,None,None,None,None,None,None,None,None,None,-36643000000,None,None,USD
1736000000,-9982000000,-5625000000,-164000000,57000000,-276000000,None,None,-117000000,2785000000,3140000000,3140000000,None,2018-05-31,3587000000,15386000000,None,None,None,None,None,None,None,None,None,-11853000000,None,None,USD
2021000000,9086000000,-21494000000,1632000000,-86000000,-88000000,None,None,18000000,2451000000,2631000000,2631000000,None,2017-05-31,9335000000,14126000000,None,None,None,None,None,None,None,None,None,-3844000000,None,None,USD
1189000000,-9856000000,-5154000000,-1564000000,-115000000,88000000,None,None,96000000,2509000000,2541000000,2541000000,None,2016-05-31,8901000000,13561000000,None,None,None,None,None,None,None,None,None,-10529000000,None,None,USD
1391000000,9850000000,-19047000000,3947000000,-1192000000,-96000000,None,None,208000000,2861000000,2255000000,2255000000,None,2015-05-31,9938000000,14336000000,None,None,None,None,None,None,None,None,None,-8087000000,None,None,USD
580000000,-4068000000,-7539000000,3156000000,-158000000,57000000,None,None,24000000,2908000000,2178000000,2178000000,None,2014-05-31,10955000000,14921000000,None,None,None,None,None,None,None,None,None,-9813000000,None,None,USD
650000000,-8500000000,-5956000000,-342000000,-110000000,-66000000,None,None,267000000,2931000000,1433000000,1433000000,None,2013-05-31,10925000000,14224000000,None,None,None,None,None,None,None,None,None,-11021000000,None,None,USD
648000000,-6099000000,-8381000000,-1208000000,-471000000,150000000,None,None,-8000000,2916000000,1205000000,1205000000,None,2012-05-31,9981000000,13743000000,None,None,None,None,None,None,None,None,None,-5856000000,None,None,USD
450000000,516000000,-6081000000,6249000000,600000000,-28000000,None,None,-729000000,2796000000,1061000000,1061000000,None,2011-05-31,8547000000,11214000000,None,None,None,None,None,None,None,None,None,-1160000000,None,None,USD
230000000,2664000000,-10319000000,919000000,-107000000,73000000,None,None,-362000000,2271000000,1004000000,1004000000,None,2010-05-31,6135000000,8681000000,None,None,None,None,None,None,None,None,None,-992000000,None,None,USD
529000000,-4422000000,-2599000000,None,None,-8712000000,None,None,None,1976000000,250000000,250000000,None,2009-05-31,5593000000,8255000000,None,None,None,None,None,None,None,None,None,-3972000000,None,None,USD
243000000,3281000000,-9076000000,None,None,-812000000,None,None,None,1480000000,49000000,49000000,None,2008-05-31,5521000000,7402000000,None,None,None,None,None,None,None,None,None,-2023000000,None,None,USD
319000000,-1139000000,-4971000000,None,None,-953000000,None,None,None,1127000000,None,None,None,2007-05-31,4274000000,5520000000,None,None,None,None,None,None,None,None,None,-3937000000,None,None,USD
236000000,1527000000,-3359000000,None,None,-5284000000,None,None,None,855000000,None,None,None,2006-05-31,3381000000,4541000000,None,None,None,None,None,None,None,None,None,-2067000000,None,None,USD
