comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,16927000000,16927000000,None,6174000000,17738000000,23912000000,2025-05-31,40472000000,14160000000,1717000000,None,3578000000,578000000,None,12443000000,12443000000,-3000000000,None,22794000000,17678000000,None,USD,9860000000,1602000000,57399000000
None,15143000000,15143000000,None,6139000000,15255000000,21394000000,2024-05-31,37818000000,11741000000,1274000000,None,3514000000,451000000,None,10467000000,10467000000,-3063000000,None,22465000000,15353000000,None,USD,8915000000,1548000000,52961000000
None,13564000000,13564000000,None,6108000000,12631000000,18739000000,2023-05-31,36390000000,9126000000,623000000,None,3505000000,285000000,None,8503000000,8503000000,-3505000000,None,23297000000,13093000000,None,USD,8623000000,1579000000,49954000000
None,8877000000,8877000000,None,3122000000,10404000000,13526000000,2022-05-31,33563000000,7649000000,932000000,None,2755000000,94000000,None,6717000000,6717000000,-2755000000,None,22637000000,10926000000,None,USD,7219000000,1317000000,42440000000
None,7855000000,7855000000,None,2916000000,15495000000,18411000000,2021-05-31,32624000000,12999000000,-747000000,None,2496000000,101000000,None,13746000000,13464000000,-2496000000,None,17411000000,15213000000,None,USD,6527000000,1254000000,40479000000
None,7938000000,7938000000,None,2968000000,14058000000,17026000000,2020-05-31,31130000000,12063000000,1928000000,None,1995000000,527000000,None,10135000000,10135000000,-1468000000,None,17234000000,13896000000,None,USD,6067000000,1181000000,39068000000
None,7995000000,7995000000,None,2919000000,14350000000,17269000000,2019-05-31,31511000000,12268000000,1185000000,None,2082000000,1092000000,None,11083000000,10268000000,-990000000,None,17976000000,13535000000,None,USD,6026000000,1265000000,39506000000
None,8060000000,8060000000,None,2785000000,14449000000,17234000000,2018-05-31,31771000000,12424000000,8837000000,None,2025000000,1201000000,None,3587000000,2588000000,-824000000,None,18077000000,13264000000,None,USD,6084000000,1282000000,39831000000
None,7452000000,7452000000,None,2451000000,13437000000,15888000000,2017-05-31,30276000000,11680000000,2228000000,None,1798000000,802000000,None,9452000000,9335000000,-996000000,None,17427000000,12913000000,605000000,USD,6153000000,1172000000,37728000000
None,7479000000,7479000000,None,2509000000,12909000000,15418000000,2016-05-31,29568000000,11442000000,2541000000,None,1467000000,1155000000,None,8901000000,8901000000,-929000000,None,16964000000,12604000000,305000000,USD,5787000000,1155000000,37047000000
None,7532000000,7532000000,None,2861000000,13977000000,16838000000,2015-05-31,30694000000,12834000000,2896000000,None,1143000000,None,None,9938000000,9938000000,None,None,16823000000,13871000000,106000000,USD,5524000000,1077000000,38226000000
None,7236000000,7236000000,None,2908000000,14618000000,17526000000,2014-05-31,31039000000,13704000000,2749000000,None,914000000,None,None,10955000000,10955000000,None,None,16280000000,14759000000,-141000000,USD,5151000000,1038000000,38275000000
None,7379000000,7379000000,None,2931000000,14695000000,17626000000,2013-05-31,29801000000,13898000000,2973000000,None,797000000,None,None,10925000000,13898000000,None,None,15117000000,14432000000,11000000,USD,4850000000,1072000000,37180000000
None,7995000000,7995000000,None,2916000000,13728000000,16644000000,2012-05-31,29126000000,12962000000,2981000000,None,766000000,None,None,9981000000,12962000000,None,None,15420000000,13706000000,22000000,USD,4523000000,1126000000,37121000000
None,8398000000,8398000000,None,2796000000,12219000000,15015000000,2011-05-31,27224000000,11411000000,2864000000,None,808000000,None,None,8547000000,8547000000,None,None,15191000000,12033000000,186000000,USD,4519000000,970000000,35622000000
None,5764000000,5764000000,None,2271000000,9051000000,11322000000,2010-05-31,21056000000,8243000000,2108000000,None,754000000,None,None,6135000000,6135000000,None,None,11994000000,9062000000,-65000000,USD,3254000000,911000000,26820000000
None,4794000000,4794000000,None,1976000000,8501000000,10477000000,2009-05-31,18458000000,7834000000,2241000000,None,630000000,None,None,5593000000,None,None,None,10137000000,8321000000,None,USD,2767000000,785000000,23252000000
None,4981000000,4981000000,None,1480000000,8228000000,9708000000,2008-05-31,17449000000,7834000000,2313000000,None,394000000,None,None,5521000000,None,None,None,9605000000,7844000000,None,USD,2741000000,808000000,22430000000
None,4191000000,4191000000,None,1127000000,6133000000,7260000000,2007-05-31,13805000000,5986000000,1712000000,None,343000000,None,None,4274000000,None,None,None,7831000000,5974000000,None,USD,2195000000,692000000,17996000000
None,3235000000,3235000000,None,855000000,4971000000,5826000000,2006-05-31,11145000000,4810000000,1429000000,None,169000000,None,None,3381000000,None,None,None,6409000000,4736000000,None,USD,1872000000,555000000,14380000000
