accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,642000000,8505000000,8505000000,23000000,1378000000,10997000000,None,7082000000,10333000000,None,2024-12-31,17534000000,14801000000,14801000000,5306000000,None,37224000000,None,3331000000,921000000,12815000000,None,9052000000,None,USD,72266000000,44948000000,7724000000,761000000,99467000000,25826000000,31536000000,81296000000,73641000000,49760000000,18041000000,None
None,556000000,9711000000,9711000000,23000000,1383000000,11635000000,None,6510000000,10815000000,None,2023-12-31,17728000000,14929000000,14929000000,5334000000,None,37595000000,None,4330000000,798000000,12946000000,None,8721000000,None,USD,70035000000,44661000000,7066000000,292000000,100495000000,26950000000,31647000000,81858000000,73545000000,50211000000,18503000000,None
None,483000000,4954000000,4954000000,23000000,1387000000,10732000000,None,3414000000,10163000000,None,2022-12-31,18202000000,15586000000,15586000000,5222000000,None,35657000000,None,3073000000,806000000,12156000000,None,8339000000,24291000000,USD,67800000000,39554000000,3897000000,394000000,92187000000,21539000000,26785000000,74914000000,70648000000,48129000000,17149000000,-39506000000
None,446000000,5596000000,5596000000,23000000,1389000000,9834000000,None,4308000000,8680000000,None,2021-12-31,18381000000,18665000000,18665000000,4347000000,None,36026000000,None,2627000000,2768000000,11632000000,None,9154000000,24427000000,USD,65165000000,40780000000,4754000000,392000000,92377000000,21783000000,26220000000,76226000000,70594000000,50006000000,16043000000,None
None,460000000,8185000000,8185000000,23000000,1392000000,8853000000,None,3780000000,8404000000,None,2020-12-31,18757000000,19315000000,19315000000,4172000000,None,40370000000,None,2792000000,874000000,10279000000,None,11340000000,21369000000,USD,63443000000,44610000000,4240000000,1366000000,92918000000,23001000000,23372000000,79366000000,69917000000,55994000000,13454000000,38446000000
None,442000000,5509000000,5509000000,23000000,1407000000,8013000000,None,2920000000,7822000000,None,2019-12-31,15501000000,16043000000,16043000000,3338000000,None,29148000000,None,2683000000,747000000,9086000000,None,9979000000,19305000000,USD,61946000000,32510000000,3362000000,229000000,78547000000,17645000000,20461000000,63679000000,60902000000,43218000000,14786000000,-36769000000
None,None,8721000000,8721000000,23000000,1425000000,7213000000,None,4026000000,7142000000,None,2018-12-31,14808000000,15825000000,15825000000,3128000000,None,28295000000,None,2409000000,2630000000,10899000000,None,9114000000,17589000000,USD,59947000000,32321000000,4026000000,272000000,77648000000,21893000000,22138000000,63046000000,55755000000,40908000000,14518000000,-34286000000
None,None,10610000000,10610000000,24000000,1438000000,6727000000,None,5485000000,7024000000,None,2017-12-31,14744000000,13838000000,13838000000,2947000000,None,33796000000,None,2042000000,1546000000,8290000000,None,11283000000,17240000000,USD,52839000000,39281000000,5485000000,8900000000,79804000000,31027000000,20502000000,68823000000,48777000000,48321000000,10889000000,-32954000000
None,None,9158000000,9158000000,24000000,1452000000,6158000000,None,6892000000,6694000000,None,2016-12-31,14430000000,13433000000,13433000000,2723000000,None,30053000000,None,1950000000,908000000,8085000000,None,6669000000,16591000000,USD,52518000000,36945000000,6892000000,6967000000,73490000000,26450000000,21135000000,62291000000,47040000000,41156000000,11095000000,-31468000000
None,None,9096000000,9096000000,24000000,1485000000,5546000000,None,3109000000,6437000000,None,2015-12-31,14177000000,13081000000,13081000000,2720000000,None,29213000000,None,2311000000,1865000000,7961000000,None,5887000000,16317000000,USD,50472000000,33284000000,4071000000,2913000000,69667000000,23031000000,17578000000,57637000000,46636000000,40059000000,11923000000,-29371000000
None,None,6134000000,6134000000,25000000,1527000000,5127000000,None,4096000000,6651000000,None,2014-12-31,14965000000,14088000000,14088000000,3143000000,None,23821000000,None,2689000000,2143000000,7889000000,None,5744000000,17244000000,USD,49092000000,28897000000,5076000000,2592000000,70509000000,20663000000,18092000000,52961000000,49846000000,34869000000,17438000000,25166000000
None,None,9375000000,9375000000,25000000,1560000000,4874000000,None,None,6954000000,None,2013-12-31,16613000000,16039000000,16039000000,3409000000,None,24333000000,None,1841000000,2162000000,7659000000,None,4931000000,18575000000,USD,46420000000,29639000000,5306000000,303000000,77478000000,22203000000,17839000000,53089000000,55275000000,35250000000,24279000000,-21175000000
None,None,6297000000,6297000000,26000000,1575000000,4451000000,None,None,7041000000,None,2012-12-31,16971000000,16525000000,16525000000,3581000000,None,23544000000,None,1633000000,1479000000,7452000000,None,6543000000,19136000000,USD,43158000000,28359000000,4815000000,322000000,74638000000,18720000000,17089000000,52239000000,55918000000,35150000000,22294000000,-19622000000
None,None,4067000000,4067000000,26000000,1597000000,4083000000,None,None,6912000000,None,2011-12-31,16800000000,16445000000,16445000000,3827000000,None,20568000000,None,1477000000,2277000000,7674000000,None,8266000000,19698000000,USD,40316000000,26773000000,6205000000,358000000,72882000000,17441000000,18154000000,51983000000,55441000000,33829000000,20588000000,-18032000000
None,None,5943000000,5943000000,31000000,1614000000,3865000000,None,None,6323000000,None,2010-12-31,14661000000,13808000000,13808000000,3372000000,None,19999000000,None,1368000000,1505000000,7058000000,None,6729000000,19058000000,USD,37090000000,24897000000,4898000000,426000000,68153000000,17569000000,15892000000,46677000000,50584000000,30785000000,21164000000,-16745000000
None,None,3943000000,3943000000,30000000,1577000000,8127000000,None,None,4624000000,None,2009-12-31,6534000000,2623000000,2623000000,2618000000,None,7400000000,None,4484000000,1194000000,165000000,None,5591000000,12671000000,USD,33805000000,7864000000,464000000,192000000,39848000000,12571000000,8756000000,22406000000,27277000000,13650000000,16804000000,-13383000000
None,None,2064000000,2064000000,30000000,1602000000,8273000000,None,None,4683000000,None,2008-12-31,5124000000,1860000000,1860000000,2522000000,None,7858000000,None,None,1324000000,145000000,None,None,11663000000,USD,30638000000,8227000000,369000000,213000000,35994000000,10806000000,8787000000,23412000000,25188000000,14625000000,12106000000,-14122000000
None,None,910000000,910000000,30000000,1658000000,7602000000,None,None,4389000000,None,2007-12-31,5169000000,2044000000,2044000000,2290000000,None,4203000000,None,None,991000000,151000000,None,None,11228000000,USD,28184000000,4203000000,2248000000,1571000000,34628000000,10151000000,7753000000,17394000000,24477000000,9641000000,17234000000,-10387000000
None,None,1651000000,1651000000,30000000,1687000000,2102000000,None,None,3725000000,None,2006-12-31,4594000000,1849000000,1849000000,1926000000,None,2550000000,None,None,657000000,4394000000,None,None,9687000000,USD,24837000000,2824000000,274000000,1171000000,29930000000,9130000000,6860000000,14483000000,20800000000,7623000000,15447000000,-7758000000
None,None,1716000000,1716000000,30000000,1705439000,5971000000,None,None,3261000000,None,2005-12-31,4088000000,1616000000,1616000000,1693000000,None,2313000000,None,None,618000000,546000000,None,None,8681000000,USD,21116000000,5202000000,2889000000,3166000000,31727000000,10454000000,9406000000,17407000000,21273000000,8001000000,14320000000,-6387000000
